learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,3.248019816560878E-8,1000.0,0.9162518666002987,0.5687691908813215,0.822,0.40786672344049374,0.0,0.10864745011086474,0.846197671955333,0.8775510204081632,-0.8163265306122458,1000.0,803528.0,15.0,2171.5333333333333,55.06731810983283,4076.7999999999997,2989.4516267321383,1.8000000000000003,2.1111946516469904,1.4,1.0555973258234952,1.4,1.0555973258234952,0.2666666666666667,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,6.105783136768473E-8,2000.0,0.9653968473451328,0.6372920911762502,0.873,0.5263032256139407,0.9162518666002987,0.10619469026548672,0.905532914852909,0.9479166666666666,-0.30927835051546426,2000.0,883728.0,15.0,4052.133333333333,71.53607148711428,9377.06666666667,2498.4125093079933,5.666666666666667,1.7994708216848745,3.3333333333333335,0.8997354108424372,3.3333333333333335,0.8997354108424372,2.1333333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.46875,1.056258851248357E-7,3000.0,0.9722711312925381,0.7194182857842957,0.909,0.6356502242152469,0.9653968473451328,0.122334455667789,0.908673799223074,0.908256880733945,0.09900990099009913,3000.0,918808.0,15.0,5876.933333333333,107.47721796247043,11696.533333333333,2970.9241916247124,7.266666666666667,2.1201976547572388,4.133333333333333,1.0600988273786194,4.133333333333333,1.0600988273786194,2.8666666666666663,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5625,1.2826594886266525E-7,4000.0,0.9766036772216548,0.7704891025667169,0.922,0.6784830997526794,0.9722711312925381,0.12359550561797752,0.9203243643675968,0.9181818181818182,0.2445520581113802,4000.0,933488.0,15.0,7785.0666666666675,103.19223854165634,12668.266666666666,3384.6117200113363,7.933333333333334,2.250925735484551,4.466666666666667,1.1254628677422756,4.466666666666667,1.1254628677422756,3.066666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,1.611341334258517E-7,5000.0,0.9901122789244861,0.7273346494879422,0.921,0.6842576457610591,0.9766036772216548,0.1185682326621924,0.950863193612493,0.9905660377358491,0.2389210019267827,5000.0,1016408.0,15.0,9537.466666666667,100.46880586719976,18148.799999999996,3073.3386964109804,11.799999999999999,2.111194651646991,6.3999999999999995,1.0555973258234954,6.3999999999999995,1.0555973258234954,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.796875,1.9076597204224932E-7,6000.0,0.9901802815188642,0.7477269566878115,0.943,0.7595301979446157,0.9901122789244861,0.12485939257592801,0.9559666586523453,0.972972972972973,0.4571428571428566,6000.0,1047232.0,15.0,11395.800000000001,115.11063001676816,20186.666666666664,3531.542978575202,13.400000000000002,2.7464262493023806,7.200000000000001,1.3732131246511903,7.200000000000001,1.3732131246511903,4.3999999999999995,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.90625,2.2090780678101712E-7,7000.0,0.9915021929824561,0.8129041984636232,0.958,0.7772214206908256,0.9901802815188642,0.09649122807017543,0.9564375187500369,0.9545454545454546,0.590529247910863,7000.0,1065256.0,15.0,13188.066666666668,101.90504450339088,21379.2,4681.803608500833,14.066666666666666,3.6929791819200988,7.533333333333333,1.8464895909600494,7.533333333333333,1.8464895909600494,4.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.984375,2.4310756190162565E-7,8000.0,0.9903166140789903,0.7677777169968559,0.939,0.7078432123836159,0.9915021929824561,0.1001100110011001,0.9466224194497488,0.9560439560439561,0.39678615574783643,8000.0,1098400.0,15.0,15127.866666666665,133.64711886513828,23570.133333333335,4714.4717908443,15.533333333333335,3.502380143083652,8.266666666666667,1.751190071541826,8.266666666666667,1.751190071541826,5.0,0.7559289460184544,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0625,2.662635395406849E-7,9000.0,0.9897140444015444,0.7595989034834298,0.942,0.7575899424903033,0.9903166140789903,0.12612612612612611,0.9554770399511826,0.9732142857142857,0.43322475570032554,9000.0,1145712.0,15.0,17029.733333333334,139.93185416310163,26696.53333333333,4539.251509518575,17.933333333333334,3.283436063174123,9.466666666666667,1.6417180315870614,9.466666666666667,1.6417180315870614,5.800000000000001,0.7745966692414835,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.203125,3.0907265479779904E-7,10000.0,0.9957752034545756,0.8117527274258941,0.959,0.8163477388375259,0.9897140444015444,0.1210762331838565,0.9727861557573094,0.9907407407407407,0.6015549076773563,10000.0,1176728.0,15.0,18873.8,154.53580260157935,28746.13333333333,4795.92061572968,19.533333333333335,3.8147583085145707,10.266666666666667,1.9073791542572853,10.266666666666667,1.9073791542572853,6.3999999999999995,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.296875,3.3827796061005853E-7,11000.0,0.9930299002626869,0.8178047005312924,0.969,0.8506801279334127,0.9957752034545756,0.11982082866741321,0.9620375338160072,0.9532710280373832,0.6998239436619716,11000.0,1204184.0,15.0,20758.86666666667,137.88186800232168,30563.200000000004,4811.678934782386,20.466666666666665,3.5023801430836525,10.733333333333333,1.7511900715418263,10.733333333333333,1.7511900715418263,6.733333333333333,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.390625,3.680987154237098E-7,12000.0,0.9941795535467935,0.8265525344043136,0.957,0.769333104454553,0.9930299002626869,0.09051254089422028,0.9709284763227729,0.9879518072289156,0.5767022149302704,12000.0,1229560.0,15.0,22599.46666666667,113.57996972974364,32239.466666666667,5981.287747952737,21.933333333333337,4.463609472591606,11.466666666666669,2.231804736295803,11.466666666666669,2.231804736295803,7.0,0.7559289460184544,0.0,0.0,0.0,0.0,1.0,0.0
