learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.234375,2.8891372494399546E-8,1000.0,0.9074618761029911,0.5172035190638531,0.723,0.28356386885856455,0.0,0.10864745011086474,0.8027989635301361,0.9183673469387755,-1.826530612244899,1000.0,476496.0,15.0,2145.333333333333,51.45548237716423,3705.6000000000004,2268.6478288682383,1.5333333333333332,1.5976172734359606,1.266666666666667,0.7988086367179801,1.266666666666667,0.7988086367179801,0.2,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,5.8171863202005624E-8,2000.0,0.9598082595870207,0.6176503705254646,0.845,0.46685561762196937,0.9074618761029911,0.10619469026548672,0.8891735540064958,0.9479166666666666,-0.5979381443298976,2000.0,557208.0,15.0,4032.6000000000004,66.34197120117221,9039.466666666669,1659.674230799813,5.533333333333333,1.5976172734359606,3.2666666666666666,0.7988086367179803,3.2666666666666666,0.7988086367179803,2.1333333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.578125,7.977592758834362E-8,3000.0,0.9706545578105211,0.7087682651844305,0.888,0.5841223868404443,0.9598082595870207,0.122334455667789,0.9046820054515052,0.926605504587156,-0.10891089108910904,3000.0,593848.0,15.0,5777.266666666666,95.23164740078084,11461.333333333334,2679.915848003618,7.266666666666667,1.98086080374405,4.133333333333334,0.990430401872025,4.133333333333334,0.990430401872025,2.933333333333333,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.703125,9.970416107939349E-8,4000.0,0.9816547497446374,0.7606686866791158,0.917,0.6654035314036929,0.9706545578105211,0.12359550561797752,0.9214834600302358,0.9272727272727272,0.19612590799031476,4000.0,616256.0,15.0,7702.266666666667,88.93694930894007,12944.000000000002,3789.749784427915,8.200000000000001,2.5967012040004027,4.6,1.2983506020002018,4.6,1.2983506020002018,3.2,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.84375,1.2474044019149408E-7,5000.0,0.9909142712422438,0.7311798697409068,0.901,0.629961874859834,0.9816547497446374,0.1185682326621924,0.9430067576462233,1.0,0.04624277456647424,5000.0,688192.0,15.0,9427.999999999998,81.08637370113419,17698.13333333333,3341.950796138316,11.666666666666668,2.581988897471611,6.333333333333334,1.2909944487358056,6.333333333333334,1.2909944487358056,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.984375,1.5044436117427216E-7,6000.0,0.9919030391471336,0.761587997536803,0.916,0.6764227767548286,0.9909142712422438,0.12485939257592801,0.9441427149581867,0.9819819819819819,0.2000000000000002,6000.0,706544.0,15.0,11235.666666666668,102.86236759216985,18910.933333333338,3812.670445214158,12.733333333333334,3.369329451445933,6.866666666666667,1.6846647257229665,6.866666666666667,1.6846647257229665,4.2666666666666675,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.125,1.771244246305691E-7,7000.0,0.9906050637958532,0.7950791052580517,0.931,0.6726382510342735,0.9919030391471336,0.09649122807017543,0.9415482769856981,0.9545454545454546,0.32729805013927604,7000.0,733376.0,15.0,13141.066666666664,93.82998809904359,20686.93333333333,5353.832585389737,13.533333333333333,3.9617216074881,7.266666666666667,1.98086080374405,7.266666666666667,1.98086080374405,4.466666666666667,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.25,2.026364543578691E-7,8000.0,0.9891923258259891,0.751411531811681,0.905,0.5984852327095062,0.9906050637958532,0.1001100110011001,0.927542120384223,0.9560439560439561,0.060568603213844704,8000.0,788928.0,15.0,15064.266666666666,113.93699177720197,24357.866666666665,3895.5077033252883,16.333333333333332,2.7945525240230875,8.666666666666666,1.3972762620115438,8.666666666666666,1.3972762620115438,5.533333333333333,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.390625,2.3241723991102645E-7,9000.0,0.9863758848133848,0.7657214378985556,0.914,0.6665219009802706,0.9891923258259891,0.12612612612612611,0.9317795228220994,0.9553571428571429,0.15960912052117343,9000.0,818608.0,15.0,16855.93333333333,121.54568022333137,26318.93333333333,4212.515628909823,18.06666666666667,2.914659173083208,9.533333333333335,1.457329586541604,9.533333333333335,1.457329586541604,5.799999999999999,0.5606119105813883,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.53125,2.635597936912543E-7,10000.0,0.9957752034545756,0.8095195374936961,0.934,0.7299685781618226,0.9863758848133848,0.1210762331838565,0.9622935979262595,1.0,0.35860058309037945,10000.0,856040.0,15.0,18717.86666666666,140.684990907583,28792.533333333333,4507.9135158814515,19.799999999999997,3.609511245109431,10.399999999999999,1.8047556225547154,10.399999999999999,1.8047556225547154,6.400000000000001,0.6324555320336761,0.0,0.0,0.0,0.0,1.0,0.0
