learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.880075109915601E-8,1000.0,0.7542670095861586,0.30576749220900284,0.961,0.15430653135570974,0.0,0.013171225937183385,0.5462050511615817,0.3076923076923077,-2.0,1000.0,465112.0,15.0,0.8999999261252091,0.10000007387479094,27.266666666666662,4.1311822359545785,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.760150219831202E-8,2000.0,0.9432963709677419,0.6443717780466217,0.911,0.1229798975167525,0.7542670095861586,0.008064516129032258,0.8929608234732722,0.875,-7.47619047619051,2000.0,465112.0,15.0,0.9999981752235176,1.8247764822248863E-6,45.4,6.64185860390642,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.888195285780563E-8,3000.0,0.9689427065814553,0.6906065928344387,0.925,0.1622358250301594,0.9432963709677419,0.009081735620585268,0.9069254295274908,0.8888888888888888,-6.499999999999989,3000.0,465112.0,15.0,0.9999999999999069,9.307638141265731E-14,62.13333333333333,5.591660457025861,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.016240351729923E-8,4000.0,0.9700762480218673,0.6923800126970031,0.923,0.12352592997313754,0.9689427065814553,0.007049345417925478,0.8896857790807322,0.8571428571428571,-7.324324324324337,4000.0,465112.0,15.0,0.9947665236697263,0.005233476330273671,75.46666666666667,7.32770346665571,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.578125,6.956277906687724E-8,5000.0,0.9543950510717882,0.6211874525825922,0.909,0.10482411269379084,0.9700762480218673,0.007049345417925478,0.882868163064834,0.8571428571428571,-9.340909090909053,5000.0,465112.0,15.0,0.9999995077043855,4.922956143742463E-7,88.73333333333332,8.438573564858212,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,7.896315461645525E-8,6000.0,0.9693905689861201,0.6990165276569759,0.917,0.19364240469436186,0.9543950510717882,0.011122345803842264,0.9571190340277854,1.0,-8.05454545454546,6000.0,465112.0,15.0,0.9999785198802388,2.1480119761071304E-5,109.53333333333332,8.991000791797058,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.75,9.024360527594885E-8,7000.0,0.981612288373136,0.7281168506204844,0.9,0.13821334390458298,0.9693905689861201,0.009081735620585268,0.9482045277459613,1.0,-9.937500000000027,7000.0,465112.0,15.0,0.9998820770684976,1.1792293150231116E-4,124.8,9.748259917983901,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.828125,9.964398082552686E-8,8000.0,0.9756592292089249,0.7101458524359975,0.911,0.22009183637701937,0.981612288373136,0.014198782961460446,0.9538009794063068,1.0,-8.12820512820509,8000.0,465112.0,15.0,0.9677322730730914,0.032267726926908734,148.6,10.561385190535244,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.90625,1.0904435637510486E-7,9000.0,0.9697913648217907,0.7114956456266301,0.919,0.2241082033794397,0.9756592292089249,0.014198782961460446,0.9237050111109252,0.9285714285714286,-6.92391304347824,9000.0,465112.0,15.0,0.9971822476359631,0.0028177523640368443,176.2,11.669251414355108,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.984375,1.1844473192468287E-7,10000.0,0.9709926224010731,0.7049531414168535,0.926,0.12982126058325438,0.9697913648217907,0.006036217303822937,0.9620568174071202,1.0,-6.551020408163237,10000.0,465112.0,15.0,0.9986697205352709,0.0013302794647291152,187.53333333333333,11.475854569278845,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.0625,1.2784510747426088E-7,11000.0,0.9814321169225113,0.7546806297095725,0.916,0.19160812241362798,0.9709926224010731,0.011122345803842264,0.9565906768061652,1.0,-7.477064220183518,11000.0,465112.0,15.0,0.9999973152395025,2.684760497496894E-6,210.00000000000003,11.37666785260831,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.125,1.353654079139233E-7,12000.0,0.991161982034193,0.7611565984383033,0.926,0.2565503938273591,0.9814321169225113,0.014198782961460446,0.9617428398802104,1.0,-6.21951219512196,12000.0,465112.0,15.0,0.9980980027237909,0.0019019972762089827,238.60000000000002,12.500285711020478,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.203125,1.447657834635013E-7,13000.0,0.9855114459576935,0.7729080019845639,0.92,0.24075620681800977,0.991161982034193,0.014198782961460446,0.9585739915953714,1.0,-6.591240875912435,13000.0,465112.0,15.0,0.9099883893177065,0.09001161068229344,265.4666666666667,12.235000535154787,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.28125,1.541661590130793E-7,14000.0,0.9763112141408288,0.7314013551481917,0.921,0.243266025518219,0.9855114459576935,0.014198782961460446,0.9591028600447632,1.0,-6.324503311258273,14000.0,465112.0,15.0,0.9793109612286587,0.02068903877134117,292.2,12.627634095789396,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.359375,1.635665345626573E-7,15000.0,0.9736753856472167,0.7242220664881979,0.916,0.11504424778761105,0.9763112141408288,0.006036217303822937,0.9568139619311995,1.0,-7.025477707006399,15000.0,465112.0,15.0,0.9999999999993843,6.157647344813015E-13,303.3333333333333,13.75638379946181,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.4375,1.7296691011223531E-7,16000.0,0.9818181818181818,0.7539380924269699,0.916,0.17743830787308984,0.9736753856472167,0.010101010101010102,0.9566355184455129,1.0,-7.047904191616772,16000.0,465112.0,15.0,0.9997781468461839,2.2185315381602935E-4,322.4666666666667,15.127395520647148,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.515625,1.8236728566181332E-7,17000.0,0.9841897233201581,0.7436356994645892,0.904,0.16988049737993574,0.9818181818181818,0.011122345803842264,0.9502274752935905,1.0,-8.168539325842692,17000.0,465112.0,15.0,0.9999999646659166,3.533408349464106E-8,342.3333333333333,15.568588644477458,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.578125,1.8988758610147573E-7,18000.0,0.989497913969213,0.785324688850218,0.924,0.14451023210788091,0.9841897233201581,0.007049345417925478,0.9609704728805343,1.0,-6.394594594594553,18000.0,465112.0,15.0,0.9999998093162509,1.906837490130911E-7,354.66666666666663,16.15402058165028,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.65625,1.9928796165105374E-7,19000.0,0.9756592292089249,0.7241732591228744,0.902,0.1895468078068148,0.989497913969213,0.014198782961460446,0.9149978663006191,0.9285714285714286,-8.356783919598,19000.0,465112.0,15.0,0.9999803372230872,1.9662776912748388E-5,381.3333333333333,18.68409050757457,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.734375,2.0868833720063174E-7,20000.0,0.9959677419354839,0.8012560604240342,0.928,0.1697416974169749,0.9756592292089249,0.008064516129032258,0.9630261444211728,1.0,-5.956521739130451,20000.0,465112.0,15.0,0.993526017401414,0.00647398259858602,394.40000000000003,18.718974330876144,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.8125,2.1808871275020975E-7,21000.0,0.9769405241935484,0.7297541962764118,0.917,0.1315811500795172,0.9959677419354839,0.008064516129032258,0.8959192881994125,0.875,-7.106976744186019,21000.0,465112.0,15.0,0.9995789006690503,4.21099330949778E-4,409.8666666666666,18.84093820331016,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.890625,2.2748908829978776E-7,22000.0,0.9707070707070707,0.7089574695820874,0.906,0.1451436886140413,0.9769405241935484,0.010101010101010102,0.9030252186149318,0.9,-8.191111111111086,22000.0,465112.0,15.0,0.9999999999997179,2.82080241797194E-13,429.4,21.118035622932084,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.96875,2.3688946384936577E-7,23000.0,0.9884815995363663,0.7769117901231847,0.927,0.2593644738444052,0.9707070707070707,0.014198782961460446,0.9622699667161048,1.0,-6.025104602510453,23000.0,465112.0,15.0,0.9996956708612633,3.0432913873663643E-4,455.3333333333333,22.047567623101603,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.046875,2.4628983939894375E-7,24000.0,0.9886868686868687,0.7784277888121827,0.911,0.16837974210427903,0.9884815995363663,0.010101010101010102,0.9539921436264609,1.0,-7.578313253012026,24000.0,465112.0,15.0,0.9999999179135759,8.208642407786155E-8,474.06666666666666,24.56323229854698,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,2.125,2.5569021494852175E-7,25000.0,0.9795600676818951,0.7284854573150984,0.938,0.29344729344729187,0.9886868686868687,0.015228426395939087,0.9356992010918134,0.9333333333333333,-4.871212121212118,25000.0,465112.0,15.0,0.998173363055243,0.0018266369447570276,503.7333333333333,27.56671561002161,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,2.203125,2.6509059049809976E-7,26000.0,0.9889336016096579,0.791254949649178,0.915,0.11373399507861628,0.9795600676818951,0.006036217303822937,0.9562880954655741,1.0,-7.185185185185141,26000.0,465112.0,15.0,0.9999959516034721,4.048396527911562E-6,515.0666666666667,25.896681162614165,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
