learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.09375,3.4197000786662106E-9,1000.0,0.6233635448136958,0.20450261302219175,0.987,0.1268135411069382,0.0,0.007049345417925478,0.3766299158480708,0.14285714285714285,-0.8571428571428571,1000.0,141000.0,15.0,0.9999999999950527,4.947180364465047E-12,19.26666666666667,2.814926202195987,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.15625,5.6995001311103506E-9,2000.0,0.9938333893934298,0.688226278280311,0.983,0.5077030001158358,0.6233635448136958,0.009081735620585268,0.9913857021837919,1.0,-1.125,2000.0,141000.0,15.0,0.9999998093148214,1.9068517857629438E-7,37.93333333333334,4.366539438350084,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.1875,6.83940015733242E-9,3000.0,0.9980808080808081,0.8600982956061239,0.985,0.5390288875230499,0.9938333893934298,0.010101010101010102,0.9419515525082632,0.9,-0.7307692307692234,3000.0,141000.0,15.0,0.9999996411948868,3.588051131124076E-7,57.800000000000004,6.55961671354138,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.234375,8.549250196665525E-9,4000.0,0.9985858585858586,0.9126446788490401,0.978,0.46808510638297907,0.9980808080808081,0.010101010101010102,0.9888264649460884,1.0,-1.4444444444444444,4000.0,141000.0,15.0,0.9999836301824897,1.6369817510106226E-5,76.33333333333334,7.907199853539146,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.265625,9.689150222887596E-9,5000.0,0.9978202548625084,0.9334327697985327,0.985,0.4392104082548245,0.9985858585858586,0.006036217303822937,0.9924260459804763,1.0,-0.7857142857142951,5000.0,141000.0,15.0,0.9999999999999994,4.9774203500622767E-20,88.39999999999998,8.950658395575475,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.296875,1.0829050249109667E-8,6000.0,0.9977939148818825,0.8810084367095573,0.978,0.49161159125571935,0.9978202548625084,0.011122345803842264,0.9888151032383736,1.0,-1.4905660377358438,6000.0,141000.0,15.0,0.9991580911915309,8.419088084691871E-4,107.8,9.540889446407574,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.296875,1.0829050249109667E-8,7000.0,0.9998561358077974,0.9636276633736393,0.988,0.5336908370249458,0.9977939148818825,0.007049345417925478,0.9939393381162579,1.0,-0.4000000000000026,7000.0,141000.0,15.0,0.9999999946956051,5.304394898367204E-9,121.13333333333334,9.402633876181918,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.328125,1.1968950275331737E-8,8000.0,1.0,0.9590100340623126,0.988,0.4954591321897075,0.9998561358077974,0.006036217303822937,0.9939454539321331,1.0,-0.4545454545454594,8000.0,141000.0,15.0,0.9999999999999994,5.211567638950265E-24,132.6,9.02219485491197,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.359375,1.3108850301553808E-8,9000.0,0.9951079622132254,0.8268079935839721,0.986,0.6047877145438131,1.0,0.012145748987854251,0.9511073878158526,0.9166666666666666,-0.6153846153846085,9000.0,141000.0,15.0,0.999999409475737,5.905242628221927E-7,154.06666666666666,10.402380679898416,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.375,1.3678800314664842E-8,10000.0,0.987273185483871,0.7017181857767135,0.979,0.3558282208588966,0.9951079622132254,0.008064516129032258,0.8576917165538916,0.75,-1.4418604651162665,10000.0,141000.0,15.0,0.9999999007132494,9.928675055157612E-8,169.66666666666666,10.634624492441569,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.40625,1.4818700340886913E-8,11000.0,0.9938333893934298,0.8278752817495368,0.977,0.43103107065109963,0.987273185483871,0.009081735620585268,0.988327435661242,1.0,-1.663157894736836,11000.0,141000.0,15.0,0.9999988566188726,1.1433811273259552E-6,187.99999999999997,10.783585409580356,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.4375,1.5958600367108982E-8,12000.0,0.9988969574409413,0.9297725644959755,0.983,0.5571071279699881,0.9938333893934298,0.011122345803842264,0.9913682061279425,1.0,-0.9245283018867885,12000.0,141000.0,15.0,0.9941850262996821,0.005814973700317883,210.53333333333333,9.1796877216312,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.453125,1.6528550380220018E-8,13000.0,0.9930695564516129,0.8725712809958546,0.968,0.32432432432432473,0.9988969574409413,0.008064516129032258,0.9837387536759294,1.0,-2.6491228070175543,13000.0,141000.0,15.0,0.9999967208149518,3.2791850482361404E-6,226.7333333333333,9.938860718460257,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.484375,1.7668450406442087E-8,14000.0,0.9974104445403539,0.9194462535475963,0.977,0.3712411153635852,0.9930695564516129,0.007049345417925478,0.9883510839045949,1.0,-1.6611570247933811,14000.0,141000.0,15.0,0.9999436044330627,5.639556693732985E-5,238.73333333333335,10.152175464730044,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.5,1.8238400419553123E-8,15000.0,0.9973737373737374,0.8739484629697979,0.98,0.4923857868020313,0.9974104445403539,0.010101010101010102,0.9898474527915803,1.0,-1.2900763358778549,15000.0,141000.0,15.0,0.9997833001174024,2.1669988259746597E-4,256.73333333333335,11.652508415828427,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.53125,1.9378300445775192E-8,16000.0,0.9964574898785425,0.8864942643002554,0.981,0.550359712230215,0.9973737373737374,0.012145748987854251,0.9903379376602871,1.0,-1.1258741258741176,16000.0,141000.0,15.0,0.9189999996573393,0.08100000034266065,278.2666666666667,10.859272973998292,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.5625,2.051820047199726E-8,17000.0,0.998391959798995,0.9193161384119184,0.977,0.29706601466992544,0.9964574898785425,0.005025125628140704,0.988374636517223,1.0,-1.6418918918918781,17000.0,141000.0,15.0,0.9569532789999939,0.043046721000005984,289.2,10.206440543667934,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.578125,2.1088150485108297E-8,18000.0,0.9992806790389872,0.9463710788919474,0.969,0.30286947917603707,0.998391959798995,0.007049345417925478,0.9842669710459883,1.0,-2.5999999999999974,18000.0,141000.0,15.0,0.9999978043240657,2.19567593428541E-6,303.66666666666663,11.424701725813657,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.609375,2.2228050511330366E-8,19000.0,0.9951463343958273,0.8842454516031824,0.975,0.5183786699545341,0.9992806790389872,0.014198782961460446,0.9872411207126471,1.0,-1.8106508875739589,19000.0,141000.0,15.0,0.9998202757873162,1.7972421268362421E-4,332.79999999999995,11.446771222863301,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.609375,2.2228050511330366E-8,20000.0,0.9993252361673415,0.9284777250098663,0.983,0.5782056371576019,0.9951463343958273,0.012145748987854251,0.9913594314209183,1.0,-0.8784530386740343,20000.0,141000.0,15.0,0.9794080436849903,0.02059195631500967,355.13333333333327,13.015741385319695,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,0.625,2.2798000524441402E-8,21000.0,0.9978177850518276,0.9089176529675783,0.979,0.5446265938069206,0.9993252361673415,0.013171225937183385,0.9893045053244826,1.0,-1.2731958762886546,21000.0,141000.0,15.0,0.9999999899391018,1.0060898166741664E-8,381.46666666666664,14.701149938824836,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,0.65625,2.393790055066347E-8,22000.0,0.9988191632928475,0.9116444057003811,0.98,0.5373797187268678,0.9978177850518276,0.012145748987854251,0.9898267954648646,1.0,-1.135922330097092,22000.0,141000.0,15.0,0.9999999987862405,1.2137594774387656E-9,403.20000000000005,16.049922118191102,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
