learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.3125,7.337981110645665E-8,1000.0,0.49176767676767674,0.19193153394742274,0.742,0.0035532210721459594,0.0,0.010101010101010102,0.47322235147908426,0.3,-24.79999999999998,1000.0,907672.0
2000.0,0.640625,1.7161008953634237E-7,2000.0,0.9798989898989899,0.7154382293846755,0.928,0.20318725099601545,0.49176767676767674,0.010101010101010102,0.9629500128629352,1.0,-6.199999999999989,2000.0,1157200.0
3000.0,0.875,2.465573036008411E-7,3000.0,0.9798994974874372,0.7225943168238872,0.945,0.11887215636014063,0.9798989898989899,0.005025125628140704,0.8698177479063441,0.8,-5.600000000000029,3000.0,1236080.0
4000.0,1.046875,3.0561285610828134E-7,4000.0,0.9879154078549849,0.7938085886993278,0.946,0.19578232508265678,0.9798994974874372,0.007049345417925478,0.972429604314591,1.0,-5.75,4000.0,1328160.0
5000.0,1.265625,3.8689261095391377E-7,5000.0,0.981612685560054,0.7636530062101868,0.94,0.2529880478087648,0.9879154078549849,0.012145748987854251,0.9283999411580336,0.9166666666666666,-5.818181818181801,5000.0,1436272.0
6000.0,1.46875,4.6729530569993787E-7,6000.0,0.9959636730575177,0.8681090511717804,0.956,0.27923205451626765,0.981612685560054,0.009081735620585268,0.9775481592395815,1.0,-3.9811320754716877,6000.0,1530064.0
7000.0,1.6875,5.626331161086758E-7,7000.0,0.981919191919192,0.7613437945011886,0.941,0.2201956119481892,0.9959636730575177,0.010101010101010102,0.9204741860979738,0.9,-5.555555555555555,7000.0,1684688.0
8000.0,1.890625,6.549639187546239E-7,8000.0,0.9907537688442211,0.8507426436944904,0.939,0.13278362240545655,0.981919191919192,0.005025125628140704,0.9688619444155516,1.0,-6.176470588235341,8000.0,1757056.0
9000.0,2.078125,7.434690552246239E-7,9000.0,0.992487947079269,0.8448713429040373,0.945,0.23449504509519936,0.9907537688442211,0.009081735620585268,0.9718541580612122,1.0,-5.4285714285714475,9000.0,1824608.0
10000.0,2.25,8.258074780719147E-7,10000.0,0.6743564025409562,0.593219659061438,0.944,0.06131616882899091,0.992487947079269,0.003009027081243731,0.7936558882834682,0.6666666666666666,-6.0,10000.0,1851792.0
11000.0,2.46875,9.3979489368697E-7,11000.0,0.9886264850767893,0.8500766243734773,0.94,0.3017409924588012,0.6743564025409562,0.014198782961460446,0.9690965240997991,1.0,-6.021276595744705,11000.0,2014240.0
12000.0,2.65625,1.0431569535285234E-6,12000.0,0.9862052840776245,0.7813356331863666,0.953,0.3236631554711327,0.9886264850767893,0.013171225937183385,0.9381130604029918,0.9230769230769231,-4.271028037383172,12000.0,2130896.0
13000.0,2.859375,1.1598904772351185E-6,13000.0,0.9953120691240004,0.859704526247259,0.943,0.26455408753096565,0.9862052840776245,0.011122345803842264,0.9707553895236333,1.0,-5.279661016949147,13000.0,2221440.0
14000.0,3.0625,1.2809939410847923E-6,14000.0,0.9963231914698042,0.8756851316766927,0.954,0.31082012405237675,0.9953120691240004,0.011122345803842264,0.9764672918705589,1.0,-3.9922480620154994,14000.0,2304600.0
15000.0,3.25,1.396383255875359E-6,15000.0,0.9868951612903226,0.812928448739513,0.95,0.2316203589869678,0.9963231914698042,0.008064516129032258,0.9744725620526975,1.0,-4.474452554744534,15000.0,2378848.0
16000.0,3.46875,1.533596433647391E-6,16000.0,0.9855801475519785,0.6652567388259074,0.983,0.3137413208461195,0.9868951612903226,0.006036217303822937,0.8103124733666811,0.6666666666666666,-0.9020979020978948,16000.0,2424656.0
