learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.5392951253387665E-8,1000.0,0.9352,0.7341099457348542,0.986,0.8405466970387244,0.0,0.05263157894736842,0.8817804954212035,0.78,0.72,1000.0,476008.0,15.0,0.9861328852895577,0.013867114710442316,1464.4,40.461268958280144,3667.733333333333,1910.660299726872,1.5333333333333332,1.4074631010979937,1.2666666666666668,0.7037315505489967,1.2666666666666668,0.7037315505489967,0.2666666666666667,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.265625,3.313930291268561E-8,2000.0,0.9970832354553285,0.8679986619279331,0.988,0.8883928571428571,0.9352,0.05708245243128964,0.9671914203500662,0.9444444444444444,0.7692307692307693,2000.0,487808.0,15.0,0.9721344639105198,0.027865536089480215,2821.7999999999997,43.56636972974181,4448.0,2582.5011132621025,2.0666666666666664,1.8309508328682538,1.5333333333333332,0.9154754164341269,1.5333333333333332,0.9154754164341269,0.5333333333333333,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.359375,4.610564145776961E-8,3000.0,0.9984060887410093,0.8225704142039261,0.989,0.8932702010401304,0.9970832354553285,0.0559662090813094,0.9579636774762758,0.9245283018867925,0.789808917197452,3000.0,534624.0,15.0,0.9217402266613941,0.07825977333860569,4145.266666666667,62.82454782586035,7541.866666666667,2342.3816288636863,4.333333333333333,1.632993161855452,2.6666666666666665,0.816496580927726,2.6666666666666665,0.816496580927726,1.6666666666666665,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.453125,5.984750007175737E-8,4000.0,0.9974161560083102,0.8318253706504566,0.988,0.8983653764715845,0.9984060887410093,0.06496272630457935,0.962530621159107,0.9344262295081968,0.7798165137614677,4000.0,566600.0,15.0,0.9835879592338859,0.016412040766113998,5491.933333333333,66.64668748243196,9654.4,2316.908679376774,5.933333333333334,1.667618775665584,3.466666666666667,0.833809387832792,3.466666666666667,0.833809387832792,2.4000000000000004,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.515625,6.935824381394519E-8,5000.0,0.9996985815602837,0.9189387633399371,0.996,0.9656121045392022,0.9974161560083102,0.06382978723404255,0.9978700721291645,1.0,0.9280575539568344,5000.0,588216.0,15.0,0.9846013187550705,0.015398681244929555,6816.0,70.14678487693811,11082.666666666668,2365.716402115456,7.0,1.6903085094570331,4.0,0.8451542547285166,4.0,0.8451542547285166,2.7333333333333334,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.59375,8.198801272859177E-8,6000.0,0.9976489808929888,0.8622666647783126,0.992,0.9203044370504673,0.9996985815602837,0.0559662090813094,0.9594911251816066,0.9245283018867925,0.8549848942598187,6000.0,624896.0,15.0,0.9755902474346014,0.024409752565398513,8151.133333333333,87.03764921545384,13508.8,3000.3592927704985,8.6,2.1646510771286644,4.8,1.082325538564332,4.8,1.082325538564332,3.333333333333333,0.9759000729485332,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.671875,9.537674486637116E-8,7000.0,0.999134080758363,0.9169120149222469,0.998,0.9776745847472763,0.9976489808929888,0.04821802935010482,0.9989512320135051,1.0,0.9628647214854111,7000.0,662448.0,15.0,0.9712690381773877,0.028730961822612224,9446.733333333334,87.03075537390431,15988.266666666666,2959.6677290984317,10.6,2.164651077128664,5.8,1.082325538564332,5.8,1.082325538564332,3.5333333333333328,0.9154754164341268,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.71875,1.0369976128761969E-7,8000.0,0.9990429313645064,0.9201019538093812,0.996,0.9553491694945526,0.999134080758363,0.04821802935010482,0.9875143429452351,0.9782608695652174,0.9243498817966902,8000.0,686344.0,15.0,0.9079320532349587,0.09206794676504122,10732.333333333334,104.77776936154403,17568.0,3332.8974953163074,11.799999999999999,2.4842360136324753,6.3999999999999995,1.2421180068162376,6.3999999999999995,1.2421180068162376,4.0,1.133893419027682,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.78125,1.1516408348042106E-7,9000.0,0.9997854031202387,0.927354199593537,0.996,0.9578956232500369,0.9990429313645064,0.05152471083070452,0.988180976170929,0.9795918367346939,0.9237288135593219,9000.0,709040.0,15.0,0.9818956544564331,0.018104345543566852,12051.200000000003,106.9447120178056,19067.199999999997,2572.8406535523,13.133333333333333,1.9223002094465098,7.066666666666666,0.9611501047232549,7.066666666666666,0.9611501047232549,4.466666666666666,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.859375,1.2990080803218816E-7,10000.0,0.9988802083333334,0.9072660569234664,0.993,0.9140049140049139,0.9997854031202387,0.041666666666666664,0.9843303561305016,0.975,0.8632812499999999,10000.0,729144.0,15.0,0.9565380705097496,0.04346192949025035,13377.866666666667,114.00179614290961,20396.800000000003,2738.7134414329876,13.933333333333334,2.1201976547572388,7.466666666666667,1.0600988273786194,7.466666666666667,1.0600988273786194,4.6000000000000005,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
