learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.5040600879324808E-8,1000.0,0.9384842105263158,0.6302037490633227,0.982,0.7815533980582523,0.0,0.05263157894736842,0.8237526455512186,0.68,0.64,1000.0,465112.0,15.0,0.9861328852895577,0.013867114710442316,1022.0,35.250126646175715,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.21875,2.6321051538818414E-8,2000.0,0.9977879570902827,0.767538331481015,0.989,0.8874196585745281,0.9384842105263158,0.05708245243128964,0.9214935805082208,0.8518518518518519,0.7884615384615384,2000.0,465112.0,15.0,0.9721344639105198,0.027865536089480215,2027.8666666666666,46.208945742860955,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.28125,3.384135197848082E-8,3000.0,0.9995417505130402,0.8512672023937828,0.995,0.949742682534577,0.9977879570902827,0.0559662090813094,0.9702596752114127,0.9433962264150944,0.9044585987261146,3000.0,465112.0,15.0,0.9217402266613941,0.07825977333860569,3032.6666666666665,62.81226753096046,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.375,4.615848107884328E-8,4000.0,0.9969796958745788,0.6869323535352896,0.982,0.8269596816058141,0.9995417505130402,0.06496272630457935,0.8670000580839313,0.7540983606557377,0.6697247706422015,4000.0,507856.0,15.0,0.9835879592338859,0.016412040766113998,4035.266666666667,62.18689189700295,5767.999999999999,683.8613059051419,3.1333333333333333,0.5163977794943222,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.421875,5.232044107591113E-8,5000.0,0.9997872340425532,0.8516768771406783,0.995,0.9546114742193174,0.9969796958745788,0.06382978723404255,0.9655777677286873,0.9333333333333333,0.9100719424460431,5000.0,508136.0,15.0,0.9846013187550705,0.015398681244929555,5041.066666666666,65.95936700149636,5786.666666666666,756.1566982980133,3.1333333333333333,0.5163977794943222,2.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.484375,6.082134657642908E-8,6000.0,0.9991831204797673,0.804259724812263,0.991,0.9061639836516807,0.9997872340425532,0.0559662090813094,0.9306403872356107,0.8679245283018868,0.836858006042296,6000.0,525760.0,15.0,0.9755902474346014,0.024409752565398513,6046.733333333333,81.8146569707292,6950.933333333333,1689.8889002647763,4.2,1.2649110640673518,2.6,0.6324555320336759,2.6,0.6324555320336759,1.5333333333333334,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.546875,6.972582519261374E-8,7000.0,0.9995670403791814,0.8491466435388066,0.995,0.9412069046611166,0.9991831204797673,0.04821802935010482,0.9550321510951221,0.9130434782608695,0.9071618037135277,7000.0,550720.0,15.0,0.9712690381773877,0.028730961822612224,7048.533333333333,82.46546174582654,8600.0,980.7052855689404,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.640625,8.401405971704259E-8,8000.0,0.9827955519095798,0.7122313756347817,0.99,0.8729158194387963,0.9995670403791814,0.04821802935010482,0.8846517369293828,0.782608695652174,0.8108747044917256,8000.0,589128.0,15.0,0.9079320532349587,0.09206794676504122,8063.266666666666,92.71112328600263,11139.733333333334,130.43633732682807,7.0,0.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.703125,9.35872796819442E-8,9000.0,0.9996781046803579,0.807195740132401,0.994,0.9316519718406124,0.9827955519095798,0.05152471083070452,0.9367769320431429,0.8775510204081632,0.8855932203389829,9000.0,592080.0,15.0,0.9818956544564331,0.018104345543566852,9076.666666666666,95.31052008091902,11334.933333333334,772.681367212964,7.133333333333333,0.5163977794943222,4.066666666666666,0.25819888974716104,4.066666666666666,0.25819888974716104,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.75,1.0082840971234773E-7,10000.0,0.9986979166666666,0.8145095173680325,0.996,0.9479166666666666,0.9996781046803579,0.041666666666666664,0.9736636140543269,0.95,0.921875,10000.0,597128.0,15.0,0.9565380705097496,0.04346192949025035,10096.533333333333,103.07754824587606,11668.266666666668,2056.7399817140117,7.4,1.549193338482967,4.2,0.7745966692414834,4.2,0.7745966692414834,2.1333333333333337,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.796875,1.0818517896243269E-7,11000.0,0.9985573007562536,0.8365651692990014,0.992,0.9049090692975157,0.9986979166666666,0.04712041884816754,0.9413270248813429,0.8888888888888888,0.8420107719928184,11000.0,606664.0,15.0,0.8381206505354094,0.1618793494645905,11107.133333333333,97.90729337101529,12297.6,2192.284027479756,7.933333333333334,1.667618775665584,4.466666666666667,0.833809387832792,4.466666666666667,0.833809387832792,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.84375,1.1554194821251764E-7,12000.0,0.99961962723469,0.8666342390848796,0.997,0.9639492405306672,0.9985573007562536,0.04602510460251046,0.9764972995541339,0.9545454545454546,0.9400998336106489,12000.0,606664.0,15.0,0.988061829821855,0.011938170178145082,12106.4,78.43905732660059,12297.6,2192.284027479756,7.933333333333334,1.667618775665584,4.466666666666667,0.833809387832792,4.466666666666667,0.833809387832792,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.890625,1.228987174626026E-7,13000.0,0.9993568401937046,0.8220023183180349,0.993,0.9320810370255376,0.99961962723469,0.059322033898305086,0.9533020540706915,0.9107142857142857,0.8614916286149161,13000.0,606664.0,15.0,0.8757185782674307,0.12428142173256927,13110.666666666666,70.9382696098382,12297.6,2192.284027479756,7.933333333333334,1.667618775665584,4.466666666666667,0.833809387832792,4.466666666666667,0.833809387832792,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.953125,1.3272145426728661E-7,14000.0,0.9850410132440753,0.7814618501733174,0.992,0.9157912465000736,0.9993568401937046,0.05374077976817703,0.9482138396654926,0.9019607843137255,0.8418079096045197,14000.0,607512.0,15.0,0.9998714362726124,1.2856372738745024E-4,14117.999999999998,82.28955844195211,12354.133333333335,2206.8412418356393,7.933333333333334,1.667618775665584,4.466666666666667,0.833809387832792,4.466666666666667,0.833809387832792,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.015625,1.425441910719706E-7,15000.0,0.998864615143685,0.8481025738033949,0.995,0.9506299616888503,0.9850410132440753,0.05708245243128964,0.9707974727745265,0.9444444444444444,0.9015748031496061,15000.0,607512.0,15.0,0.9800437032643123,0.019956296735687513,15116.133333333333,93.36477361607508,12354.133333333335,2206.8412418356393,7.933333333333334,1.667618775665584,4.466666666666667,0.833809387832792,4.466666666666667,0.833809387832792,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.078125,1.5241000154573057E-7,16000.0,0.9998132287414285,0.8502746714364069,0.998,0.972645457778264,0.998864615143685,0.04058272632674298,0.9740215340114143,0.9487179487179487,0.9600499375780275,16000.0,610176.0,15.0,0.9421297153910558,0.05787028460894407,16117.466666666667,73.12793746643777,12530.133333333335,2446.566277945675,8.066666666666666,1.8309508328682536,4.533333333333333,0.9154754164341268,4.533333333333333,0.9154754164341268,2.4,0.6324555320336759,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.15625,1.6525901931648454E-7,17000.0,0.9818464730290456,0.8430777738424862,0.998,0.9703931785883467,0.9998132287414285,0.03734439834024896,0.97182531580755,0.9444444444444444,0.9593787335722819,17000.0,635744.0,15.0,0.9900716123316003,0.009928387668399551,17130.733333333334,75.47323713614979,14218.666666666666,3216.7258124342757,9.4,2.41424344848887,5.2,1.207121724244435,5.2,1.207121724244435,3.0,0.8451542547285166,0.0,0.0,0.0,0.0,1.0,0.0
