learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.1875,4.036158012847106E-8,1000.0,0.8924685154662272,0.6892525196887056,0.858,0.7156861174736909,0.0,0.9762845849802372,0.8564844618854547,0.8157894736842105,0.690631808278867,1000.0,832088.0
2000.0,0.390625,9.225940124856102E-8,2000.0,0.9233049677736836,0.7230221637330063,0.878,0.755774335485989,0.8924685154662272,0.9723865877712031,0.8771743322866941,0.8498985801217038,0.7436974789915967,2000.0,987616.0
3000.0,0.59375,1.4758465113118292E-7,3000.0,0.897285705140516,0.6870431660780252,0.864,0.7281913532872858,0.9233049677736836,1.032520325203252,0.8639971653437531,0.8366141732283464,0.7156794425087109,3000.0,1052840.0
4000.0,0.71875,1.827671722922888E-7,4000.0,0.9024576002821971,0.6647669526873949,0.852,0.7051123163427551,0.897285705140516,1.0964360587002095,0.852712485496408,0.7973231357552581,0.6903765690376569,4000.0,1087976.0
5000.0,0.875,2.29847792070359E-7,5000.0,0.9010491091978178,0.6615625288889148,0.865,0.7314523059295331,0.9024576002821971,1.053388090349076,0.860490871833853,0.7543859649122807,0.7186327636515214,5000.0,1164728.0
6000.0,1.03125,2.774173562001023E-7,6000.0,0.880487423840025,0.6296576378465374,0.841,0.6849688535243862,0.9010491091978178,1.079002079002079,0.8350226628971605,0.7090558766859345,0.6686349426884334,6000.0,1176824.0
7000.0,1.1875,3.2615754106599427E-7,7000.0,0.9061525591299718,0.632326222045666,0.85,0.7019066053521675,0.880487423840025,1.053388090349076,0.8431373288233374,0.7212475633528265,0.6882422802850355,7000.0,1205784.0
8000.0,1.359375,3.8124048539126914E-7,8000.0,0.9026199090676229,0.6512059972929098,0.858,0.7175455905286273,0.9061525591299718,1.0491803278688525,0.8521609464699287,0.73828125,0.7053941908713692,8000.0,1238816.0
9000.0,1.578125,4.5381748350337146E-7,9000.0,0.8897245215469082,0.6335760443642904,0.852,0.706336387699463,0.9026199090676229,1.0703933747412009,0.846600580450722,0.7272727272727273,0.6930168241530307,9000.0,1282488.0
10000.0,1.765625,5.16471821659555E-7,10000.0,0.9167210019560704,0.6739557416908287,0.879,0.7582842577129296,0.8897245215469082,1.012072434607646,0.8738669756694561,0.7793240556660039,0.7503095336359885,10000.0,1291672.0
11000.0,1.953125,5.814474813329676E-7,11000.0,0.8897845158811475,0.6358573170470324,0.858,0.7175725560081466,0.9167210019560704,1.0491803278688525,0.851919034439162,0.736328125,0.7071066941683855,11000.0,1339528.0
12000.0,2.140625,6.502388472047945E-7,12000.0,0.8852666282568338,0.6195186255880698,0.859,0.7170856207261871,0.8897845158811475,0.968503937007874,0.8521654203212656,0.7621951219512195,0.7093782205427688,12000.0,1418192.0
13000.0,2.296875,7.095084745540387E-7,13000.0,0.8903681472589036,0.6326039792099751,0.864,0.7271049040854001,0.8852666282568338,0.9607843137254902,0.8592597575427194,0.7877551020408163,0.7195876288659794,13000.0,1466272.0
14000.0,2.484375,7.821617247019378E-7,14000.0,0.8875995822646537,0.6011722440430401,0.854,0.7088698967485154,0.8903681472589036,1.0366598778004072,0.8509257312894324,0.7662082514734774,0.7001173708920188,14000.0,1497808.0
15000.0,2.65625,8.526890370477405E-7,15000.0,0.9075224624357572,0.6061056207629771,0.864,0.7262314552005958,0.8875995822646537,0.9267822736030829,0.858337846148672,0.7900207900207901,0.7205096588573777,15000.0,1586160.0
16000.0,2.859375,9.381494277881252E-7,16000.0,0.8980226429591922,0.5578820513987766,0.858,0.7169341174125387,0.9075224624357572,1.0449897750511248,0.8558168568603702,0.776908023483366,0.708194194708451,16000.0,1626312.0
17000.0,3.03125,1.0108323638430901E-6,17000.0,0.9058,0.6017920583182506,0.842,0.6839999999999999,0.8980226429591922,1.0,0.8342469658320609,0.728,0.6754470758820685,17000.0,1634640.0
18000.0,3.25,1.1044498144959412E-6,18000.0,0.9079618140720435,0.616130650059848,0.887,0.7719327988891311,0.9058,0.9157088122605364,0.8789993348758911,0.797071129707113,0.767463130216074,18000.0,1654288.0
19000.0,3.421875,1.1789127408216399E-6,19000.0,0.917995799579958,0.6510957801823759,0.884,0.768338226189763,0.9079618140720435,1.02020202020202,0.8814248073256714,0.807920792079208,0.7615234797662844,19000.0,1674672.0
20000.0,3.609375,1.2619591628511748E-6,20000.0,0.8986308172247117,0.6051398184767987,0.849,0.6960987940556118,0.917995799579958,0.9342359767891683,0.8424609545680604,0.7660455486542443,0.689779147406266,20000.0,1712072.0
21000.0,3.78125,1.340940361842513E-6,21000.0,0.8905750383185462,0.5725384523928724,0.867,0.7327062984846657,0.8986308172247117,0.9569471624266145,0.8587228330337578,0.7627811860940695,0.7268192488262911,21000.0,1776288.0
22000.0,3.984375,1.435859077092674E-6,22000.0,0.910374961487522,0.6140246919028982,0.88,0.760629066812417,0.8905750383185462,1.0366598778004072,0.8778118587633919,0.8015717092337917,0.7532249018508133,22000.0,1806304.0
23000.0,4.171875,1.5256455582049158E-6,23000.0,0.9014816948284691,0.6311911207201943,0.867,0.7343952199127697,0.910374961487522,1.0161290322580645,0.8624474501085088,0.7718253968253969,0.7268749999999999,23000.0,1851024.0
24000.0,4.328125,1.6017866760699285E-6,24000.0,0.8943245634048617,0.6143182775389098,0.878,0.7547886559604446,0.9014816948284691,0.949317738791423,0.8716269729075693,0.7905544147843943,0.7491862258009252,24000.0,1883656.0
25000.0,4.515625,1.6943089172451032E-6,25000.0,0.9050344805516888,0.6320796779830716,0.878,0.7558281029845011,0.8943245634048617,0.9920318725099602,0.8733820497006312,0.7911646586345381,0.7494249096286559,25000.0,1907424.0
26000.0,4.734375,1.8060621288087634E-6,26000.0,0.9052343537469396,0.5128803734365643,0.872,0.744576236011558,0.9050344805516888,1.0242914979757085,0.867610739772734,0.7747035573122529,0.7371870804706625,26000.0,1974760.0
27000.0,4.90625,1.895859863402115E-6,27000.0,0.9226990527393754,0.5220621754967769,0.875,0.7502996404314822,0.9052343537469396,1.0161290322580645,0.8721425803683429,0.7976190476190477,0.7435020519835841,27000.0,2019552.0
28000.0,5.078125,1.9871010833109418E-6,28000.0,0.9127770372771994,0.5602157568966751,0.881,0.7628631780319637,0.9226990527393754,1.053388090349076,0.8794514437722871,0.8031189083820662,0.7558437751886862,28000.0,2052016.0
29000.0,5.328125,2.1228972279156247E-6,29000.0,0.897972,0.5080733952822843,0.872,0.744,0.9127770372771994,1.0,0.8657759525419957,0.768,0.7375008839544587,29000.0,2099664.0
30000.0,5.53125,2.2367090504202576E-6,30000.0,0.8952116419057377,0.5808383125349774,0.861,0.7205917825842245,0.897972,0.953125,0.8532592557845283,0.7622950819672131,0.7143248612728643,30000.0,2165840.0
31000.0,5.71875,2.345144101935956E-6,31000.0,0.8928075712302849,0.6267548039813919,0.865,0.7298854714398905,0.8952116419057377,0.9960079840319361,0.8583582859830668,0.7595190380761523,0.7225536992840095,31000.0,2235480.0
32000.0,5.890625,2.447086606278188E-6,32000.0,0.8846794871794872,0.600993852795609,0.862,0.7259729944400318,0.8928075712302849,1.0833333333333333,0.8598412196893814,0.7615384615384615,0.7159763313609467,32000.0,2292688.0
33000.0,6.0625,2.550571839997752E-6,33000.0,0.866125313283208,0.5505930129870519,0.846,0.6947775245268061,0.8846794871794872,1.105263157894737,0.8444778606587962,0.7428571428571429,0.6828309305373524,33000.0,2327384.0
34000.0,6.265625,2.675258276414954E-6,34000.0,0.8989898181352459,0.6154624080882524,0.876,0.7528304895550949,0.866125313283208,1.0491803278688525,0.8743296429487761,0.798828125,0.7446550784325601,34000.0,2372784.0
35000.0,6.46875,2.8018574812449514E-6,35000.0,0.9196490048197787,0.6502040793268313,0.884,0.7667985461095564,0.8989898181352459,0.9455252918287937,0.877966016581392,0.8004115226337448,0.7612186084808563,35000.0,2409184.0
