learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.7704388938016362E-8,1000.0,0.7746244377483733,0.33016638946094784,0.682,0.2044112643356086,0.0,0.11358574610244988,0.7211638482008013,0.7745098039215687,-2.1176470588235294,1000.0,623072.0,15.0,3036.533333333333,59.69430059737302,13394.133333333335,5794.22488180709,8.466666666666665,4.172472146045293,4.733333333333333,2.0862360730226466,4.733333333333333,2.0862360730226466,2.6666666666666665,0.8997354108424372,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,5.713256541639566E-8,2000.0,0.911293445385187,0.37030971549288,0.74,0.3124785149535921,0.7746244377483733,0.11982082866741321,0.8043793852622645,0.897196261682243,-1.488038277511961,2000.0,728024.0,15.0,5394.7333333333345,66.73451309551304,20330.666666666668,7432.484478544811,13.666666666666664,5.485912694824635,7.333333333333333,2.742956347412318,7.333333333333333,2.742956347412318,3.6666666666666665,0.8997354108424372,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,8.402683306485414E-8,3000.0,0.9389540311438067,0.5641323407312542,0.9,0.6170108462528342,0.911293445385187,0.13895216400911162,0.8754283358882096,0.8442622950819673,0.09365558912386686,3000.0,831672.0,15.0,8072.466666666666,81.22004209611836,27186.666666666668,8285.791027559224,18.066666666666663,5.993647430722758,9.533333333333331,2.996823715361379,9.533333333333331,2.996823715361379,4.733333333333333,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.59375,1.1786236427724361E-7,4000.0,0.9535993765626523,0.602225805046376,0.91,0.6179933615735279,0.9389540311438067,0.11482720178372352,0.8937444275969337,0.8737864077669902,0.1705069124423969,4000.0,930064.0,15.0,10532.133333333333,77.07590569104732,33689.6,9089.187145802893,22.866666666666664,6.5232186037554305,11.933333333333332,3.2616093018777153,11.933333333333332,3.2616093018777153,5.333333333333333,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.6875,1.429335679858923E-7,5000.0,0.8849222222222223,0.5405157601636242,0.898,0.5588235294117649,0.9535993765626523,0.1111111111111111,0.8574963556773871,0.81,0.04494382022471935,5000.0,1033728.0,15.0,13246.733333333332,78.11572611623514,40541.333333333336,10359.070522746628,28.333333333333332,7.807200583588266,14.666666666666666,3.903600291794133,14.666666666666666,3.903600291794133,5.666666666666667,1.1126972805283735,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.8125,1.792903316931592E-7,6000.0,0.9418671644542773,0.5715885408210766,0.904,0.5828408537857196,0.8849222222222223,0.10619469026548672,0.8861164378598491,0.8645833333333334,0.0857142857142858,6000.0,1124288.0,15.0,16071.6,115.44807119591515,46530.133333333324,9910.875281129072,31.933333333333334,7.401415566021974,16.466666666666665,3.7007077830109876,16.466666666666665,3.7007077830109876,6.066666666666666,1.0327955589886444,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.90625,2.094991375795669E-7,7000.0,0.9475555555555556,0.5805291432534275,0.898,0.5819672131147542,0.9418671644542773,0.1111111111111111,0.8944334022782865,0.89,0.02191780821917855,7000.0,1245560.0,15.0,18779.4,126.06846212616851,54542.933333333334,12265.547891010276,38.2,9.405165753836709,19.6,4.702582876918354,19.6,4.702582876918354,6.466666666666666,0.9154754164341269,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.015625,2.475297272515794E-7,8000.0,0.9671212121212122,0.617486549709479,0.917,0.6833511368838702,0.9475555555555556,0.13636363636363635,0.9240064278931608,0.9333333333333333,0.21882352941176472,8000.0,1344056.0,15.0,21234.4,153.14129796647674,61053.33333333333,12898.173395965063,42.86666666666667,9.241727317418743,21.933333333333334,4.620863658709371,21.933333333333334,4.620863658709371,6.933333333333334,0.8837151016885368,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.15625,2.998834437069794E-7,9000.0,0.9549802453732584,0.6287379703953521,0.923,0.620644805297178,0.9671212121212122,0.09170305676855896,0.909161796136055,0.8928571428571429,0.25802997858672394,9000.0,1439088.0,15.0,23678.466666666667,149.67195875679326,67335.46666666667,11949.236041728875,47.13333333333333,8.765734152830285,24.066666666666666,4.382867076415143,24.066666666666666,4.382867076415143,7.133333333333333,0.8338093878327919,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.265625,3.429999600888955E-7,10000.0,0.9607129289603646,0.6400071991017613,0.915,0.644607228270868,0.9549802453732584,0.1185682326621924,0.9066653879473636,0.8962264150943396,0.18269230769230788,10000.0,1523800.0,15.0,26272.666666666664,178.6967369862244,72935.99999999999,12983.15427225383,50.866666666666674,9.840634900152287,25.933333333333337,4.920317450076143,25.933333333333337,4.920317450076143,7.266666666666667,0.9611501047232548,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.40625,4.0116891290785543E-7,11000.0,0.9460980592441267,0.6348261015112108,0.915,0.6462165986847583,0.9607129289603646,0.12359550561797752,0.8961613746403848,0.8727272727272727,0.1869565217391304,11000.0,1598936.0,15.0,28880.733333333337,161.65769243623828,77901.86666666667,13043.639971083152,55.0,9.071147352221454,28.0,4.535573676110727,28.0,4.535573676110727,7.666666666666667,0.8997354108424374,0.0,0.0,0.0,0.0,1.0,0.0
