learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2554304450750352E-8,1000.0,0.8625742582184432,0.43762471899574906,0.775,0.5528296936982774,0.0,0.9455252918287937,0.7689522543399248,0.8991769547325102,0.5192307692307693,1000.0,464976.0,15.0,712.2,31.1521611265919,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.571098204702139E-8,2000.0,0.8867795471181885,0.43512204189040216,0.813,0.626176444718093,0.8625742582184432,0.9960079840319361,0.8045387430884585,0.9318637274549099,0.6199186991869917,2000.0,464976.0,15.0,1482.8666666666668,47.2483811766025,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.8867659643292425E-8,3000.0,0.9153697939825107,0.46300195370080366,0.83,0.6620291768223585,0.8867795471181885,0.9267822736030829,0.8284268248976969,0.9251559251559252,0.6485182632667126,3000.0,464976.0,15.0,2216.4666666666662,60.948299714555,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.484375,5.826528649777174E-8,4000.0,0.917807943932745,0.4761063220673322,0.84,0.6839543630100186,0.9153697939825107,0.8726591760299626,0.839939416735987,0.9635193133047211,0.6661450182576942,4000.0,464976.0,15.0,2908.2,65.94174918603757,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.671875,8.396164048463106E-8,5000.0,0.8953020778732309,0.43801143358250116,0.805,0.6117053899274387,0.917807943932745,0.9646365422396856,0.7971586351864022,0.9348268839103869,0.5950996677740865,5000.0,529752.0,15.0,3652.2000000000003,69.70263368666312,7223.466666666666,1354.3933732574926,4.333333333333332,0.975900072948533,2.666666666666666,0.4879500364742665,2.666666666666666,0.4879500364742665,1.6666666666666663,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.8125,1.0384770575910808E-7,6000.0,0.8852352649033147,0.44331268329277107,0.774,0.5540999131875939,0.8953020778732309,0.9305019305019305,0.7551364243639317,0.9813278008298755,0.5299826689774697,6000.0,546624.0,15.0,4352.200000000001,78.08896025870585,8339.199999999999,146.04265521708754,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.875,1.126999268308282E-7,7000.0,0.8810337831594426,0.4572580628277664,0.796,0.5800827483995802,0.8852352649033147,1.1413276231263383,0.7580336556119153,0.9793621013133208,0.5763868288341739,7000.0,547488.0,15.0,5127.933333333333,81.56107848606177,8396.799999999997,146.0426552170876,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.984375,1.2820761185139418E-7,8000.0,0.9012826055627612,0.4496592297130163,0.823,0.6433033735036878,0.8810337831594426,1.0576131687242798,0.8097172490112233,0.9455252918287937,0.6328752916774695,8000.0,548064.0,15.0,5935.133333333332,80.00434512009483,8435.199999999999,131.82845996651426,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0625,1.393980346620083E-7,9000.0,0.926177478227459,0.4869078275173681,0.856,0.7133757961783439,0.9012826055627612,0.953125,0.8517099483190118,0.9672131147540983,0.7018633540372671,9000.0,553680.0,15.0,6715.200000000001,87.94413811375637,8806.4,959.4627067866086,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.15625,1.5282654203474521E-7,10000.0,0.9147621791178542,0.475632739623253,0.828,0.6545851809009703,0.926177478227459,1.032520325203252,0.816859117753774,0.9488188976377953,0.6452145214521451,10000.0,553680.0,15.0,7486.533333333334,91.1967000238391,8806.4,959.4627067866086,5.2666666666666675,0.7037315505489969,3.1333333333333337,0.35186577527449847,3.1333333333333337,0.35186577527449847,2.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
