learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.50362029671669E-8,1000.0,0.4820169759746799,0.17195662695032343,0.869,0.01657558104618332,0.0,0.007049345417925478,0.4994602179145406,0.2857142857142857,-17.714285714285698,1000.0,464976.0,15.0,15.466666666666669,3.9617216074880997,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,3.00724059343338E-8,2000.0,0.8420371169615882,0.3098764331051508,0.831,0.03218417134348848,0.4820169759746799,0.007049345417925478,0.6898570488195878,0.5714285714285714,-23.142857142857128,2000.0,464976.0,15.0,27.933333333333334,5.599319686567373,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.359375,4.322908353060484E-8,3000.0,0.9194949494949495,0.43381940381018264,0.841,0.06327324142806628,0.8420371169615882,0.010101010101010102,0.767917293526438,0.7,-18.874999999999986,3000.0,464976.0,15.0,48.93333333333334,6.881306631184295,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,5.6385761126875873E-8,4000.0,0.9076305220883534,0.42770788111337793,0.842,0.02900688298918421,0.9194949494949495,0.004016064257028112,0.7948440780642043,0.75,-21.571428571428555,4000.0,464976.0,15.0,59.599999999999994,7.365944804106454,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.546875,6.578338798135518E-8,5000.0,0.9444444444444444,0.5238407782308844,0.827,0.07674244850037384,0.9076305220883534,0.010101010101010102,0.8623435299440494,0.9,-21.763157894736693,5000.0,464976.0,15.0,75.46666666666668,8.219025547617,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.65625,7.894006557762622E-8,6000.0,0.9397914564413051,0.5270356861185681,0.83,0.05999447055570927,0.9444444444444444,0.009081735620585268,0.8036942397392315,0.7777777777777778,-20.7021276595744,6000.0,464976.0,15.0,93.60000000000001,7.297749163758837,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,9.773531928658485E-8,7000.0,0.8876555667675748,0.453561157623414,0.793,0.046891115367614436,0.9397914564413051,0.009081735620585268,0.7854204613089207,0.7777777777777778,-24.87499999999997,7000.0,464976.0,15.0,109.53333333333333,8.991000791797052,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.0901247151196003E-7,8000.0,0.9212449596774194,0.48861376352421326,0.827,0.060477038710518474,0.8876555667675748,0.008064516129032258,0.8504623979474817,0.875,-20.624999999999986,8000.0,464976.0,15.0,129.2,10.269232827097792,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.015625,1.2216914910823106E-7,9000.0,0.9463185954591414,0.5143013745460998,0.865,0.11085937088360795,0.9212449596774194,0.011122345803842264,0.8865200636924977,0.9090909090909091,-15.200000000000058,9000.0,464976.0,15.0,148.66666666666669,12.898874074156723,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.140625,1.3720535207539797E-7,10000.0,0.9708921370967742,0.5989344285750786,0.854,0.08484605355531034,0.9463185954591414,0.008064516129032258,0.9234839363222087,1.0,-16.59036144578319,10000.0,464976.0,15.0,166.73333333333335,13.796825031592626,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.25,1.5036202967166902E-7,11000.0,0.9298245614035088,0.5173468891993703,0.846,0.09471407072987215,0.9708921370967742,0.012145748987854251,0.8397191227596316,0.8333333333333334,-16.831578947368367,11000.0,464976.0,15.0,189.1333333333333,15.249668224337901,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.328125,1.5975965652614832E-7,12000.0,0.9577585535032344,0.5735094493186943,0.834,0.1046289603987099,0.9298245614035088,0.013171225937183385,0.876791395795987,0.9230769230769231,-17.444444444444432,12000.0,464976.0,15.0,213.13333333333335,18.504310952032878,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.4375,1.7291633412241937E-7,13000.0,0.9379945331606963,0.5268880232987656,0.838,0.056285025223986984,0.9577585535032344,0.007049345417925478,0.8474491415271972,0.8571428571428571,-17.31304347826089,13000.0,464976.0,15.0,227.4666666666667,18.81438153065235,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.53125,1.8419348634779454E-7,14000.0,0.9251855600539811,0.49105890878704506,0.85,0.09751636503658066,0.9379945331606963,0.012145748987854251,0.8417256229267932,0.8333333333333334,-15.535433070866057,14000.0,464976.0,15.0,248.40000000000003,19.13411314156696,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.609375,1.9359111320227384E-7,15000.0,0.9405241935483871,0.5234387988562035,0.84,0.07680945347119639,0.9251855600539811,0.008064516129032258,0.915810939779251,1.0,-16.777777777777764,15000.0,464976.0,15.0,263.99999999999994,19.003759026646737,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.65625,1.9922968931496142E-7,16000.0,0.9423788829872847,0.5233276530333975,0.849,0.16397218408114492,0.9405241935483871,0.019367991845056064,0.8958297072082144,0.9473684210526315,-14.6883116883117,16000.0,464976.0,15.0,297.53333333333336,21.715256870513436,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.765625,2.1238636691123247E-7,17000.0,0.9452853458907949,0.5140278370736312,0.835,0.08266061778637719,0.9423788829872847,0.009081735620585268,0.9129630406662711,1.0,-16.208588957055166,17000.0,464976.0,15.0,317.3333333333333,20.807507802530825,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.859375,2.2366351913660766E-7,18000.0,0.8876381909547739,0.39567900646415427,0.845,0.0278474661314601,0.9452853458907949,0.005025125628140704,0.7125578527160701,0.6,-15.607142857142911,18000.0,464976.0,15.0,329.1333333333334,22.617523758192036,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.953125,2.3494067136198282E-7,19000.0,0.9774747474747475,0.6136368029091978,0.835,0.09090909090909069,0.8876381909547739,0.010101010101010102,0.9128709291752769,1.0,-16.6123595505618,19000.0,464976.0,15.0,348.26666666666665,24.85519970511105,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,2.046875,2.46217823587358E-7,20000.0,0.9290909090909091,0.5152468618706125,0.824,0.07524169819251839,0.9774747474747475,0.010101010101010102,0.860760762877288,0.9,-17.723404255319224,20000.0,464976.0,15.0,365.9333333333334,25.115352921688213,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.109375,2.5373592507094143E-7,21000.0,0.941473259334006,0.5557310298065852,0.824,0.05752321384584092,0.9290909090909091,0.009081735620585268,0.8007592540148747,0.7777777777777778,-17.761421319796963,21000.0,464976.0,15.0,381.2666666666667,25.146617684141546,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.1875,2.6313355192542073E-7,22000.0,0.9507792353402847,0.559279801240514,0.832,0.08103318126620551,0.941473259334006,0.009081735620585268,0.9113036093507705,1.0,-16.94174757281556,22000.0,464976.0,15.0,400.4666666666667,26.4598527872664,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.328125,2.8004928026348347E-7,23000.0,0.94760547844471,0.560904779987932,0.836,0.08986980698580438,0.9507792353402847,0.011122345803842264,0.8713558179558054,0.9090909090909091,-16.382488479262626,23000.0,464976.0,15.0,423.26666666666665,26.165589908085295,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,2.421875,2.9132643248885864E-7,24000.0,0.964321680333765,0.591863687342405,0.847,0.06012728210924584,0.94760547844471,0.007049345417925478,0.8520203717365693,0.8571428571428571,-15.392857142857196,24000.0,464976.0,15.0,438.19999999999993,26.541611534666526,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
