learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.0674779079854488E-8,1000.0,0.7072727272727273,0.2848776400995921,0.873,0.027118124712732464,0.0,0.010101010101010102,0.5134553180524705,0.3,-11.699999999999989,1000.0,464976.0,15.0,16.933333333333334,3.5550098787619757,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9470032788813116E-8,2000.0,0.5531578190188462,0.11072962589791843,0.644,0.0028849116320759775,0.7072727272727273,0.007049345417925478,0.5259760846326802,0.42857142857142855,-40.882352941176705,2000.0,464976.0,15.0,32.06666666666667,3.369329451445933,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,5.450623575598002E-8,3000.0,0.7402159244264508,0.22601028857222094,0.696,0.03953088666464486,0.5531578190188462,0.012145748987854251,0.7606641745900246,0.8333333333333334,-30.448275862068822,3000.0,464976.0,15.0,56.39999999999999,5.6035702904487605,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.546875,6.57833879813552E-8,4000.0,0.5282412060301508,0.0968009360522043,0.663,0.0018955100106621669,0.7402159244264508,0.005025125628140704,0.5154887420847136,0.4,-38.64705882352963,4000.0,464976.0,15.0,68.26666666666667,7.33354978035551,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,7.706054020673037E-8,5000.0,0.6466241669081426,0.1415508070576137,0.623,0.009052580668902657,0.5282412060301508,0.014198782961460446,0.5589035920014559,0.5,-38.270833333333115,5000.0,464976.0,15.0,91.93333333333334,8.224238277074372,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.703125,8.457864169031383E-8,6000.0,0.7822625854916471,0.20225787760255515,0.642,0.020428712930888163,0.6466241669081426,0.009081735620585268,0.7059562714529296,0.7777777777777778,-36.68421052631597,6000.0,464976.0,15.0,110.46666666666668,9.046441026066288,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.796875,9.5855793915689E-8,7000.0,0.6692288306451613,0.1655485618536897,0.635,0.011183112633015947,0.7822625854916471,0.008064516129032258,0.6300201609677316,0.625,-38.30769230769254,7000.0,464976.0,15.0,126.0,10.350983390135312,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.859375,1.0337389539927246E-7,8000.0,0.5767515465400662,0.12015793981009301,0.615,-0.003513600867452547,0.6692288306451613,0.007049345417925478,0.41997321300332896,0.2857142857142857,-41.77777777777774,8000.0,464976.0,15.0,141.60000000000002,9.789206884552572,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.953125,1.1465104762464763E-7,9000.0,0.7948340840150749,0.2320594118344821,0.602,0.022329214669974798,0.5767515465400662,0.011122345803842264,0.7004128626327284,0.8181818181818182,-42.156626506024004,9000.0,464976.0,15.0,160.00000000000003,10.064080399406313,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.046875,1.259281998500228E-7,10000.0,0.4505928853754941,0.09646471789555386,0.581,-0.007473093976320774,0.7948340840150749,0.011122345803842264,0.3992363332463461,0.2727272727272727,-43.57446808510656,10000.0,464976.0,15.0,185.46666666666667,11.018598994859724,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.125,1.353258267045021E-7,11000.0,0.3752535496957404,0.06619692364520319,0.549,-0.014404088205921955,0.4505928853754941,0.014198782961460446,0.34447243373961123,0.21428571428571427,-44.93518518518509,11000.0,464976.0,15.0,208.46666666666667,12.838928897618185,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.21875,1.4660297892987727E-7,12000.0,0.3671936315730463,0.04501591326194013,0.529,-0.013670563523355125,0.3752535496957404,0.009081735620585268,0.24330939526264567,0.1111111111111111,-47.30769230769212,12000.0,464976.0,15.0,227.8,12.536802964529219,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.296875,1.5600060578435658E-7,13000.0,0.43578506097560976,0.04062185784470737,0.523,-0.002522068095838777,0.3671936315730463,0.016260162601626018,0.4789788426510268,0.4375,-45.62406015037578,13000.0,464976.0,15.0,259.53333333333336,14.060413866427902,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.359375,1.6351870726794002E-7,14000.0,0.5228074596774194,0.05733101958382569,0.507,2.2712892811369625E-4,0.43578506097560976,0.008064516129032258,0.5035158645032465,0.5,-47.950354609928844,14000.0,464976.0,15.0,275.86666666666673,13.548150462420358,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.453125,1.7479585949331518E-7,15000.0,0.554097993048548,0.04980073481209846,0.483,0.008826619427765223,0.5228074596774194,0.009081735620585268,0.6112155778162972,0.7777777777777778,-50.69999999999995,15000.0,464976.0,15.0,295.93333333333334,12.786525645977415,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.53125,1.8419348634779448E-7,16000.0,0.6397989949748744,0.06199930184760666,0.5,0.009802950787206674,0.554097993048548,0.005025125628140704,0.7053278933842966,1.0,-50.61290322580666,16000.0,464976.0,15.0,306.46666666666664,12.988273099039686,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.609375,1.9359111320227379E-7,17000.0,0.45045226130653265,0.044606718409387375,0.518,-0.0016833267524262296,0.6397989949748744,0.005025125628140704,0.45545272633902223,0.4,-50.21250000000006,17000.0,464976.0,15.0,315.59999999999997,13.537250195558281,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.703125,2.0486826542764895E-7,18000.0,0.5495477386934673,0.06525537221994843,0.486,-0.0022032873827674934,0.45045226130653265,0.005025125628140704,0.44110414226303524,0.4,-55.072727272727334,18000.0,464976.0,15.0,326.79999999999995,14.077337410584017,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.78125,2.1426589228212825E-7,19000.0,0.4492245343309173,0.04598227985199646,0.472,-0.0032339093061345115,0.5495477386934673,0.013171225937183385,0.46680804387311436,0.46153846153846156,-55.35955056179774,19000.0,464976.0,15.0,349.7333333333333,13.915390588772391,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
