learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,2.4433829821646212E-8,1000.0,0.943046065432825,0.7065101362151013,0.857,0.493116306767429,0.0,0.10864745011086474,0.8922947230847693,0.9387755102040817,-0.45918367346938826,1000.0,464976.0,15.0,183.66666666666669,12.981672061942158,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.759050741791725E-8,2000.0,0.9864134123716005,0.824400724931343,0.932,0.6978207543815992,0.943046065432825,0.10864745011086474,0.9439948597886961,0.9591836734693877,0.3061224489795922,2000.0,464976.0,15.0,360.59999999999997,19.65705980048897,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.4375,5.2626710385084146E-8,3000.0,0.9897037793667007,0.8326836882926684,0.943,0.7612065354000837,0.9864134123716005,0.12359550561797752,0.9636180544447523,0.990909090909091,0.44117647058823467,3000.0,464976.0,15.0,573.3333333333334,19.973792352790223,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.546875,6.578338798135518E-8,4000.0,0.9888100436681223,0.8392336789959801,0.941,0.7044798845968901,0.9897037793667007,0.09170305676855896,0.956788899893954,0.9761904761904762,0.3948717948717945,4000.0,464976.0,15.0,730.2666666666668,23.668745716863096,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.330148946493864E-8,5000.0,0.9875353418660505,0.8272921702963714,0.945,0.7648809014893723,0.9888100436681223,0.12485939257592801,0.9532383983540083,0.963963963963964,0.45109780439121683,5000.0,464976.0,15.0,943.1999999999999,28.135386970859287,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,8.645816706120967E-8,6000.0,0.9871802606177607,0.8033678093175861,0.943,0.7546065093852244,0.9875353418660505,0.12612612612612611,0.9405917487612986,0.9375,0.442088091353996,6000.0,464976.0,15.0,1155.8666666666668,33.32280786202636,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,9.773531928658485E-8,7000.0,0.9903430515956958,0.8313001873962105,0.936,0.6835787246244971,0.9871802606177607,0.09051254089422028,0.9538978123368745,0.9759036144578314,0.3563218390804603,7000.0,464976.0,15.0,1318.9333333333334,34.37288521633351,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.0713294614106417E-7,8000.0,0.9865731731175156,0.8017200206267191,0.953,0.7864063550926177,0.9903430515956958,0.122334455667789,0.9453938328940413,0.9357798165137615,0.5329192546583845,8000.0,464976.0,15.0,1528.3333333333333,35.56215216584433,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.984375,1.1841009836643934E-7,9000.0,0.9895555476520729,0.8260254438296927,0.935,0.7045239653793006,0.9865731731175156,0.10253583241455347,0.9588762969693801,0.989247311827957,0.3485523385300671,9000.0,464976.0,15.0,1714.7333333333333,41.101732091876386,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0625,1.2780772522091864E-7,10000.0,0.9882366484913816,0.8217384375214218,0.942,0.7447834619683352,0.9895555476520729,0.11982082866741321,0.9428466590613587,0.9439252336448598,0.42288557213930317,10000.0,464976.0,15.0,1916.8,47.79001688936419,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.140625,1.3720535207539795E-7,11000.0,0.9880486932497934,0.821623583417266,0.935,0.6914400729150847,0.9882366484913816,0.09769484083424808,0.9489621244183468,0.9662921348314607,0.3464351005484467,11000.0,464976.0,15.0,2094.866666666667,53.55753470623457,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.234375,1.4848250430077314E-7,12000.0,0.9923084780388152,0.8398503868730134,0.945,0.7649773523630456,0.9880486932497934,0.12359550561797752,0.95702339007581,0.9727272727272728,0.45182724252491674,12000.0,464976.0,15.0,2289.866666666667,54.28478695949818,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.3125,1.5788013115525244E-7,13000.0,0.9920424403183024,0.8434767374797916,0.94,0.7581581323358698,0.9923084780388152,0.13122171945701358,0.9582687424102935,0.9827586206896551,0.4090909090909088,13000.0,464976.0,15.0,2516.733333333333,57.04693138944789,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.390625,1.6727775800973174E-7,14000.0,0.9914760939407951,0.8279079719728084,0.941,0.7193363017087185,0.9920424403183024,0.10253583241455347,0.9481339176561548,0.956989247311828,0.4154281670205235,14000.0,464976.0,15.0,2697.066666666667,63.58848353353963,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
