learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.565121450958702,0.05776920399158573,0.904,0.016554663169972762,0.0,0.10619469026548672,0.10200560673467775,0.010416666666666666,0.0,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.403044340511163E-9,2000.0,0.5005592841163311,0.010780635757132416,0.894,0.0,0.565121450958702,0.1185682326621924,0.0,0.0,-0.04950495049504956,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.25,9.111439188321431E-9,3000.0,0.5064848916874579,0.0072986604298297605,0.886,0.0,0.5005592841163311,0.12866817155756208,0.0,0.0,-0.0822784810126587,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.328125,1.3189047523256805E-8,4000.0,0.7384157654192497,0.07852851409461688,0.903,0.0182583701064726,0.5064848916874579,0.10864745011086474,0.10101525445522107,0.01020408163265306,0.06280193236715033,4000.0,201752.0,15.0,3983.5333333333333,60.407978028765406,6968.533333333333,1392.7927682315467,3.8000000000000003,1.0141851056742197,2.4,0.5070925528371099,2.4,0.5070925528371099,1.4000000000000001,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.375,1.572078973468807E-8,5000.0,0.6840222222222222,0.03854187519838922,0.9,0.0,0.7384157654192497,0.1111111111111111,0.0,0.0,0.027237354085603353,5000.0,208776.0,15.0,4983.866666666667,63.40331972681683,7433.6,1512.0126983593755,4.066666666666666,1.0327955589886446,2.533333333333333,0.5163977794943222,2.533333333333333,0.5163977794943222,1.5333333333333334,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,1.9378171095417605E-8,6000.0,0.6193878232337203,0.028174427710992878,0.881,0.0,0.6840222222222222,0.13507377979568672,0.0,0.0,-0.12796208530805642,6000.0,226200.0,15.0,5980.666666666666,79.45948353601044,8585.6,1339.3224726384178,4.866666666666667,0.9154754164341269,2.9333333333333336,0.45773770821706344,2.9333333333333336,0.45773770821706344,1.8666666666666665,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.484375,2.2267890421466693E-8,7000.0,0.6022152714716533,0.021714626889792858,0.901,0.0,0.6193878232337203,0.10987791342952276,0.0,0.0,0.05327868852459008,7000.0,238296.0,15.0,6977.400000000001,79.67684732718784,9385.6,1212.3071746526477,5.400000000000001,0.8280786712108251,3.2000000000000006,0.41403933560541256,3.2000000000000006,0.41403933560541256,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.515625,2.4313695677038693E-8,8000.0,0.5613038277511961,0.014065396642307569,0.912,0.0,0.6022152714716533,0.09649122807017543,0.0,0.0,0.14146341463414697,8000.0,253056.0,15.0,7989.533333333332,90.70979366455789,10361.6,1873.7457061801563,6.066666666666666,1.2798809468443688,3.533333333333333,0.6399404734221844,3.533333333333333,0.6399404734221844,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.5625,2.741480582497186E-8,9000.0,0.5749563311299106,0.01337986602239074,0.903,0.0,0.5613038277511961,0.10741971207087486,0.0,0.0,0.047982551799346206,9000.0,255728.0,15.0,8997.666666666668,93.18466049935985,10538.133333333333,1840.5575966719066,6.2,1.2649110640673518,3.6,0.6324555320336759,3.6,0.6324555320336759,2.133333333333334,0.3518657752744986,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.625,3.192240708611078E-8,10000.0,0.6889200531653253,0.029137600484735668,0.893,0.0,0.5749563311299106,0.11982082866741321,0.0,0.0,-0.04492187499999937,10000.0,278784.0,15.0,10008.4,100.59238823802008,12062.400000000001,1858.5184883203533,7.2666666666666675,1.2798809468443688,4.133333333333334,0.6399404734221843,4.133333333333334,0.6399404734221843,2.466666666666667,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
