learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.5785246412975671,0.15658539792202458,0.597,0.04643370939653208,0.0,0.09170305676855896,0.5623432985676626,0.5238095238095238,-3.79761904761905,1000.0,464976.0,15.0,166.4666666666667,10.960100798980339,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.383145667612553E-8,2000.0,0.5833770033625922,0.06940744923717751,0.506,0.05703596243414526,0.5785246412975671,0.11358574610244988,0.5737556954497713,0.6764705882352942,-4.311827956989249,2000.0,464976.0,15.0,346.6666666666667,13.178264933847199,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.359375,4.3229083530604844E-8,3000.0,0.5567845568550092,0.05812493650954309,0.446,0.022210298914194612,0.5833770033625922,0.10375275938189846,0.5251305162395333,0.648936170212766,-4.935714285714282,3000.0,464976.0,15.0,528.0000000000001,17.00840128541524,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,5.262671038508416E-8,4000.0,0.5293602535798418,0.04975985977625169,0.4,0.007270092026062484,0.5567845568550092,0.09769484083424808,0.4946213494757077,0.651685393258427,-5.504065040650403,4000.0,464976.0,15.0,695.0,18.681541692269406,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.53125,6.390386261045934E-8,5000.0,0.5037189879636453,0.03206380136695644,0.379,0.010862986206237444,0.5293602535798418,0.12994350282485875,0.4847971210594908,0.6956521739130435,-5.4152892561983474,5000.0,464976.0,15.0,898.5333333333333,21.869308783467904,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.59375,7.142196409404279E-8,6000.0,0.5253205639797819,0.03263756908005511,0.344,0.001841116233776097,0.5037189879636453,0.11731843575418995,0.46109623359130036,0.7047619047619048,-5.682512733446523,6000.0,464976.0,15.0,1101.0666666666666,24.063804077216602,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.6875,8.269911631941797E-8,7000.0,0.5156205675945683,0.030327753886084052,0.385,0.00808371450875147,0.5253205639797819,0.09769484083424808,0.49041428709997165,0.6741573033707865,-5.349557522123893,7000.0,464976.0,15.0,1274.7333333333336,25.138094787071815,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.796875,9.5855793915689E-8,8000.0,0.5815140415140415,0.0323275968710095,0.349,0.02559497081275251,0.5156205675945683,0.0989010989010989,0.49347389344977866,0.8,-5.781250000000002,8000.0,464976.0,15.0,1444.5333333333333,26.917510675253403,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.890625,1.0713294614106418E-7,9000.0,0.48785705297596577,0.02420579236411677,0.342,8.533744734741184E-4,0.5815140415140415,0.13250283125707815,0.45615836734469334,0.7094017094017094,-5.691525423728809,9000.0,464976.0,15.0,1652.9333333333332,30.65118656912385,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.96875,1.165305729955435E-7,10000.0,0.5437509976057462,0.027278239620555478,0.324,0.00721093830315317,0.48785705297596577,0.11731843575418995,0.4538270944504698,0.7523809523809524,-5.82828282828283,10000.0,464976.0,15.0,1853.0666666666664,36.69267475876324,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.046875,1.259281998500228E-7,11000.0,0.5148906902480963,0.02259803209670269,0.326,0.03423175572081563,0.5437509976057462,0.12994350282485875,0.46990489638152405,0.8608695652173913,-5.709502262443439,11000.0,464976.0,15.0,2071.8666666666663,35.596682563461044,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.125,1.353258267045021E-7,12000.0,0.5734798534798535,0.027374369497164375,0.333,0.0325200893504685,0.5148906902480963,0.0989010989010989,0.4905953125374933,0.8555555555555555,-5.697907949790793,12000.0,464976.0,15.0,2240.0666666666666,32.80127755932393,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.234375,1.4848250430077316E-7,13000.0,0.577867445054945,0.033847288350049354,0.343,0.024423563511956327,0.5734798534798535,0.11607142857142858,0.4812326063647095,0.7980769230769231,-5.575057736720556,13000.0,464976.0,15.0,2439.0,33.21789534917245,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.3125,1.5788013115525246E-7,14000.0,0.47597050812622843,0.024561676264291538,0.34,0.007312795738062985,0.577867445054945,0.1273957158962796,0.46132243552661556,0.7345132743362832,-5.543909348441926,14000.0,464976.0,15.0,2644.1333333333337,34.008122279131825,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.4375,1.7291633412241937E-7,15000.0,0.4592883241986381,0.018022736395787775,0.282,-0.006662479249854236,0.47597050812622843,0.1210762331838565,0.4110988228546348,0.75,-6.085526315789471,15000.0,464976.0,15.0,2845.2,37.80060468148247,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.53125,1.8419348634779454E-7,16000.0,0.5464112011790715,0.0222037748637407,0.283,0.021213858628880256,0.4592883241986381,0.12994350282485875,0.42403820686855986,0.8695652173913043,-6.01651376146789,16000.0,464976.0,15.0,3051.4,33.900695315246026,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.59375,1.9171158783137798E-7,17000.0,0.5835161803155917,0.023271532815945906,0.263,0.0326509825745922,0.5464112011790715,0.09051254089422028,0.4385779813982527,0.963855421686747,-6.292782305005821,17000.0,464976.0,15.0,3219.5333333333338,40.48080085787875,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.703125,2.0543372051583396E-7,18000.0,0.5434590073879753,0.03364827970735068,0.381,0.012311796730895566,0.5835161803155917,0.10987791342952276,0.49127181597854386,0.696969696969697,-5.132085855806277,18000.0,484960.0,15.0,3403.9333333333334,49.13315241938649,4265.066666666667,1466.052789278879,1.9333333333333338,1.0327955589886446,1.4666666666666668,0.5163977794943223,1.4666666666666668,0.5163977794943223,0.4666666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.796875,2.1778480408506261E-7,19000.0,0.6907490989382082,0.12616731457014996,0.666,0.1249534967801433,0.5434590073879753,0.11482720178372352,0.6273315118776676,0.5825242718446602,-2.305208333333332,19000.0,509256.0,15.0,3604.4666666666667,51.04321231867687,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.875,2.2807737372608648E-7,20000.0,0.5829376287324708,0.09201567790810963,0.531,0.03990239348853218,0.6907490989382082,0.09769484083424808,0.5589818301975059,0.5955056179775281,-3.6689895470383256,20000.0,509256.0,15.0,3773.466666666667,49.51603876763661,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,2.0,2.4473640627952086E-7,21000.0,0.5693152539412202,0.07186614766421356,0.426,0.006934160080829256,0.5829376287324708,0.11358574610244988,0.4996723674374621,0.6176470588235294,-4.710090004737089,21000.0,515160.0,15.0,3957.7999999999997,51.72205939994485,6262.4,1030.2629900037314,3.266666666666667,0.7037315505489968,2.1333333333333337,0.3518657752744984,2.1333333333333337,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,2.09375,2.5736882687649795E-7,22000.0,0.6958777777777778,0.07729037467027117,0.451,0.08009383378016087,0.5693152539412202,0.1111111111111111,0.5905741086246313,0.86,-4.4626865671641776,22000.0,520856.0,15.0,4146.133333333333,50.26198032973494,6638.399999999999,1280.9432239007097,3.666666666666667,0.9759000729485332,2.333333333333333,0.4879500364742666,2.333333333333333,0.4879500364742666,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,2.203125,2.7269723230145047E-7,23000.0,0.6373726162849359,0.09770615711784122,0.643,0.07540739052512724,0.6958777777777778,0.10987791342952276,0.5765438661785718,0.5050505050505051,-2.5545454545454547,23000.0,541728.0,15.0,4344.066666666667,49.53709528750947,8019.2,1340.256009659562,4.466666666666666,0.915475416434127,2.733333333333333,0.4577377082170635,2.733333333333333,0.4577377082170635,1.7333333333333332,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
