learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.390625,9.117987550174196E-8,1000.0,0.8024628879892037,0.5103340627092992,0.923,0.15436654366543737,0.0,0.012145748987854251,0.7857537189747122,0.6666666666666666,-5.416666666666657,1000.0,902280.0
2000.0,0.65625,1.719876632301344E-7,2000.0,0.9995403989337255,0.927628154938641,0.997,0.8785031589178682,0.8024628879892037,0.011122345803842264,0.9984821645690966,1.0,0.7391304347826074,2000.0,1175944.0
3000.0,0.890625,2.452657726179395E-7,3000.0,0.9996636394214599,0.9282557846951436,0.996,0.7980002019997988,0.9995403989337255,0.009081735620585268,0.9413809028552509,0.8888888888888888,0.6250000000000013,3000.0,1208552.0
4000.0,1.0625,3.028301742031343E-7,4000.0,0.9991368148467846,0.9283185481066332,0.996,0.7758601367253167,0.9996636394214599,0.007049345417925478,0.9979838689168921,1.0,0.5897435897435909,4000.0,1294624.0
5000.0,1.265625,3.7581427022814754E-7,5000.0,1.0,0.9674993401277614,0.999,0.9328318108543798,0.9991368148467846,0.007049345417925478,0.9994963484948717,1.0,0.8913043478260867,5000.0,1388888.0
6000.0,1.421875,4.3401384674426586E-7,6000.0,0.9995979899497487,0.9472604963229452,0.997,0.7678018575851379,1.0,0.005025125628140704,0.9984913242603141,1.0,0.6470588235294095,6000.0,1439800.0
7000.0,1.578125,4.956137207854125E-7,7000.0,1.0,0.9904691894718891,0.999,0.9518768046198265,0.9995979899497487,0.010101010101010102,0.9994948218924893,1.0,0.8852459016393437,7000.0,1523920.0
8000.0,1.75,5.647729590742125E-7,8000.0,1.0,0.9948505833199298,0.999,0.9085923217550278,1.0,0.005025125628140704,0.9994973611142612,1.0,0.8787878787878783,8000.0,1555392.0
9000.0,1.953125,6.510640378110112E-7,9000.0,0.999832327297116,0.9068929704071402,0.998,0.856156501726121,1.0,0.006036217303822937,0.9989934572185107,1.0,0.75,9000.0,1642120.0
10000.0,2.125,7.281891238461767E-7,10000.0,0.9994095816464238,0.9295395112016873,0.995,0.8123123123123129,0.999832327297116,0.012145748987854251,0.9554870305697741,0.9166666666666666,0.4047619047619016,10000.0,1734544.0
11000.0,2.296875,8.073403538825613E-7,11000.0,0.9975879396984925,0.9678067177060151,0.994,0.6224040276903701,0.9994095816464238,0.005025125628140704,0.9969803655269401,1.0,0.2584269662921293,11000.0,1780112.0
12000.0,2.46875,8.903236852751839E-7,12000.0,1.0,0.9940442757827996,0.999,0.9406739439962034,0.9975879396984925,0.008064516129032258,0.9994958406536122,1.0,0.8762886597938143,12000.0,1866296.0
13000.0,2.640625,9.766329377372232E-7,13000.0,0.999922063751851,0.992864616055707,0.998,0.9275624773632745,1.0,0.013171225937183385,0.9989863149954186,1.0,0.763636363636362,13000.0,1941096.0
14000.0,2.796875,1.0558859018298487E-6,14000.0,0.9993969849246231,0.9907109097249899,0.998,0.832355406538139,0.999922063751851,0.005025125628140704,0.9989944693284061,1.0,0.756521739130435,14000.0,1960640.0
15000.0,2.96875,1.1456025337489942E-6,15000.0,1.0,0.9938494549481287,0.996,0.8162271432509413,0.9993969849246231,0.009081735620585268,0.9979797959164893,1.0,0.5161290322580628,15000.0,2017728.0
16000.0,3.140625,1.2382605604620443E-6,16000.0,1.0,0.9862772729233295,1.0,1.0,1.0,0.011122345803842264,1.0,1.0,1.0,16000.0,2083880.0
17000.0,3.296875,1.324756497827669E-6,17000.0,1.0,0.9928363111935204,0.997,0.8406289842753935,1.0,0.008064516129032258,0.9984867582755481,1.0,0.6433566433566426,17000.0,2139824.0
18000.0,3.46875,1.4216514278410209E-6,18000.0,1.0,0.9850037948332308,0.998,0.8990001009998994,1.0,0.009081735620585268,0.9989904086270092,1.0,0.7631578947368428,18000.0,2179168.0
19000.0,3.640625,1.5223041150925888E-6,19000.0,1.0,0.9820255584695609,0.999,0.9518768046198265,1.0,0.010101010101010102,0.9994948218924893,1.0,0.8827160493827164,19000.0,2263680.0
20000.0,3.78125,1.6058952638155056E-6,20000.0,0.9995782726045884,0.9353354027398931,0.996,0.8441396508728186,1.0,0.012145748987854251,0.9559724189833878,0.9166666666666666,0.540229885057473,20000.0,2297736.0
21000.0,3.96875,1.7207502322788867E-6,21000.0,1.0,0.9903787018956259,0.999,0.9724639277453465,0.9995782726045884,0.018329938900203666,0.9994907053400246,1.0,0.8906249999999997,21000.0,2367832.0
22000.0,4.125,1.8177862835323643E-6,22000.0,0.9999275572297884,0.9829335026828405,0.998,0.9323226854358418,1.0,0.014198782961460446,0.9989852863951887,1.0,0.7864077669902908,22000.0,2400576.0
23000.0,4.3125,1.9387161915397477E-6,23000.0,0.9998729674796748,0.9476312433215176,0.998,0.9401627573001438,0.9999275572297884,0.016260162601626018,0.9989832229195827,1.0,0.7927927927927935,23000.0,2493072.0
24000.0,4.46875,2.0413650781847534E-6,24000.0,1.0,0.9895744182986954,0.998,0.9156616344775238,0.9998729674796748,0.011122345803842264,0.9989883659524731,1.0,0.7939914163090124,24000.0,2539432.0
25000.0,4.625,2.1464716216238834E-6,25000.0,1.0,0.9942486461758275,0.998,0.8990001009998994,1.0,0.009081735620585268,0.9989904086270092,1.0,0.7933884297520664,25000.0,2600232.0
26000.0,4.796875,2.264253691666656E-6,26000.0,0.9990909090909091,0.975171224207165,0.996,0.8313659359190553,1.0,0.010101010101010102,0.9979777532388164,1.0,0.5873015873015859,26000.0,2648920.0
27000.0,4.953125,2.37318771218674E-6,27000.0,0.9994959677419355,0.8998157199477519,0.995,0.7343816404589891,0.9990909090909091,0.008064516129032258,0.9335265257043039,0.875,0.48076923076923167,27000.0,2694920.0
28000.0,5.125,2.49430424042253E-6,28000.0,0.9989909182643795,0.834422232879854,0.997,0.8405951115834213,0.9994959677419355,0.009081735620585268,0.9418571897073044,0.8888888888888888,0.6877323420074333,28000.0,2723912.0
29000.0,5.28125,2.606395703171276E-6,29000.0,1.0,0.9952465566373084,0.997,0.8785031589178682,0.9989909182643795,0.011122345803842264,0.9984821645690966,1.0,0.689285714285714,29000.0,2773032.0
30000.0,5.46875,2.742137520625773E-6,30000.0,1.0,0.9933040875048147,0.998,0.9080882352941175,1.0,0.010101010101010102,0.9989893883219171,1.0,0.7931034482758629,30000.0,2798432.0
31000.0,5.65625,2.8796259559587466E-6,31000.0,0.999172718080706,0.9468667045420497,0.995,0.8123686580606431,1.0,0.011122345803842264,0.9974689911325468,1.0,0.4850498338870407,31000.0,2834440.0
32000.0,5.796875,2.9841235502519534E-6,32000.0,1.0,0.9484676157678867,0.999,0.9328318108543798,0.999172718080706,0.007049345417925478,0.9994963484948717,1.0,0.896103896103896,32000.0,2872408.0
33000.0,5.96875,3.1125190434977403E-6,33000.0,1.0,0.949572602248584,0.997,0.8785031589178682,1.0,0.011122345803842264,0.9984821645690966,1.0,0.6896551724137943,33000.0,2887616.0
34000.0,6.15625,3.2554351491853585E-6,34000.0,1.0,0.9427601386036863,0.999,0.9225766491173739,1.0,0.006036217303822937,0.9994968553140606,1.0,0.8953846153846149,34000.0,2946336.0
35000.0,6.34375,3.4017548508321236E-6,35000.0,1.0,0.9680732984701058,1.0,1.0,1.0,0.011122345803842264,1.0,1.0,1.0,35000.0,3016504.0
36000.0,6.515625,3.5379660807342984E-6,36000.0,0.9999080797867451,0.9769415753028057,0.998,0.9156616344775238,1.0,0.011122345803842264,0.9989883659524731,1.0,0.7925072046109503,36000.0,3063392.0
37000.0,6.703125,3.689289312913185E-6,37000.0,1.0,0.9985468120079719,1.0,1.0,0.9999080797867451,0.011122345803842264,1.0,1.0,1.0,37000.0,3119656.0
38000.0,6.875,3.828702319879084E-6,38000.0,0.9992151586500729,0.9878903788206169,0.998,0.8990001009998994,1.0,0.009081735620585268,0.9989904086270092,1.0,0.7929155313351492,38000.0,3135400.0
39000.0,7.0625,3.982555645052342E-6,39000.0,1.0,0.9951011914396847,0.997,0.7985495568090251,0.9992151586500729,0.006036217303822937,0.9984898053300737,1.0,0.686327077747989,39000.0,3171816.0
40000.0,7.21875,4.112986401499558E-6,40000.0,0.9997979797979798,0.9620609820952567,0.999,0.9518768046198265,1.0,0.010101010101010102,0.9994948218924893,1.0,0.8955613577023498,40000.0,3226728.0
41000.0,7.40625,4.27158714349692E-6,41000.0,1.0,0.983972163785334,0.998,0.9156616344775238,0.9997979797979798,0.011122345803842264,0.9989883659524731,1.0,0.7918781725888325,41000.0,3269688.0
42000.0,7.59375,4.432526669309784E-6,42000.0,1.0,0.9769230657452183,1.0,1.0,1.0,0.011122345803842264,1.0,1.0,1.0,42000.0,3317904.0
43000.0,7.78125,4.596640840948869E-6,43000.0,1.0,0.9270910384648642,1.0,1.0,1.0,0.010101010101010102,1.0,1.0,1.0,43000.0,3383352.0
44000.0,7.96875,4.761626187246292E-6,44000.0,1.0,0.9591827072599177,0.998,0.9156616344775238,1.0,0.011122345803842264,0.9989883659524731,1.0,0.7934272300469494,44000.0,3401312.0
45000.0,8.125,4.899998732273363E-6,45000.0,1.0,0.9453487468910273,0.998,0.9323226854358418,1.0,0.014198782961460446,0.9989852863951887,1.0,0.7954545454545452,45000.0,3423200.0
46000.0,8.3125,5.067442382116698E-6,46000.0,1.0,0.9908858278384366,1.0,1.0,1.0,0.009081735620585268,1.0,1.0,1.0,46000.0,3451992.0
47000.0,8.515625,5.250411082266105E-6,47000.0,1.0,0.9919452953941461,0.998,0.832355406538139,1.0,0.005025125628140704,0.9989944693284061,1.0,0.7929515418502194,47000.0,3481896.0
48000.0,8.703125,5.421469427852166E-6,48000.0,0.9999156545209177,0.9879243127071287,0.997,0.8873873873873878,1.0,0.012145748987854251,0.9984806271295585,1.0,0.6909871244635186,48000.0,3526512.0
49000.0,8.890625,5.5945696981830715E-6,49000.0,0.9999275572297884,0.9518867714316162,0.998,0.9275572297884672,0.9999156545209177,0.014198782961460446,0.9631353344980541,0.9285714285714286,0.7958333333333333,49000.0,3568608.0
50000.0,9.0625,5.753381539964012E-6,50000.0,0.9991368148467846,0.8975427002557742,0.994,0.6972449288525597,0.9999275572297884,0.007049345417925478,0.9969742744562131,1.0,0.3839835728952748,50000.0,3571680.0
51000.0,9.25,5.929526847062838E-6,51000.0,0.999172718080706,0.9039543826815631,0.997,0.8680506685432792,0.9991368148467846,0.011122345803842264,0.9524980340272683,0.9090909090909091,0.6927710843373478,51000.0,3631384.0
52000.0,9.453125,6.124604422236895E-6,52000.0,1.0,0.9819035833049056,0.998,0.9275624773632745,0.999172718080706,0.013171225937183385,0.9989863149954186,1.0,0.7964774951076329,52000.0,3712328.0
53000.0,9.640625,6.306788192078884E-6,53000.0,1.0,0.9474424266156138,1.0,1.0,1.0,0.012145748987854251,1.0,1.0,1.0,53000.0,3755872.0
