learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.067833621468809E-8,1000.0,0.5831418328890523,0.1435993283788272,0.937,0.012724879333043075,0.0,0.011122345803842264,0.2933211884719232,0.09090909090909091,-4.727272727272717,1000.0,465056.0,15.0,0.9974968444950066,0.0025031555049932893,20.466666666666665,3.700707783010987,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.57171261890067E-8,2000.0,0.8571068548387096,0.39438829788595603,0.866,0.04187163940052682,0.5831418328890523,0.008064516129032258,0.6591477880199651,0.5,-13.105263157894807,2000.0,465056.0,15.0,0.9671408520968565,0.03285914790314346,34.93333333333332,5.861090423494671,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.075591616332531E-8,3000.0,0.7875322345554434,0.30975780140594256,0.842,0.0432244546984951,0.8571068548387096,0.009081735620585268,0.6849985453003329,0.5555555555555556,-15.928571428571484,3000.0,465056.0,15.0,0.9779946255134793,0.022005374486520648,51.0,7.7643875666863975,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.515625,6.203500864406427E-8,4000.0,0.8396681242291737,0.3534614583949013,0.838,0.05279775477986369,0.7875322345554434,0.009081735620585268,0.7481336796929307,0.6666666666666666,-16.513513513513555,4000.0,465056.0,15.0,0.9999226445988069,7.73554011930114E-5,69.73333333333332,8.06639117986889,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.640625,7.707379861838288E-8,5000.0,0.5541871921182266,0.1534846350174468,0.731,0.023480041238909493,0.8396681242291737,0.014198782961460446,0.6059207534257667,0.5,-25.372549019607877,5000.0,465056.0,15.0,0.9993637109671811,6.362890328187724E-4,96.33333333333334,7.057586259446202,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.734375,8.835289109912183E-8,6000.0,0.6994949494949495,0.1873185928869583,0.65,0.019388098173260218,0.5541871921182266,0.010101010101010102,0.6742747693978061,0.7,-33.42622950819675,6000.0,465056.0,15.0,0.999999999936501,6.349897180560838E-11,116.46666666666668,8.782016256179986,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,9.963198357986079E-8,7000.0,0.6384123780692903,0.1307043152838339,0.637,0.00407150931179432,0.6994949494949495,0.009081735620585268,0.5328117193605304,0.4444444444444444,-35.29999999999997,7000.0,465056.0,15.0,0.9977471596646152,0.0022528403353846023,133.13333333333333,9.21075975357599,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.921875,1.1091107606059975E-7,8000.0,0.7762080950779235,0.1971198676864005,0.647,0.015594324469034561,0.6384123780692903,0.009081735620585268,0.6566690655791013,0.6666666666666666,-34.746835443038094,8000.0,465056.0,15.0,0.9999999999129002,8.709984093340501E-11,151.86666666666667,10.48036713279145,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.015625,1.2219016854133872E-7,9000.0,0.9199374942549867,0.30633248360252274,0.671,0.036783735990912454,0.7762080950779235,0.011122345803842264,0.7794822702376586,0.9090909090909091,-31.899999999999967,9000.0,465056.0,15.0,0.999726107251306,2.73892748694048E-4,173.06666666666663,12.39508351073502,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.09375,1.3158941227528784E-7,10000.0,0.8048533872598584,0.2683897571741844,0.705,0.037067986264345806,0.9199374942549867,0.011122345803842264,0.7588071005391692,0.8181818181818182,-28.207920792079218,10000.0,465056.0,15.0,0.9970186221450152,0.002981377854984756,193.79999999999998,15.171401667987986,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
