learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes)
1000.0,0.296875,6.347697409283783E-8,1000.0,0.8247885075818037,0.3947016521810838,0.77,0.31320732180716065,0.0,0.11731843575418995,0.7789529879153699,0.7904761904761904,-1.1904761904761907,1000.0,826504.0
2000.0,0.59375,1.473039608552224E-7,2000.0,0.9020877049471849,0.4604172676062018,0.774,0.3148899276693528,0.8247885075818037,0.10253583241455347,0.80679060106371,0.8494623655913979,-1.282828282828283,2000.0,1091472.0
3000.0,0.796875,2.0780251361429689E-7,3000.0,0.8816122901488755,0.4807885556814253,0.771,0.31016616259594404,0.9020877049471849,0.10864745011086474,0.7908019117928269,0.8163265306122449,-1.3209459459459454,3000.0,1151288.0
4000.0,1.046875,2.9210583306849E-7,4000.0,0.8746886446886447,0.4693426248828247,0.795,0.32570225643049805,0.8816122901488755,0.0989010989010989,0.8022100121170912,0.8111111111111111,-1.1243523316062165,4000.0,1303488.0
5000.0,1.28125,3.803112970975538E-7,5000.0,0.817743132887899,0.3735072703595454,0.711,0.2485308648395652,0.8746886446886447,0.11358574610244988,0.7582897040394221,0.8235294117647058,-1.9610655737704916,5000.0,1454744.0
6000.0,1.515625,4.739203723147511E-7,6000.0,0.8840542697525938,0.38346265438169946,0.717,0.2790910943550028,0.817743132887899,0.11731843575418995,0.785828185896511,0.8857142857142857,-1.8634064080944355,6000.0,1543864.0
7000.0,1.703125,5.530280759558081E-7,7000.0,0.9265534732985768,0.4348808138157562,0.713,0.2648188944105743,0.8840542697525938,0.10375275938189846,0.7957102828063309,0.9148936170212766,-1.9243085880640454,7000.0,1630872.0
8000.0,1.953125,6.670245460958943E-7,8000.0,0.9035410166908638,0.44179732407214106,0.745,0.3197823303457106,0.9265534732985768,0.122334455667789,0.8044911466288303,0.8899082568807339,-1.562814070351758,8000.0,1762600.0
9000.0,2.1875,7.797786060513721E-7,9000.0,0.8908436332429802,0.4442147465434656,0.775,0.34663677650912417,0.9035410166908638,0.11982082866741321,0.8109361245121244,0.8598130841121495,-1.2425249169435202,9000.0,1859616.0
10000.0,2.453125,9.171534394327964E-7,10000.0,0.8889580331018822,0.41091816277351956,0.802,0.37523665278303686,0.8908436332429802,0.11358574610244988,0.824089523360644,0.8529411764705882,-0.9701492537313422,10000.0,1999128.0
11000.0,2.65625,1.0276639497735434E-6,11000.0,0.9123612342239669,0.446250069809193,0.767,0.33331807308894085,0.8889580331018822,0.1185682326621924,0.8056981233948338,0.8584905660377359,-1.3069306930693072,11000.0,2103016.0
12000.0,2.84375,1.135260810972088E-6,12000.0,0.9041115024293881,0.4561435302429688,0.776,0.35255250394538346,0.9123612342239669,0.1273957158962796,0.8034046239185552,0.8407079646017699,-1.1960784313725492,12000.0,2218200.0
13000.0,3.109375,1.299245211864925E-6,13000.0,0.9131406451097964,0.45948444894197593,0.777,0.3681645605485353,0.9041115024293881,0.1273957158962796,0.8218514064074879,0.8849557522123894,-1.1682872101720274,13000.0,2386360.0
14000.0,3.3125,1.4311434157813589E-6,14000.0,0.8843273451287389,0.4330972750245359,0.778,0.3163509152275136,0.9131406451097964,0.10864745011086474,0.7903797901511063,0.8061224489795918,-1.1658536585365844,14000.0,2510024.0
15000.0,3.5625,1.6013322682637307E-6,15000.0,0.9023758148668242,0.4482495572994633,0.797,0.3613219063439928,0.8843273451287389,0.10741971207087486,0.8269031868147692,0.865979381443299,-0.9875979112271543,15000.0,2631440.0
16000.0,3.828125,1.790721758475734E-6,16000.0,0.9299444444444445,0.4772195335924905,0.797,0.38109756097561004,0.9023758148668242,0.1111111111111111,0.8448931556382999,0.91,-0.9901960784313726,16000.0,2756064.0
17000.0,4.046875,1.952925878059533E-6,17000.0,0.921909214255968,0.478201201135761,0.806,0.3527248947343839,0.9299444444444445,0.088139281828074,0.8530434158697926,0.9135802469135802,-0.9252772913018085,17000.0,2866264.0
18000.0,4.3125,2.1589735600476463E-6,18000.0,0.9189451254548937,0.49039306109389375,0.79,0.33456702494423046,0.921909214255968,0.1013215859030837,0.815361986793447,0.8478260869565217,-1.0941828254847636,18000.0,2998480.0
19000.0,4.609375,2.4019104764900273E-6,19000.0,0.9030316805749478,0.48761479170948174,0.802,0.3807894621624835,0.9189451254548937,0.11482720178372352,0.8287526581461844,0.8640776699029126,-0.9716981132075463,19000.0,3163168.0
20000.0,4.84375,2.6005101648883685E-6,20000.0,0.93007769145394,0.5051550533121609,0.816,0.4001004179735128,0.9030316805749478,0.10987791342952276,0.8432248517090826,0.8787878787878788,-0.8335824613851516,20000.0,3275440.0
21000.0,5.109375,2.8336456873350673E-6,21000.0,0.9300908001474927,0.5246471233418131,0.812,0.39535841095044527,0.93007769145394,0.10619469026548672,0.852528286972635,0.90625,-0.8773181169757494,21000.0,3392672.0
22000.0,5.390625,3.088938667335444E-6,22000.0,0.9368188127929191,0.5367241436685364,0.856,0.41194246837148873,0.9300908001474927,0.08577633007600434,0.8465296083718294,0.8354430379746836,-0.45187901008249376,22000.0,3508720.0
23000.0,5.640625,3.3251179330464867E-6,23000.0,0.9256610774505659,0.5178738199545427,0.821,0.4054341327310167,0.9368188127929191,0.10375275938189846,0.8570779938375204,0.9042553191489362,-0.8088752196836568,23000.0,3651776.0
24000.0,5.953125,3.6293467403286033E-6,24000.0,0.8969831500353143,0.5236638719602746,0.831,0.4137481267691623,0.9256610774505659,0.10987791342952276,0.8342761961655563,0.8383838383838383,-0.7077894736842103,24000.0,3763160.0
25000.0,6.234375,3.911702790194088E-6,25000.0,0.9196726316283875,0.5023006991374791,0.828,0.3978265740533272,0.8969831500353143,0.10375275938189846,0.8335399678057686,0.8404255319148937,-0.7415957877683284,25000.0,3880672.0
26000.0,6.515625,4.200942478039199E-6,26000.0,0.8792090724047689,0.475181848462628,0.793,0.31169781206357666,0.9196726316283875,0.10497237569060773,0.7721677887108811,0.7473684210526316,-1.099063962558501,26000.0,3975280.0
27000.0,6.8125,4.514311537301789E-6,27000.0,0.9084937036007372,0.5062635494788816,0.823,0.42754016921524457,0.8792090724047689,0.122334455667789,0.8399928511550916,0.8623853211009175,-0.7878787878787887,27000.0,4080232.0
28000.0,7.09375,4.820844139127682E-6,28000.0,0.9216706638309425,0.5077720195188382,0.824,0.41451990632318486,0.9084937036007372,0.10864745011086474,0.8516812056501776,0.8877551020408163,-0.7784193431974019,28000.0,4212952.0
29000.0,7.328125,5.082743688641737E-6,29000.0,0.9438499852264574,0.5456007574199129,0.839,0.46726139266475164,0.9216706638309425,0.1185682326621924,0.871497464125759,0.9150943396226415,-0.6228710462287114,29000.0,4319424.0
30000.0,7.65625,5.458449886646122E-6,30000.0,0.9246161735617628,0.5370847614686102,0.848,0.481727484127904,0.9438499852264574,0.11982082866741321,0.8692144120113314,0.897196261682243,-0.5281501340482571,30000.0,4426000.0
