learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.104187539468209E-8,1000.0,0.5662075524869663,0.07344265010858086,0.185,0.0050249293140410016,0.0,0.10375275938189846,0.31618320492790863,0.9148936170212766,-7.67021276595745,1000.0,473232.0,15.0,3271.2000000000003,52.287939062737706,3489.0666666666666,1086.20804812408,1.5333333333333334,0.915475416434127,1.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.26666666666666666,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,4.60799007366101E-8,2000.0,0.8268962897302773,0.3013513996217308,0.66,0.20174301759921887,0.5662075524869663,0.1185682326621924,0.7217444945717866,0.8113207547169812,-2.4000000000000004,2000.0,619416.0,15.0,6098.9333333333325,58.598472270025404,13155.199999999999,2633.288091232817,8.066666666666666,1.8309508328682538,4.533333333333333,0.9154754164341269,4.533333333333333,0.9154754164341269,3.066666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,6.902743027442032E-8,3000.0,0.8443728160602453,0.24471987190794126,0.502,0.1258649198007393,0.8268962897302773,0.13250283125707815,0.6352089670360476,0.8974358974358975,-3.712933753943217,3000.0,709624.0,15.0,9379.133333333331,103.22573507101977,19117.866666666665,4658.838081181472,12.333333333333336,3.352326839390103,6.666666666666668,1.6761634196950514,6.666666666666668,1.6761634196950514,4.199999999999999,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.59375,9.859779513337547E-8,4000.0,0.8873656596428874,0.28805075260711005,0.609,0.166161956512467,0.8443728160602453,0.1001100110011001,0.7190462620224912,0.8901098901098901,-2.8333333333333344,4000.0,812824.0,15.0,12451.4,122.69171586890913,25939.2,7826.845991293591,17.4,5.513619500836089,9.2,2.7568097504180447,9.2,2.7568097504180447,4.866666666666666,0.9904304018720251,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.703125,1.2414491114517054E-7,5000.0,0.8639567768350851,0.2795880869038686,0.601,0.1773670798386897,0.8873656596428874,0.1185682326621924,0.7091632382019816,0.8867924528301887,-2.8813229571984436,5000.0,902872.0,15.0,15499.0,148.50108224713856,31892.8,6169.623503215457,21.53333333333334,4.103424818136095,11.26666666666667,2.0517124090680476,11.26666666666667,2.0517124090680476,5.466666666666668,0.7432233529572065,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.8125,1.5232961029849118E-7,6000.0,0.8953115423901941,0.29734490853898865,0.645,0.22600619195046437,0.8639567768350851,0.12359550561797752,0.7491500120480432,0.9181818181818182,-2.4134615384615388,6000.0,996088.0,15.0,18555.000000000004,164.8271822242918,38054.4,7978.285501463153,25.93333333333333,5.599319686567374,13.466666666666665,2.799659843283687,13.466666666666665,2.799659843283687,6.2,0.7745966692414832,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.90625,1.789305113359458E-7,7000.0,0.9024839130025927,0.33051873419888395,0.671,0.203096539162113,0.8953115423901941,0.088139281828074,0.7703760280538381,0.9135802469135802,-2.266666666666665,7000.0,1096800.0,15.0,21695.2,192.11871329987625,44712.53333333333,6796.556752888781,30.599999999999998,4.548155041960892,15.799999999999997,2.274077520980446,15.799999999999997,2.274077520980446,6.733333333333333,0.5936168397046638,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.0625,2.2774507265744937E-7,8000.0,0.8801039346696362,0.35894792584269725,0.708,0.25157374561709284,0.9024839130025927,0.11358574610244988,0.764198469822815,0.8431372549019608,-1.8946716232961576,8000.0,1207624.0,15.0,24719.733333333334,216.6328251959542,52040.0,7085.318422121702,35.93333333333333,4.589843860815601,18.466666666666665,2.2949219304078006,18.466666666666665,2.2949219304078006,7.066666666666666,0.7037315505489966,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.15625,2.5940829396454825E-7,9000.0,0.8976525911159016,0.36986651094626105,0.731,0.313418207434481,0.8801039346696362,0.13507377979568672,0.7886585304094155,0.8739495798319328,-1.6144708423326128,9000.0,1305528.0,15.0,27378.199999999997,212.22198620447298,58509.33333333333,5888.730285974421,41.00000000000001,4.72077475481666,21.000000000000004,2.36038737740833,21.000000000000004,2.36038737740833,7.333333333333333,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.28125,3.0548806535080075E-7,10000.0,0.8925015264665821,0.3862726815784776,0.789,0.3315931524727888,0.8976525911159016,0.10375275938189846,0.8069638430153216,0.8297872340425532,-1.0686274509803921,10000.0,1424960.0,15.0,30696.933333333334,256.725942444097,66404.8,7653.157137510543,46.466666666666676,5.208052373374285,23.733333333333338,2.6040261866871424,23.733333333333338,2.6040261866871424,7.733333333333333,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
