learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.109375,3.9896500917772455E-9,1000.0,0.6811555555555555,0.20551510593504005,0.709,0.1339285714285715,0.0,0.1111111111111111,0.6161168720299746,0.52,-1.910000000000001,1000.0,141000.0,15.0,0.9596083107908198,0.04039168920918018,195.86666666666665,10.4325497956202,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.171875,6.269450144221386E-9,2000.0,0.6945694939503447,0.15484840070779843,0.622,0.10407432864828993,0.6811555555555555,0.09769484083424808,0.6351837178573793,0.651685393258427,-2.9999999999999987,2000.0,141000.0,15.0,0.9144655515574537,0.08553444844254626,368.5333333333334,18.039110948423268,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.21875,7.979300183554491E-9,3000.0,0.6939763898698416,0.1534412052721374,0.613,0.11531533179104077,0.6945694939503447,0.10987791342952276,0.6404035488223269,0.6767676767676768,-3.0312500000000013,3000.0,141000.0,15.0,0.8887115490374027,0.1112884509625974,561.6666666666666,21.26589041724079,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.265625,9.689150222887596E-9,4000.0,0.6909603617983506,0.13845649006622895,0.634,0.1290069251088741,0.6939763898698416,0.11731843575418995,0.6440841354229984,0.6571428571428571,-2.7251908396946583,4000.0,141000.0,15.0,0.7212866761438497,0.27871332385615033,760.8000000000001,26.87590530036683,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.296875,1.0829050249109667E-8,5000.0,0.696049191312688,0.13418070122345688,0.621,0.09748152099367517,0.6909603617983506,0.09051254089422028,0.6342561621633325,0.6506024096385542,-2.981092436974792,5000.0,141000.0,15.0,0.9101329766024282,0.08986702339757183,924.8000000000001,27.834203008939514,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.34375,1.2538900288442772E-8,6000.0,0.6863772116385357,0.13289995085762618,0.617,0.12253370112077414,0.696049191312688,0.10864745011086474,0.6498667572031538,0.6938775510204082,-3.003484320557491,6000.0,141000.0,15.0,0.9158073454500665,0.08419265454993344,1113.666666666667,32.598568475727085,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.375,1.3678800314664842E-8,7000.0,0.7059409888357256,0.12436961849488781,0.564,0.09209035783301112,0.6863772116385357,0.09649122807017543,0.6314460253534021,0.7272727272727273,-3.6102719033232655,7000.0,141000.0,15.0,0.9607900082467258,0.03920999175327426,1284.7333333333333,35.01523477954512,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.40625,1.4818700340886913E-8,8000.0,0.672692161580347,0.12526411322284914,0.61,0.1074697912852435,0.7059409888357256,0.1185682326621924,0.6236377666486732,0.6415094339622641,-3.0625000000000013,8000.0,141000.0,15.0,0.9669273252313397,0.03307267476866027,1492.533333333333,32.690904516321304,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.4375,1.5958600367108982E-8,9000.0,0.7535653235653236,0.13412788809375975,0.606,0.13543403844465898,0.672692161580347,0.0989010989010989,0.681026661590656,0.7888888888888889,-3.132867132867131,9000.0,141000.0,15.0,0.9903062536637247,0.009693746336275165,1671.2666666666667,36.64592486926495,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.46875,1.709850039333105E-8,10000.0,0.7297136747059523,0.1349932428511455,0.601,0.1308780092532084,0.7535653235653236,0.12866817155756208,0.6457655825425592,0.7105263157894737,-3.1049382716049405,10000.0,141000.0,15.0,0.8442051174888364,0.15579488251116358,1891.3999999999999,44.2618829888007,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.484375,1.7668450406442087E-8,11000.0,0.7372392415946423,0.13431941755331694,0.593,0.1374560250921882,0.7297136747059523,0.10864745011086474,0.6741159597981841,0.7959183673469388,-3.18411214953271,11000.0,141000.0,15.0,0.8918004920633341,0.10819950793666595,2077.6666666666665,40.79682527330957,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.515625,1.8808350432664156E-8,12000.0,0.8180099572589357,0.1677621713483214,0.625,0.17052281394052526,0.7372392415946423,0.10375275938189846,0.7155091945901836,0.851063829787234,-2.8659793814433,12000.0,141000.0,15.0,0.9159333010268925,0.08406669897310752,2257.133333333333,37.04797404653028,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.546875,1.9948250458886225E-8,13000.0,0.7360326086956521,0.13959846302240442,0.624,0.12444113263785404,0.8180099572589357,0.08695652173913043,0.6780727163775668,0.75,-2.9292604501607697,13000.0,141000.0,15.0,0.9170240389600018,0.08297596103999795,2408.3333333333335,37.82037747538957,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.578125,2.1088150485108294E-8,14000.0,0.6987777777777778,0.1393877143310368,0.625,0.1254664179104477,0.7360326086956521,0.1111111111111111,0.6487252457276844,0.68,-2.906250000000001,14000.0,141000.0,15.0,0.9970488340751009,0.002951165924899096,2599.9333333333334,43.687962818585355,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.59375,2.165810049821933E-8,15000.0,0.733011893281903,0.1371496368799897,0.611,0.11304665055406096,0.6987777777777778,0.09289617486338798,0.6567895774291853,0.7176470588235294,-3.083275017494749,15000.0,141000.0,15.0,0.892472332476173,0.10752766752382702,2763.8,50.28944791334037,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.625,2.27980005244414E-8,16000.0,0.6433210565918182,0.12772153278051657,0.596,0.10031889686625946,0.733011893281903,0.12866817155756208,0.6111708118010678,0.631578947368421,-3.1892417368762174,16000.0,141000.0,15.0,0.7161652613815288,0.28383473861847125,2980.266666666667,47.739571287001205,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.640625,2.3367950537552435E-8,17000.0,0.6825405566140597,0.12250007136731578,0.566,0.08987581208661688,0.6433210565918182,0.11234705228031146,0.6145570526234284,0.6831683168316832,-3.487834549878345,17000.0,141000.0,15.0,0.9158160467012512,0.08418395329874882,3173.866666666667,43.634630196450075,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,0.671875,2.4512765877362752E-8,18000.0,0.6842982541589548,0.1184694383629411,0.584,0.0819897871363817,0.6825405566140597,0.11482720178372352,0.6001735127376642,0.6213592233009708,-3.286204922724671,18000.0,141608.0,15.0,0.8716451835377405,0.12835481646225957,3368.866666666667,41.65824676831142,2982.3999999999996,972.8389089963163,1.5333333333333334,0.915475416434127,1.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.26666666666666666,0.4577377082170635,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,0.734375,2.750399289652705E-8,19000.0,0.7443420943438727,0.17456904102524243,0.771,0.21031215084762112,0.6842982541589548,0.10253583241455347,0.6716685896077232,0.5698924731182796,-1.3646739130434793,19000.0,185000.0,15.0,0.8847535682585135,0.11524643174148659,3547.533333333333,47.6188238089978,5853.333333333333,72.29568912920507,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,0.78125,3.0219477290908493E-8,20000.0,0.699434925997426,0.148908710711445,0.697,0.17507024154378914,0.7443420943438727,0.12612612612612611,0.6600682952847792,0.6160714285714286,-2.1045081967213113,20000.0,223928.0,15.0,0.9717815802161818,0.02821841978381824,3763.066666666667,50.096288238133006,8427.199999999999,985.0809393866358,4.866666666666667,0.5163977794943222,2.9333333333333336,0.2581988897471611,2.9333333333333336,0.2581988897471611,1.933333333333333,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,0.8125,3.207533154636621E-8,21000.0,0.7413570749807684,0.1734435530008106,0.689,0.1785438831894684,0.699434925997426,0.10864745011086474,0.6911685204832141,0.6938775510204082,-2.1858536585365864,21000.0,229560.0,15.0,0.8757727099360151,0.12422729006398482,3946.733333333333,52.347010648264536,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,0.859375,3.4859112929552794E-8,22000.0,0.7933397351542958,0.2149496358861116,0.742,0.2217241524938011,0.7413570749807684,0.10253583241455347,0.7172320963268604,0.6881720430107527,-1.6486234251049936,22000.0,229560.0,15.0,0.7865915497879745,0.2134084502120254,4130.666666666667,50.32844504802817,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,0.890625,3.671496718501051E-8,23000.0,0.7404318112840264,0.19141957327151776,0.724,0.19670766562083444,0.7933397351542958,0.11982082866741321,0.6741666988407785,0.616822429906542,-1.821333333333334,23000.0,229560.0,15.0,0.9506591655865787,0.04934083441342115,4345.066666666667,53.36192685890598,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
24000.0,0.890625,3.671496718501051E-8,24000.0,0.7522899597984836,0.2071670405221674,0.729,0.16690235234804393,0.7404318112840264,0.09409190371991247,0.6692273519424158,0.6046511627906976,-1.7842465753424646,24000.0,229560.0,15.0,0.9585443739282082,0.04145562607179176,4506.266666666666,53.9225193702788,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
25000.0,0.921875,3.857082144046823E-8,25000.0,0.7317811870174782,0.17842033140183772,0.717,0.18766863769447178,0.7522899597984836,0.11234705228031146,0.6784315634068926,0.6336633663366337,-1.9031596224866638,25000.0,229560.0,15.0,0.8981652993785226,0.10183470062147738,4697.866666666667,58.286076095982644,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
26000.0,0.96875,4.135460282365481E-8,26000.0,0.7486157253599114,0.18262196728434066,0.697,0.17981311649360615,0.7317811870174782,0.10741971207087486,0.6895359363473892,0.6804123711340206,-2.108918705603788,26000.0,229560.0,15.0,0.9086333521564608,0.0913666478435391,4884.533333333334,53.99453235105877,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
27000.0,0.984375,4.2282529951383675E-8,27000.0,0.714502495524653,0.16533524583903209,0.704,0.15285767436535863,0.7486157253599114,0.10253583241455347,0.6558981389467088,0.6021505376344086,-2.04225352112676,27000.0,229560.0,15.0,0.8821795515411819,0.11782044845881787,5065.866666666668,50.90027598390927,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28000.0,1.0,4.321045707911254E-8,28000.0,0.718851752537828,0.17298784095157133,0.672,0.14611796067977356,0.714502495524653,0.1013215859030837,0.667957275613931,0.6630434782608695,-2.3777123942625966,28000.0,229560.0,15.0,0.961017733311696,0.03898226668830389,5242.2,55.22965042180039,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
29000.0,1.03125,4.5066311334570256E-8,29000.0,0.7599455168850688,0.18194575679540914,0.689,0.1540729618870427,0.718851752537828,0.10375275938189846,0.6656913630513772,0.6382978723404256,-2.2061855670103108,29000.0,229560.0,15.0,0.7856965269853852,0.21430347301461486,5420.266666666667,56.59059319441048,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
30000.0,1.0625,4.6922165590027975E-8,30000.0,0.7589763089970502,0.18604652236749347,0.699,0.1968192976838506,0.7599455168850688,0.10619469026548672,0.7122861682959474,0.7291666666666666,-2.104159504984532,30000.0,229560.0,15.0,0.9630502639550877,0.03694973604491217,5604.666666666666,60.76496484308153,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
31000.0,1.09375,4.8778019845485694E-8,31000.0,0.7623555555555556,0.18379964415501926,0.679,0.1534810126582277,0.7589763089970502,0.1111111111111111,0.6613118276073198,0.64,-2.307078763708874,31000.0,229560.0,15.0,0.8013940046343642,0.19860599536563572,5799.266666666666,59.310883928508,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
32000.0,1.125,5.063387410094341E-8,32000.0,0.6642888888888889,0.1608536827775533,0.667,0.11811440677966123,0.7623555555555556,0.1111111111111111,0.6215571842826155,0.57,-2.4274686394338993,32000.0,229560.0,15.0,0.7789561377920673,0.2210438622079326,5993.266666666666,57.14576183093621,8800.0,0.0,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
