learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.2554304450750352E-8,1000.0,0.6805273833671399,0.05128513843249938,0.986,0.0,0.0,0.014198782961460446,0.0,0.0,0.0,1000.0,464976.0,15.0,0.9999998609861882,1.3901381172262766E-7,976.7333333333333,34.051361765651,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9470032788813116E-8,2000.0,0.8470262096774194,0.02960093355329088,0.992,0.0,0.6805273833671399,0.008064516129032258,0.0,0.0,0.2727272727272727,2000.0,464976.0,15.0,0.9999999999998067,1.9323383037588549E-13,1961.0666666666664,45.353321923799626,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.074718501418829E-8,3000.0,0.590311609522934,0.010419049526057942,0.989,0.0,0.8470262096774194,0.011122345803842264,0.0,0.0,0.0,3000.0,464976.0,15.0,0.9999999335126728,6.648732726151768E-8,2949.666666666667,59.99603161479789,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.578125,7.13371749346455E-8,4000.0,0.5885484103006762,0.046162776053035155,0.993,0.0,0.590311609522934,0.007049345417925478,0.0,0.0,0.3,4000.0,509376.0,15.0,0.9999996630129842,3.3698701570948144E-7,3934.9333333333334,58.74456408489054,5878.400000000001,588.6095965432922,3.1333333333333337,0.5163977794943222,2.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,1.0666666666666669,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.71875,9.033819272493323E-8,5000.0,0.7285786290322581,0.05989501880262201,0.992,0.0,0.5885484103006762,0.008064516129032258,0.0,0.0,0.16666666666667052,5000.0,522296.0,15.0,0.9999998455460498,1.5445395007705418E-7,4927.933333333333,62.39558897718301,6733.333333333334,1262.638205542363,3.666666666666667,0.9759000729485332,2.3333333333333335,0.4879500364742666,2.3333333333333335,0.4879500364742666,1.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.84375,1.0750557218367856E-7,6000.0,0.8216161616161616,0.054356145196905306,0.99,0.0,0.7285786290322581,0.010101010101010102,0.0,0.0,-0.03448275862068569,6000.0,530880.0,15.0,0.9991268807185888,8.7311928141116E-4,5914.266666666666,78.08463052233469,7300.8,1393.4370250776112,4.066666666666666,1.0327955589886444,2.533333333333333,0.5163977794943222,2.533333333333333,0.5163977794943222,1.5333333333333334,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.96875,1.2534143429042565E-7,7000.0,0.907258064516129,0.05235654137839954,0.992,0.0,0.8216161616161616,0.008064516129032258,0.0,0.0,0.15151515151515293,7000.0,551552.0,15.0,0.9999999987867392,1.2132607080042678E-9,6903.0,77.77531742140309,8667.733333333334,146.38865425721383,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.046875,1.3699072749457425E-7,8000.0,0.5790954773869347,0.03780658819160124,0.995,0.0,0.907258064516129,0.005025125628140704,0.0,0.0,0.4366197183098565,8000.0,576384.0,15.0,0.999999917714561,8.228543890302994E-8,7907.733333333334,88.7423772715692,10308.800000000001,1326.3287246057387,6.2,1.0141851056742197,3.6,0.5070925528371099,3.6,0.5070925528371099,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.140625,1.510115948298739E-7,9000.0,0.843939393939394,0.04205871169108746,0.99,0.0,0.5790954773869347,0.010101010101010102,0.0,0.0,-0.1111111111111111,9000.0,578104.0,15.0,0.9999883890600572,1.1610939942794824E-5,8907.333333333332,89.76689388686258,10423.466666666665,1430.7463520168503,6.2,1.0141851056742197,3.6,0.5070925528371099,3.6,0.5070925528371099,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.25,1.6752840666514303E-7,10000.0,0.8287550403225806,0.04323544265034732,0.992,0.0,0.843939393939394,0.008064516129032258,0.0,0.0,0.1011235955056191,10000.0,583728.0,15.0,0.9999999999999994,7.336487272687416E-19,9909.466666666667,96.3215349505919,10795.199999999999,1268.8759480061758,6.466666666666666,0.9154754164341269,3.733333333333333,0.45773770821706344,3.733333333333333,0.45773770821706344,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.34375,1.8175726937544013E-7,11000.0,0.8351833165153044,0.017929241942310242,0.991,0.0,0.8287550403225806,0.009081735620585268,0.0,0.0,-0.010204081632658783,11000.0,586680.0,15.0,0.9999997215308899,2.7846911005770976E-7,10910.666666666668,91.54520090929812,10990.4,1150.5037902712754,6.6,0.828078671210825,3.8,0.4140393356054125,3.8,0.4140393356054125,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.46875,2.0139265365691648E-7,12000.0,0.8688256048387096,0.024036908317067403,0.992,0.0,0.8351833165153044,0.008064516129032258,0.0,0.0,0.09433962264151133,12000.0,607200.0,15.0,0.9999999999999994,4.5489499611085865E-19,11901.33333333333,75.23740204623432,12345.600000000002,1259.3266227858214,7.666666666666666,0.9759000729485332,4.333333333333333,0.48795003647426644,4.333333333333333,0.48795003647426644,2.6666666666666665,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.625,2.2664054995402692E-7,13000.0,0.8666237705671477,0.02151951810459487,0.989,0.0,0.8688256048387096,0.011122345803842264,0.0,0.0,-0.2222222222222222,13000.0,624608.0,15.0,0.9999999999999308,6.906787379565323E-14,12886.93333333333,69.54183393229367,13496.533333333333,1438.7819186811494,8.466666666666667,1.187233679409327,4.733333333333333,0.5936168397046635,4.733333333333333,0.5936168397046635,2.8666666666666663,0.6399404734221843,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.71875,2.4211971322074533E-7,14000.0,0.8163471241170535,0.013097383356504151,0.991,0.0,0.8666237705671477,0.009081735620585268,0.0,0.0,0.0,14000.0,638232.0,15.0,0.9998929071833598,1.07092816640115E-4,13872.466666666667,80.57194359848906,14396.800000000001,1368.4270010281355,9.133333333333331,1.1872336794093272,5.0666666666666655,0.5936168397046636,5.0666666666666655,0.5936168397046636,3.066666666666667,0.5936168397046637,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.8125,2.581209992058575E-7,15000.0,0.7230631236685727,0.01295091562616315,0.991,0.0,0.8163471241170535,0.009081735620585268,0.0,0.0,0.0,15000.0,659760.0,15.0,0.9999700309270846,2.9969072915431008E-5,14852.733333333332,90.9509025060589,15820.800000000001,1261.4324737037198,10.066666666666666,1.0327955589886446,5.533333333333333,0.5163977794943223,5.533333333333333,0.5163977794943223,3.2000000000000006,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.921875,2.771391235809359E-7,16000.0,0.6718241955376163,0.003988554885657391,0.991,0.0,0.7230631236685727,0.009081735620585268,0.0,0.0,0.0,16000.0,672128.0,15.0,0.9947665230894276,0.005233476910572445,15842.199999999999,70.89751154206454,16638.933333333334,1668.2305196424943,10.6,1.3522468075656262,5.8,0.6761234037828131,5.8,0.6761234037828131,3.266666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,2.015625,2.9373335160521997E-7,17000.0,0.7957788944723618,0.003955155264197039,0.995,0.0,0.6718241955376163,0.005025125628140704,0.0,0.0,0.4295302013422785,17000.0,684208.0,15.0,0.9999999999958975,4.1025099472078636E-12,16837.06666666667,72.01038284924796,17437.33333333334,1854.2150694591837,11.266666666666667,1.486446705914413,6.133333333333334,0.7432233529572065,6.133333333333334,0.7432233529572065,3.3333333333333335,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,2.125,3.136460630533596E-7,18000.0,0.8900318748188931,0.024585603194658457,0.986,0.0,0.7957788944723618,0.014198782961460446,0.0,0.0,-0.546012269938645,18000.0,703744.0,15.0,0.9999999993552233,6.447765633603095E-10,17812.266666666666,87.8525279469331,18729.066666666673,1371.6771520747197,12.066666666666666,1.0327955589886444,6.533333333333333,0.5163977794943222,6.533333333333333,0.5163977794943222,3.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,2.234375,3.338252039005359E-7,19000.0,0.8246457489878543,0.018699798205403687,0.988,0.0,0.8900318748188931,0.012145748987854251,0.0,0.0,-0.3028571428571478,19000.0,713160.0,15.0,0.9999999742414531,2.5758546878363955E-8,18799.066666666666,87.08408634898838,19352.0,1535.5832768039638,12.466666666666669,1.1872336794093277,6.733333333333334,0.5936168397046638,6.733333333333334,0.5936168397046638,3.533333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
