learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.1875,2.298387698829174E-8,1000.0,0.9805304774296867,0.7614865681050724,0.942,0.8840208762422763,0.0,0.941747572815534,0.9423477157056019,0.9587628865979382,0.8786610878661086,1000.0,473832.0,15.0,0.559433947118426,0.4405660528815741,710.4000000000001,23.820159529272708,3529.6,1212.3071746526477,1.4000000000000001,0.828078671210825,1.2,0.41403933560541256,1.2,0.41403933560541256,0.2,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.34375,4.356901627033949E-8,2000.0,0.9850537207164902,0.7719356098214228,0.941,0.8815051655714262,0.9805304774296867,1.1231422505307855,0.9403353399588362,0.9508506616257089,0.8782249742002063,2000.0,509256.0,15.0,0.46916814500894255,0.5308318549910576,1446.3999999999999,34.983261303494444,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.4375,5.6063290685415266E-8,3000.0,0.9800595810109552,0.7796131567759055,0.934,0.8678308234540213,0.9850537207164902,1.0661157024793388,0.9337841719309997,0.939922480620155,0.8637302133516863,3000.0,515160.0,15.0,0.5246637720199867,0.4753362279800134,2169.3333333333335,39.62803240612582,6262.400000000001,1030.2629900037314,3.266666666666667,0.7037315505489969,2.133333333333334,0.3518657752744986,2.133333333333334,0.3518657752744986,1.1333333333333335,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.862236962964138E-8,4000.0,0.9832839331357326,0.7993338860968799,0.945,0.8900096791482349,0.9800595810109552,0.9960079840319361,0.9447685273919117,0.9679358717434869,0.886069394096323,4000.0,517832.0,15.0,0.45090453645032236,0.5490954635496776,2909.3999999999996,39.71289822858917,6438.933333333333,1175.2528886928774,3.4,0.8280786712108249,2.2000000000000006,0.4140393356054126,2.2000000000000006,0.4140393356054126,1.2,0.41403933560541245,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.625,8.124605907748143E-8,5000.0,0.9797032693176955,0.7928936614034274,0.931,0.8620496621216363,0.9832839331357326,0.9880715705765407,0.9306251545463501,0.9637826961770624,0.8562500000000001,5000.0,520496.0,15.0,0.512588905698505,0.4874110943014948,3643.8000000000006,44.52639666534915,6614.933333333334,1277.5149686943382,3.5333333333333337,0.9154754164341269,2.266666666666667,0.4577377082170635,2.266666666666667,0.4577377082170635,1.2666666666666668,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,9.427196346223354E-8,6000.0,0.9859792674277426,0.7989968384119919,0.949,0.8980684979693645,0.9797032693176955,0.9193857965451055,0.9497490030897039,0.9770354906054279,0.8936761640027796,6000.0,537080.0,15.0,0.4939593178279411,0.5060406821720589,4389.599999999999,61.80360599743129,7710.399999999998,1957.8605232680457,4.466666666666667,1.4074631010979937,2.7333333333333334,0.7037315505489968,2.7333333333333334,0.7037315505489968,1.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.828125,1.1085668423523506E-7,7000.0,0.9861524550284873,0.7878618455580804,0.945,0.8900879296562749,0.9859792674277426,0.968503937007874,0.9449680412253781,0.9776422764227642,0.8855869242199108,7000.0,586128.0,15.0,0.28823878756848653,0.7117612124315136,5113.200000000001,70.88642827993046,10953.6,1834.7607395594039,6.6,1.3522468075656264,3.8,0.6761234037828132,3.8,0.6761234037828132,2.333333333333333,0.48795003647426666,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.2288141685227553E-7,8000.0,0.9902882205513784,0.8330302283201819,0.954,0.9072640474808076,0.9861524550284873,1.1367521367521367,0.9513079554168868,0.9849624060150376,0.9041666666666666,8000.0,594960.0,15.0,0.41021606760942314,0.5897839323905769,5866.866666666667,78.54740758354303,11536.533333333335,1744.2004253552757,7.266666666666667,1.2798809468443688,4.133333333333333,0.6399404734221844,4.133333333333333,0.6399404734221844,2.6,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0,1.3866888669629893E-7,9000.0,0.9859131819800784,0.8273402963897636,0.958,0.9160554034337337,0.9902882205513784,0.9569471624266145,0.9582235674017207,0.983640081799591,0.9128429790177541,9000.0,650944.0,15.0,0.5691371011588947,0.43086289884110524,6612.200000000001,79.02187762168873,15237.866666666667,1689.0327691427703,9.666666666666666,1.2344267996967349,5.333333333333333,0.6172133998483674,5.333333333333333,0.6172133998483674,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.078125,1.5197289434985983E-7,10000.0,0.9904754278850966,0.8549685660247289,0.966,0.9318650928839101,0.9859131819800784,1.0618556701030928,0.9652411726969184,0.9844660194174757,0.9297084970022741,10000.0,658256.0,15.0,0.6428584221817373,0.3571415778182627,7367.933333333333,84.1702922368581,15722.133333333333,1535.7573220990848,9.933333333333334,1.0327955589886444,5.466666666666667,0.5163977794943222,5.466666666666667,0.5163977794943222,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.171875,1.6808419281409847E-7,11000.0,0.9851530900056411,0.8387834122099693,0.953,0.9059104267262433,0.9904754278850966,1.028397565922921,0.9522109610375249,0.980276134122288,0.9025447690857681,11000.0,664296.0,15.0,0.41733356209054945,0.5826664379094505,8105.133333333333,78.14991697890366,16123.2,1509.3000837663606,10.066666666666666,1.0327955589886444,5.533333333333333,0.5163977794943222,5.533333333333333,0.5163977794943222,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.296875,1.8956592409975E-7,12000.0,0.9837415972197169,0.8387996009830876,0.948,0.8961814747820809,0.9851530900056411,0.9120458891013384,0.9489961307489454,0.989517819706499,0.8920601971977166,12000.0,664296.0,15.0,0.571510978099378,0.42848902190062205,8834.466666666667,66.36034386661377,16123.2,1509.3000837663606,10.066666666666666,1.0327955589886444,5.533333333333333,0.5163977794943222,5.533333333333333,0.5163977794943222,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.421875,2.110567099104325E-7,13000.0,0.983147716897732,0.8344763257387103,0.95,0.9001034927814783,0.9837415972197169,0.8621973929236499,0.9521367267155862,0.9935205183585313,0.8959000640614989,13000.0,664576.0,15.0,0.5160725225507043,0.48392747744929554,9543.266666666666,64.44983283439099,16141.866666666667,1526.579644015932,10.066666666666666,1.0327955589886444,5.533333333333333,0.5163977794943222,5.533333333333333,0.5163977794943222,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.5625,2.3669689350451032E-7,14000.0,0.9880761366682805,0.8187589031865883,0.956,0.9120791287840943,0.983147716897732,0.9646365422396856,0.9560209873562181,0.9898167006109979,0.9085374907201187,14000.0,704792.0,15.0,0.6323160727737501,0.36768392722625004,10276.933333333332,77.0523631478404,18798.933333333334,1774.0912952296235,12.333333333333332,0.9759000729485333,6.666666666666666,0.48795003647426666,6.666666666666666,0.48795003647426666,4.133333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.65625,2.5432042699928085E-7,15000.0,0.9843157573420731,0.8205925857931898,0.944,0.8882289071980582,0.9880761366682805,0.8796992481203008,0.9458033899488779,0.9914529914529915,0.8833819241982506,15000.0,726648.0,15.0,0.4405944020500732,0.5594055979499268,11002.533333333335,83.38196676111923,20244.8,1955.385354786694,13.0,1.3093073414159542,7.0,0.6546536707079771,7.0,0.6546536707079771,4.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,1.75,2.7215098574136695E-7,16000.0,0.9901623335040983,0.8438192382841299,0.953,0.9061126648022373,0.9843157573420731,0.953125,0.9531858855855494,0.9897540983606558,0.9021470396877033,16000.0,735184.0,15.0,0.4493617342785337,0.5506382657214663,11727.8,73.86493465392465,20808.533333333336,1559.5353642610842,13.533333333333331,0.9154754164341273,7.266666666666666,0.45773770821706367,7.266666666666666,0.45773770821706367,4.7333333333333325,0.4577377082170636,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,1.84375,2.9038395344590147E-7,17000.0,0.9901834586466165,0.8623325550094068,0.964,0.9280359820089954,0.9901623335040983,0.9047619047619048,0.96499951303116,0.9936842105263158,0.9248803240456609,17000.0,751776.0,15.0,0.8055828791193635,0.19441712088063642,12457.733333333332,73.00045661957616,21905.6,1850.78380307217,14.200000000000001,1.2649110640673518,7.6000000000000005,0.6324555320336759,7.6000000000000005,0.6324555320336759,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.96875,3.1472199932775564E-7,18000.0,0.9869105964507656,0.85776171194654,0.96,0.9197637845818087,0.9901834586466165,1.0661157024793388,0.9584866955087893,0.9903100775193798,0.9167726274419141,18000.0,752624.0,15.0,0.33359833504041314,0.666401664959587,13185.333333333334,83.84481129415465,21962.133333333335,1853.3884746850129,14.200000000000001,1.2649110640673518,7.6000000000000005,0.6324555320336759,7.6000000000000005,0.6324555320336759,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
