learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.915581783072816E-8,1000.0,0.9745270743669302,0.7573984778579181,0.926,0.8523101486877558,0.0,0.941747572815534,0.9262008762989437,0.9752577319587629,0.8451882845188285,1000.0,473896.0,15.0,818.2,28.35539757133678,3532.8,1210.7737313682637,1.6666666666666667,0.9759000729485332,1.3333333333333335,0.4879500364742666,1.3333333333333335,0.4879500364742666,0.3333333333333333,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.28125,3.562392925636636E-8,2000.0,0.9837453192539704,0.7861592267458046,0.947,0.8934810396250532,0.9745270743669302,1.1231422505307855,0.945927076102611,0.9621928166351607,0.8906088751289989,2000.0,509256.0,15.0,1726.9333333333334,41.73122617531433,5872.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.803962332920896E-8,3000.0,0.9808604010506758,0.7814827124064673,0.936,0.8718359500160207,0.9837453192539704,1.0661157024793388,0.9357866815864377,0.9418604651162791,0.8678596008258775,3000.0,511920.0,15.0,2646.2,47.25190850265053,6048.0,681.6450689325054,3.133333333333334,0.5163977794943224,2.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,1.066666666666667,0.2581988897471612,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,6.0663312777049E-8,4000.0,0.9833399333597335,0.7970255592995434,0.945,0.8900087992960563,0.9808604010506758,0.9960079840319361,0.944810865025526,0.9659318637274549,0.886069394096323,4000.0,520496.0,15.0,3555.4666666666667,46.529355813088095,6614.933333333334,1277.5149686943382,3.5333333333333337,0.9154754164341269,2.266666666666667,0.4577377082170635,2.266666666666667,0.4577377082170635,1.2666666666666668,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.546875,7.163755880254837E-8,5000.0,0.9790112444047986,0.7819600611676154,0.932,0.8640473115355857,0.9833399333597335,0.9880715705765407,0.931654038392418,0.9637826961770624,0.8583333333333334,5000.0,542984.0,15.0,4468.266666666666,53.246685566422954,8100.8,2385.17669905487,4.7333333333333325,1.6676187756655838,2.8666666666666663,0.8338093878327919,2.8666666666666663,0.8338093878327919,1.6,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.640625,8.647643779921862E-8,6000.0,0.9818159232886813,0.7856103976321647,0.938,0.8763013299602168,0.9790112444047986,0.9193857965451055,0.93879426626156,0.9874739039665971,0.8707435719249478,6000.0,611832.0,15.0,5302.533333333333,68.64907310441433,12652.800000000001,2032.8340245648617,7.800000000000001,1.4735767952260146,4.4,0.7367883976130073,4.4,0.7367883976130073,2.9333333333333327,0.5936168397046638,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.734375,1.0183297692694597E-7,7000.0,0.988761122847449,0.8509628901861195,0.952,0.9040859389986571,0.9818159232886813,0.968503937007874,0.9519117452834202,0.9878048780487805,0.9001485884101039,7000.0,633176.0,15.0,6209.133333333334,75.45279192663318,14062.93333333333,2207.4075119491463,8.866666666666667,1.5976172734359602,4.933333333333334,0.7988086367179801,4.933333333333334,0.7988086367179801,3.1333333333333337,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.796875,1.1234476308648784E-7,8000.0,0.9896576376839534,0.8487766238952561,0.952,0.9030569378918114,0.988761122847449,1.1367521367521367,0.9477971917771065,0.9962406015037594,0.8999999999999999,8000.0,650128.0,15.0,7127.199999999999,87.05597542468222,15183.466666666667,1873.7780729495864,9.666666666666668,1.2344267996967353,5.333333333333334,0.6172133998483676,5.333333333333334,0.6172133998483676,3.200000000000001,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,1.335072576896184E-7,9000.0,0.9877180555388808,0.8557548590572392,0.956,0.9120812369370701,0.9896576376839534,0.9569471624266145,0.9561791206668481,0.9877300613496932,0.9086926446852662,9000.0,654424.0,15.0,8034.733333333334,88.88633726496414,15468.266666666668,1909.4253236685292,9.8,1.2649110640673518,5.4,0.6324555320336759,5.4,0.6324555320336759,3.200000000000001,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.015625,1.4941385921297803E-7,10000.0,0.9909158242418177,0.8647909354922917,0.965,0.929831595829992,0.9877180555388808,1.0618556701030928,0.9638652045380969,0.9902912621359223,0.9276410998552821,10000.0,655856.0,15.0,8962.800000000001,94.3528332529402,15563.73333333333,1874.8473258476527,9.8,1.2649110640673518,5.4,0.6324555320336759,5.4,0.6324555320336759,3.200000000000001,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.0625,1.575742822347416E-7,11000.0,0.9848970398198047,0.8382441737670572,0.952,0.9038950533983109,0.9909158242418177,1.028397565922921,0.9509812067491638,0.9842209072978304,0.9004712535344014,11000.0,672936.0,15.0,9879.466666666665,92.74301411247485,16693.86666666667,1994.1571032345855,10.6,1.549193338482967,5.8,0.7745966692414835,5.8,0.7745966692414835,3.466666666666667,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.15625,1.7506102772636548E-7,12000.0,0.9834209186638928,0.8086006522342111,0.94,0.8803412667073506,0.9848970398198047,0.9120458891013384,0.9409620218468954,0.9937106918238994,0.875454073689673,12000.0,721008.0,15.0,10744.133333333333,75.89924398895715,19871.466666666664,1977.3886772590731,12.866666666666667,1.4074631010979934,6.933333333333334,0.7037315505489967,6.933333333333334,0.7037315505489967,4.533333333333332,0.5163977794943225,0.0,0.0,0.0,0.0,1.0,0.0
