learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6915728338062764E-8,1000.0,0.9953308046859997,0.9588763798950327,0.989,0.9779936621747063,0.0,1.032520325203252,0.9889804796312248,0.9901574803149606,0.9768421052631578,1000.0,464976.0,15.0,0.31577306265571986,0.6842269373442802,760.3333333333333,30.10378871899839,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.571098204702139E-8,2000.0,0.9999559294871795,0.9815352648980296,0.994,0.9879846203140019,0.9953308046859997,1.0833333333333333,0.9941435078008427,0.9903846153846154,0.9874345549738219,2000.0,464976.0,15.0,0.4100863893026112,0.5899136106973888,1519.3333333333335,42.80298164959117,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.390625,4.7052744776010514E-8,3000.0,1.0,0.9855705292795217,0.999,0.9979994238340643,0.9999559294871795,0.968503937007874,0.9989832229195827,0.9979674796747967,0.9979296066252588,3000.0,467640.0,15.0,0.5385241219575845,0.4614758780424155,2279.8666666666663,46.033941929013736,3120.0,681.6450689325054,1.1333333333333333,0.5163977794943222,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.06666666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.036832928657531E-8,4000.0,0.9999599897573779,0.9809907042820809,0.996,0.9919984637050313,1.0,1.032520325203252,0.9960291014506352,0.9940944881889764,0.9917184265010351,4000.0,470592.0,15.0,0.25802397113620024,0.7419760288637999,3028.133333333333,45.43577361297506,3315.2,1437.6514181121931,1.2666666666666666,1.0327955589886444,1.1333333333333333,0.5163977794943222,1.1333333333333333,0.5163977794943222,0.13333333333333333,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.54715034013821E-8,5000.0,0.9998159528839383,0.9400253891573205,0.995,0.9899971191703211,0.9999599897573779,0.968503937007874,0.9949821291339598,0.9939024390243902,0.9897034596375618,5000.0,533768.0,15.0,0.5208771476048396,0.4791228523951605,3779.0000000000005,51.145450852027345,7490.133333333332,1718.4297594301718,4.333333333333333,1.234426799696735,2.6666666666666665,0.6172133998483675,2.6666666666666665,0.6172133998483675,1.6666666666666667,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.703125,8.894017406014933E-8,6000.0,0.9982437470995823,0.9651218624544287,0.998,0.9959992318525157,0.9998159528839383,0.9762845849802372,0.9979736554659389,0.9959514170040485,0.995880535530381,6000.0,555336.0,15.0,0.6404438927692008,0.3595561072307993,4518.533333333334,72.0752252527739,8918.4,715.8432390245389,5.133333333333334,0.5163977794943222,3.066666666666667,0.2581988897471611,3.066666666666667,0.2581988897471611,2.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.796875,1.0260500453619494E-7,7000.0,0.9998556095682726,0.9743557980198485,0.993,0.985954718010867,0.9982437470995823,0.9011406844106464,0.9927057451931276,0.9873417721518988,0.9855329199881901,7000.0,563424.0,15.0,0.6964324810046693,0.30356751899533085,5269.666666666667,78.5545003409067,9452.800000000001,1179.7793498301764,5.533333333333333,0.9154754164341268,3.2666666666666666,0.4577377082170634,3.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.90625,1.1888073964251413E-7,8000.0,0.9999759965435022,0.9792108528181207,0.999,0.9979997599711965,0.9998556095682726,1.0242914979757085,0.9990113690118946,0.9980237154150198,0.9979423868312757,8000.0,575208.0,15.0,0.4837084952307959,0.516291504769204,6040.533333333333,81.70580209041522,10231.466666666669,1380.201117159931,6.199999999999999,1.01418510567422,3.5999999999999996,0.50709255283711,3.5999999999999996,0.50709255283711,2.5999999999999996,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.0,1.3303742485327852E-7,9000.0,0.9992346499224632,0.978216586414849,0.997,0.9939899030371023,0.9999759965435022,0.9193857965451055,0.9970363884390647,0.9979123173277662,0.9938328003654637,9000.0,583704.0,15.0,0.595855520775304,0.4041444792246961,6805.266666666667,85.49307964196086,10793.599999999999,1913.4631580312325,6.466666666666665,1.4074631010979934,3.7333333333333325,0.7037315505489967,3.7333333333333325,0.7037315505489967,2.7333333333333325,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.09375,1.4733031599058046E-7,10000.0,0.9998878703781572,0.9863031691009625,0.998,0.9959953706484697,0.9992346499224632,1.0703933747412009,0.9979976830022308,0.9980657640232108,0.9959033183121672,10000.0,589320.0,15.0,0.44803409529912,0.5519659047008798,7580.4,93.75637121207897,11164.8,2035.292720259879,6.7333333333333325,1.4864467059144129,3.8666666666666663,0.7432233529572064,3.8666666666666663,0.7432233529572064,2.7999999999999994,0.6761234037828132,0.0,0.0,0.0,0.0,1.0,0.0
