learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6918638721108438E-8,1000.0,0.9851842948717948,0.7843880697101632,0.952,0.9037227214377406,0.0,0.9230769230769231,0.9511127086814605,0.9333333333333333,0.8989473684210525,1000.0,465056.0,15.0,0.3808373217766364,0.6191626782233636,1118.9333333333332,31.10228899859914,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.25,3.0077579948637224E-8,2000.0,0.9905823016229393,0.8059113212998865,0.961,0.9219175449274433,0.9851842948717948,1.1008403361344539,0.9614706845354763,0.950381679389313,0.921608040201005,2000.0,465056.0,15.0,0.5710059465125535,0.4289940534874465,2245.7999999999997,44.79668355071443,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.328125,3.953195927250717E-8,3000.0,0.9939268096546923,0.8099093458988046,0.966,0.9320019039466895,0.9905823016229393,1.028397565922921,0.9660760463720055,0.9585798816568047,0.930941096817874,3000.0,467784.0,15.0,0.6164834908813616,0.38351650911863855,3340.333333333333,61.89007151701265,3123.733333333333,680.7650598162824,1.2666666666666668,0.7037315505489967,1.1333333333333335,0.35186577527449847,1.1333333333333335,0.35186577527449847,0.13333333333333336,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.4375,5.5385300786130966E-8,4000.0,0.9856299307100223,0.746119824422318,0.941,0.8819348280250697,0.9939268096546923,0.9762845849802372,0.9406207559407441,0.9230769230769231,0.8803245436105476,4000.0,560280.0,15.0,0.5482225718230586,0.4517774281769412,4470.999999999999,59.44625423739593,9239.466666666667,1611.5567392461003,5.400000000000001,1.1212238211627763,3.2000000000000006,0.5606119105813882,3.2000000000000006,0.5606119105813882,1.9333333333333333,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5625,7.48781409735481E-8,5000.0,0.9894539329708623,0.7794662408918147,0.954,0.907961343764381,0.9856299307100223,1.028397565922921,0.953839778381712,0.9625246548323472,0.9065420560747662,5000.0,602792.0,15.0,0.41119734428217314,0.5888026557178268,5597.866666666666,64.7201300840413,12049.599999999999,2216.142749399119,7.4,1.5491933384829668,4.199999999999999,0.7745966692414834,4.199999999999999,0.7745966692414834,2.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.640625,8.738987768689792E-8,6000.0,0.9839187896878588,0.7945909488246425,0.953,0.9059729202010178,0.9894539329708623,0.9646365422396856,0.9530027604475763,0.9531568228105907,0.9042769857433808,6000.0,619056.0,15.0,0.4073105008837004,0.5926894991162995,6696.2,84.88328120761724,13125.866666666667,2420.7304053194557,8.066666666666666,1.6676187756655838,4.533333333333333,0.8338093878327919,4.533333333333333,0.8338093878327919,2.733333333333333,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.703125,9.775045327842236E-8,7000.0,0.9917757039253413,0.8149122039420785,0.965,0.929998319959679,0.9839187896878588,0.9880715705765407,0.9650044167810211,0.96579476861167,0.9285088999124598,7000.0,640776.0,15.0,0.5729543587247232,0.42704564127527683,7777.933333333333,84.72347175763434,14562.666666666668,2406.451645849034,9.0,1.690308509457033,5.0,0.8451542547285165,5.0,0.8451542547285165,2.933333333333333,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.8125,1.1647475831624535E-7,8000.0,0.992135496671787,0.8115960118012877,0.966,0.9319891182589214,0.9917757039253413,1.0161290322580645,0.965929455634131,0.9722222222222222,0.9306476287608363,8000.0,661744.0,15.0,0.5702066555825256,0.4297933444174744,8922.666666666666,98.03837926814066,15947.733333333335,2104.1974196715437,10.333333333333334,1.234426799696735,5.666666666666667,0.6172133998483675,5.666666666666667,0.6172133998483675,3.4,0.50709255283711,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.90625,1.329593619124757E-7,9000.0,0.9914398630378086,0.8167937945361198,0.957,0.9140020639504651,0.992135496671787,1.0080321285140563,0.9570071336215111,0.952191235059761,0.9120454545454545,9000.0,679688.0,15.0,0.4581404203988503,0.5418595796011496,10029.733333333332,100.97698936367789,17135.46666666667,2461.0584792107716,10.866666666666667,1.5976172734359602,5.933333333333334,0.7988086367179801,5.933333333333334,0.7988086367179801,3.466666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,1.5033337856746382E-7,10000.0,0.988224870100712,0.7903025152713763,0.958,0.9156761965949244,0.9914398630378086,1.1008403361344539,0.9569628793230879,0.9751908396946565,0.9138638228055783,10000.0,716360.0,15.0,0.46447036288513316,0.5355296371148668,11151.533333333335,108.62771723819367,19560.0,2257.446344877326,12.466666666666667,1.5976172734359606,6.733333333333333,0.7988086367179803,6.733333333333333,0.7988086367179803,4.133333333333333,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
