learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.0674779079854488E-8,1000.0,0.7944933977957995,0.38127312451960454,0.687,0.15642518326865026,0.0,0.09170305676855896,0.6885760921833943,0.6904761904761905,-2.726190476190477,1000.0,464976.0,15.0,157.6666666666667,13.745995087747595,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9470032788813116E-8,2000.0,0.7322327636401,0.3241472648304521,0.705,0.1455417554917044,0.7944933977957995,0.10741971207087486,0.6388638006159542,0.5670103092783505,-2.2596685082872923,2000.0,464976.0,15.0,326.0666666666667,20.182972549958567,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.886765964329243E-8,3000.0,0.7659395606795056,0.33576261156742493,0.664,0.16271281049399974,0.7322327636401,0.11358574610244988,0.6779821608804122,0.696078431372549,-2.5618374558303865,3000.0,464976.0,15.0,526.9333333333334,21.555465553731274,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.390386261045934E-8,4000.0,0.8060093216887642,0.36999359332924003,0.692,0.20172510315370398,0.7659395606795056,0.10864745011086474,0.7192730541407483,0.7551020408163265,-2.233595800524937,4000.0,464976.0,15.0,712.1333333333333,21.570040951900538,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.330148946493865E-8,5000.0,0.7922279538197003,0.3881087239167336,0.696,0.2109429750564538,0.8060093216887642,0.12994350282485875,0.6996156435048452,0.7043478260869566,-2.06451612903226,5000.0,464976.0,15.0,934.1333333333333,24.17751808917493,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.6875,8.269911631941797E-8,6000.0,0.7877179162242696,0.375980696859312,0.692,0.16809369209743003,0.7922279538197003,0.10741971207087486,0.6773920050690516,0.6597938144329897,-2.1163575042158524,6000.0,464976.0,15.0,1130.5333333333333,29.391122728437853,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.209674317389728E-8,7000.0,0.8130337370523103,0.4159236094044645,0.729,0.2410664276912735,0.7877179162242696,0.11482720178372352,0.7329064654432851,0.7378640776699029,-1.7255747126436785,7000.0,464976.0,15.0,1326.1333333333332,35.026248660655845,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.014943700283766E-7,8000.0,0.7228147717359698,0.3380112857721401,0.704,0.1546480079965727,0.8130337370523103,0.10497237569060773,0.6549429564802525,0.6,-1.9936788874841962,8000.0,464976.0,15.0,1511.2,37.37302312019807,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.1277152225375177E-7,9000.0,0.7647953539823009,0.370075436396781,0.698,0.1709127646490377,0.7228147717359698,0.10619469026548672,0.6789492385915686,0.65625,-2.0642615558060897,9000.0,464976.0,15.0,1691.3333333333333,42.07589514652009,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.03125,1.2404867447912695E-7,10000.0,0.6843799297745662,0.3045932901176621,0.694,0.11133311649086947,0.7647953539823009,0.09409190371991247,0.6158062541326401,0.5348837209302325,-2.1449126413155177,10000.0,464976.0,15.0,1859.2666666666664,42.21622346692704,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
