learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.140625,1.6917765606194734E-8,1000.0,0.9915915667631252,0.9218039428620818,0.967,0.9323187989663234,0.0,0.6949152542372882,0.9696766677694868,0.9853658536585366,0.9195121951219511,1000.0,465032.0,15.0,750.7333333333333,30.323179880995955,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.5715282946411104E-8,2000.0,0.9987997541364875,0.9595665778205156,0.988,0.9751012548967531,0.9915915667631252,0.6778523489932886,0.9879393475456202,0.9876237623762376,0.9705159705159705,2000.0,465032.0,15.0,1522.0666666666668,41.34604259291615,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.390625,4.6993793350540926E-8,3000.0,0.9995901232114467,0.9646609249506791,0.989,0.9772377373483205,0.9987997541364875,0.6891891891891891,0.9888044134162838,0.9877450980392157,0.9729950900163666,3000.0,465032.0,15.0,2291.4666666666667,58.61480391586447,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,5.639255202064911E-8,4000.0,0.9985012427195783,0.9658457071987323,0.989,0.9771494096238377,0.9995901232114467,0.669449081803005,0.9895771964528586,0.9925187032418953,0.9728897104128158,4000.0,465032.0,15.0,3032.4666666666662,56.68190271363576,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.60684876392285E-8,5000.0,0.9925686618179094,0.9036641358576019,0.981,0.9605632399581555,0.9985012427195783,0.669449081803005,0.9816614992778533,0.9850374064837906,0.9530632411067194,5000.0,540848.0,15.0,3785.2000000000003,61.484260471394514,7955.200000000001,1081.4669402515933,4.6,0.828078671210825,2.8,0.4140393356054125,2.8,0.4140393356054125,1.7999999999999998,0.4140393356054125,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.6875,8.718243205092019E-8,6000.0,0.9990943087530677,0.9570487380294136,0.986,0.9708585892226737,0.9925686618179094,0.6611295681063123,0.9866637729023715,0.9899497487437185,0.9653179190751445,6000.0,549896.0,15.0,4538.533333333334,69.16736086857603,8553.6,100.11193735014827,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.83594347619348E-8,7000.0,0.9988448659085317,0.9607013544584122,0.985,0.9688157468004956,0.9990943087530677,0.6638935108153078,0.9858273660880433,0.9899749373433584,0.9627791563275434,7000.0,553016.0,15.0,5293.466666666666,66.07881297215864,8761.6,101.33734327905552,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.0953643747294941E-7,8000.0,0.9983485582122831,0.9628765535775454,0.986,0.9710231318199128,0.9988448659085317,0.6722408026755853,0.9878397566483418,0.9975124378109452,0.9652497672975489,8000.0,553016.0,15.0,6058.866666666667,71.18975314173343,8761.6,101.33734327905552,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.9375,1.2294884072616696E-7,9000.0,0.9976378018596561,0.9470383103154227,0.977,0.9522726518144692,0.9983485582122831,0.6556291390728477,0.979572617289114,0.9924242424242424,0.9428018789720917,9000.0,553016.0,15.0,6826.933333333334,74.31157059172901,8761.6,101.33734327905552,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.015625,1.3412584343718158E-7,10000.0,0.9991902201614627,0.9677014312635045,0.987,0.9733442690178388,0.9976378018596561,0.718213058419244,0.9878077508552285,0.992822966507177,0.9677978697052266,10000.0,553016.0,15.0,7601.733333333334,83.33449522999521,8761.6,101.33734327905552,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
