learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.8795253708958628E-8,1000.0,0.9939188080863849,0.9702086840840035,0.994,0.987995630409469,0.0,0.9723865877712031,0.9938961789867503,0.9878296146044625,0.987603305785124,1000.0,464976.0,15.0,0.5565785416597977,0.4434214583402022,757.4,28.01734156859691,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.3125,3.7590507417917256E-8,2000.0,0.9994989397565248,0.9761493312097594,0.992,0.9839601570300627,0.9939188080863849,1.0964360587002095,0.9917889864547649,0.9961759082217974,0.9832635983263598,2000.0,464976.0,15.0,0.38002619745723754,0.6199738025427625,1504.6000000000001,37.05748430286584,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.40625,4.886765964329243E-8,3000.0,0.9999479831465394,0.9840059079945629,0.996,0.9919962542469876,0.9994989397565248,1.0366598778004072,0.9959183503123127,1.0,0.991701244813278,3000.0,464976.0,15.0,0.3072529386340135,0.6927470613659864,2253.3333333333335,48.85790865453871,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.5,6.014481186866761E-8,4000.0,0.9999559603643279,0.9856915800615765,0.998,0.9959963967570814,0.9999479831465394,0.941747572815534,0.9979981965716793,0.9979381443298969,0.9958289885297185,4000.0,464976.0,15.0,0.520440653684614,0.479559346315386,3015.0666666666666,49.0094257212203,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.481019969822633E-8,5000.0,0.9999759965435022,0.9642425398149844,0.996,0.9919984637050313,0.9999559603643279,1.0242914979757085,0.9959733142255075,0.9980237154150198,0.9917321207110376,5000.0,518296.0,15.0,0.5216251533091426,0.4783748466908574,3791.2,55.84442675863005,6466.666666666667,1288.584309934559,3.6666666666666674,0.9759000729485331,2.333333333333334,0.48795003647426644,2.333333333333334,0.48795003647426644,1.3333333333333337,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.71875,9.042834992417032E-8,6000.0,0.9997233082706767,0.9590972091108676,0.995,0.9899739322237818,0.9999759965435022,0.9047619047619048,0.994936554191858,0.9936842105263158,0.9895869489760499,6000.0,551968.0,15.0,0.3965692274684247,0.6034307725315752,4566.0,67.86751800382861,8691.733333333334,1766.1007683055698,5.4,1.3522468075656264,3.2,0.6761234037828132,3.2,0.6761234037828132,2.2,0.6761234037828132,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.8125,1.0396046693333323E-7,7000.0,0.9989304555778544,0.9778792281780946,0.998,0.995994825314306,0.9997233082706767,0.9267822736030829,0.9980713578962147,1.0,0.9958358120166567,7000.0,557952.0,15.0,0.6097899560805486,0.3902100439194514,5324.866666666667,74.94652061557595,9087.466666666665,1676.9508837967398,5.666666666666667,1.4474937289114918,3.3333333333333335,0.7237468644557459,3.3333333333333335,0.7237468644557459,2.3333333333333335,0.7237468644557459,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.890625,1.1538436713938914E-7,8000.0,0.9998198587692751,0.9792062862546873,0.996,0.9919937230788939,0.9989304555778544,1.0576131687242798,0.9959968552323527,0.9961089494163424,0.9917568263781555,8000.0,565232.0,15.0,0.4150180750925348,0.5849819249074653,6083.666666666667,82.39163156765947,9570.133333333335,2087.2608799458635,5.800000000000001,1.4735767952260144,3.4000000000000004,0.7367883976130072,3.4000000000000004,0.7367883976130072,2.4000000000000004,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.984375,1.2910003230596584E-7,9000.0,0.9998079930877511,0.9824647499934029,0.997,0.993999855996544,0.9998198587692751,1.012072434607646,0.9970054085672001,0.9960238568588469,0.9938398357289527,9000.0,565520.0,15.0,0.5546373330007341,0.44536266699926585,6874.533333333333,88.56544526641362,9589.333333333334,2078.136894523783,5.800000000000001,1.4735767952260144,3.4000000000000004,0.7367883976130072,3.4000000000000004,0.7367883976130072,2.4000000000000004,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.078125,1.428296673111618E-7,10000.0,0.999947824481556,0.9862262684829547,0.998,0.9959874326390254,0.9998079930877511,1.1231422505307855,0.998107850717304,0.996219281663516,0.9958796868562011,10000.0,566096.0,15.0,0.4288461924041048,0.5711538075958952,7650.066666666667,98.50051969889486,9627.733333333335,2111.280974285742,5.800000000000001,1.4735767952260144,3.4000000000000004,0.7367883976130072,3.4000000000000004,0.7367883976130072,2.4000000000000004,0.7367883976130072,0.0,0.0,0.0,0.0,1.0,0.0
