learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.067833621468809E-8,1000.0,0.8712765338761268,0.2873537860203734,0.905,0.3600969958237908,0.0,0.10497237569060773,0.5785343103401627,0.3473684210526316,0.0,1000.0,465056.0,15.0,0.9384542756397114,0.06154572436028863,1224.3333333333333,35.48977049128113,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9584507855276264E-8,2000.0,0.8911026678610776,0.32758617335223283,0.889,0.4353558784031254,0.8712765338761268,0.122334455667789,0.6872460764201394,0.5045871559633027,-0.08823529411764716,2000.0,467720.0,15.0,0.723764075642721,0.276235924357279,2491.666666666667,55.51404798615866,3120.0,681.6450689325054,1.1333333333333335,0.5163977794943222,1.0666666666666667,0.2581988897471611,1.0666666666666667,0.2581988897471611,0.06666666666666668,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.375,4.570863287275036E-8,3000.0,0.8877379831368857,0.3151993217736494,0.893,0.4029817435164932,0.8911026678610776,0.11482720178372352,0.6493902848796643,0.44660194174757284,-0.045602605863191474,3000.0,505016.0,15.0,0.8572057141321037,0.1427942858678964,3703.866666666667,73.63313177665397,5584.0,0.0,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.46875,5.895398013914625E-8,4000.0,0.9103378558127162,0.33521328322692173,0.898,0.40200504191827374,0.8877379831368857,0.11731843575418995,0.6254766737723797,0.4095238095238095,0.009708737864077681,4000.0,546128.0,15.0,0.867210156535312,0.13278984346468786,4939.6,74.27343305074056,8300.8,131.8284599665142,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.5,6.339237895897694E-8,5000.0,0.9284319196428571,0.41602952886977784,0.893,0.5110583074392252,0.9103378558127162,0.11607142857142858,0.7913970164445673,0.6826923076923077,-0.03682170542635685,5000.0,549008.0,15.0,0.9707834904269396,0.029216509573060327,6149.733333333334,77.75553877071269,8492.800000000001,74.36128024718235,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.5625,7.232156349346042E-8,6000.0,0.9292841998525073,0.4095954945702157,0.891,0.48077436073320384,0.9284319196428571,0.10619469026548672,0.780949425955167,0.6666666666666666,-0.06862745098039223,6000.0,552248.0,15.0,0.8949668325174996,0.10503316748250031,7335.533333333333,89.99513214348747,8707.199999999999,756.0063491796877,5.133333333333333,0.5163977794943222,3.0666666666666664,0.2581988897471611,3.0666666666666664,0.2581988897471611,2.0666666666666664,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.671875,8.876707094411055E-8,7000.0,0.9169676963959476,0.36438293529128446,0.904,0.5057660626029654,0.9292841998525073,0.1210762331838565,0.7306079605560716,0.5648148148148148,0.06666666666666703,7000.0,581208.0,15.0,0.8913447597641517,0.1086552402358483,8582.999999999998,93.86464418816814,10621.866666666665,1320.4275209549512,6.466666666666667,0.9154754164341268,3.7333333333333334,0.4577377082170634,3.7333333333333334,0.4577377082170634,2.7333333333333334,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.765625,1.0341405868530274E-7,8000.0,0.9235555555555556,0.37536870453847404,0.909,0.505434782608696,0.9169676963959476,0.1111111111111111,0.7345747068882783,0.57,0.11219512195122011,8000.0,603920.0,15.0,0.8448304750115613,0.15516952498843867,9831.333333333334,104.81321254407543,12122.666666666666,1653.2583700363468,7.666666666666666,1.234426799696735,4.333333333333333,0.6172133998483675,4.333333333333333,0.6172133998483675,3.3333333333333335,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.828125,1.136470948242479E-7,9000.0,0.9102792632204397,0.3633840997757464,0.883,0.4198040226921092,0.9235555555555556,0.10987791342952276,0.7145235056858384,0.5555555555555556,-0.14581066376496138,9000.0,632888.0,15.0,0.810099488670113,0.18990051132988683,11081.000000000002,116.02832166575293,14038.4,811.1181700062486,8.866666666666667,0.5163977794943222,4.933333333333334,0.2581988897471611,4.933333333333334,0.2581988897471611,3.9333333333333336,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.90625,1.2655771570280196E-7,10000.0,0.936411149825784,0.4166905348668598,0.913,0.5581333929260712,0.9102792632204397,0.10864745011086474,0.800767200795103,0.6836734693877551,0.14454277286135736,10000.0,638792.0,15.0,0.8426753665561363,0.15732463344386372,12298.199999999997,124.35731927451174,14428.799999999997,727.6093143203392,9.133333333333333,0.5163977794943223,5.066666666666666,0.25819888974716115,5.066666666666666,0.25819888974716115,4.066666666666666,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
