learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.234375,3.1508776980141795E-8,1000.0,0.856925939879668,0.4367049141664107,0.617,0.18680889372038106,0.0,0.10741971207087486,0.7324571491609986,0.9175257731958762,-2.9484536082474238,1000.0,519664.0,15.0,2609.933333333333,51.99789373023634,6556.8,1961.3961208427895,3.9333333333333336,1.2798809468443688,2.466666666666667,0.6399404734221844,2.466666666666667,0.6399404734221844,1.4666666666666668,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,6.197896760164034E-8,2000.0,0.9054240713444762,0.4168789656772636,0.565,0.19326122757822572,0.856925939879668,0.1402508551881414,0.7035877607878503,0.975609756097561,-2.9545454545454555,2000.0,579848.0,15.0,5325.933333333333,76.13659404242452,10535.999999999998,3106.521803285101,6.866666666666666,2.4455985731416305,3.933333333333333,1.2227992865708153,3.933333333333333,1.2227992865708153,2.5333333333333337,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.609375,9.172266193976003E-8,3000.0,0.9392906235455835,0.5619598701436106,0.762,0.3522082079030599,0.9054240713444762,0.11482720178372352,0.8428679257321068,0.9611650485436893,-1.2105263157894732,3000.0,668936.0,15.0,7637.799999999999,93.64385419541105,16426.13333333333,2881.865216107361,10.600000000000003,2.028370211348439,5.800000000000002,1.0141851056742195,5.800000000000002,1.0141851056742195,3.8,0.560611910581388,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.75,1.1834917434801657E-7,4000.0,0.9604204779742719,0.6130777280630869,0.792,0.42681723736931176,0.9392906235455835,0.13250283125707815,0.8681004310302295,0.9829059829059829,-0.8909090909090908,4000.0,731904.0,15.0,10148.466666666665,114.87003007540198,20586.133333333335,3390.6270357027015,13.933333333333334,2.491891612715891,7.466666666666667,1.2459458063579456,7.466666666666667,1.2459458063579456,4.466666666666666,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.890625,1.474099311356743E-7,5000.0,0.9471595473860479,0.6058085102756451,0.767,0.3826833403984738,0.9604204779742719,0.13250283125707815,0.8426677605732679,0.9572649572649573,-1.0915619389587061,5000.0,798816.0,15.0,12636.266666666666,131.63828506645817,25010.13333333333,4458.566551621507,16.999999999999996,3.2950178841916564,8.999999999999998,1.6475089420958282,8.999999999999998,1.6475089420958282,5.333333333333333,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.015625,1.7482211761590506E-7,6000.0,0.9561648472539561,0.6023987789563601,0.751,0.31013464841801947,0.9471595473860479,0.1001100110011001,0.8314907275434233,0.945054945054945,-1.3055555555555558,6000.0,847688.0,15.0,14999.066666666668,137.20863501911796,28242.133333333335,3790.337751001441,19.0,2.6186146828319083,10.0,1.3093073414159542,10.0,1.3093073414159542,5.866666666666666,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.1875,2.1580422374730308E-7,7000.0,0.9634300832968979,0.6540846018066684,0.82,0.43670787044281006,0.9561648472539561,0.10987791342952276,0.8866965587734427,0.9797979797979798,-0.6867469879518069,7000.0,921688.0,15.0,17771.933333333338,146.16109833559204,33136.53333333333,4995.243878883573,22.333333333333336,3.9036002917941324,11.666666666666668,1.9518001458970662,11.666666666666668,1.9518001458970662,6.866666666666666,0.8338093878327917,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.328125,2.520993196715911E-7,8000.0,0.9628627643876045,0.6775081759345425,0.844,0.487324425047488,0.9634300832968979,0.11982082866741321,0.8862116920035639,0.9439252336448598,-0.46135831381733033,8000.0,997672.0,15.0,20528.4,139.59523119157228,38156.26666666666,5102.981417992913,26.600000000000005,4.2895221179054435,13.800000000000002,2.1447610589527217,13.800000000000002,2.1447610589527217,7.266666666666667,0.79880863671798,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.484375,2.954585296619269E-7,9000.0,0.9686031543364276,0.7014427845318864,0.852,0.5110896754031858,0.9628627643876045,0.11982082866741321,0.9022976999232974,0.9719626168224299,-0.3860561914672222,9000.0,1072664.0,15.0,22764.266666666666,152.73154163277417,43114.66666666667,6914.16941263856,29.666666666666668,5.219012860502955,15.333333333333334,2.6095064302514777,15.333333333333334,2.6095064302514777,7.866666666666665,1.245945806357946,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.65625,3.4666668701296047E-7,10000.0,0.9507183719813093,0.6823917301332162,0.848,0.48687479745057777,0.9686031543364276,0.11358574610244988,0.891800232875126,0.9509803921568627,-0.4299153339604901,10000.0,1151672.0,15.0,25387.066666666666,152.07867638010208,48341.333333333336,7573.917750757404,32.86666666666667,5.370111287310091,16.933333333333334,2.6850556436550455,16.933333333333334,2.6850556436550455,8.666666666666668,1.3451854182690985,0.0,0.0,0.0,0.0,1.0,0.0
