learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,4.555719594160716E-9,1000.0,0.8973384853503047,0.19895714604565876,0.907,0.16170903190914063,0.0,0.11482720178372352,0.3115884764248779,0.0970873786407767,0.09708737864077681,1000.0,140880.0,15.0,998.6666666666667,34.21709402929367,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,7.403044340511163E-9,2000.0,0.9468582069699388,0.29862618897550663,0.915,0.3229249641548512,0.8973384853503047,0.11731843575418995,0.4672401750902946,0.21904761904761905,0.18269230769230788,2000.0,140880.0,15.0,1990.5333333333333,46.83079979590154,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.265625,9.68090413759152E-9,3000.0,0.9503825589970502,0.28283855754057713,0.924,0.3320208128252007,0.9468582069699388,0.10619469026548672,0.467448414171558,0.21875,0.25000000000000083,3000.0,140880.0,15.0,2989.4,61.491927460904456,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.359375,1.4123312818507353E-8,4000.0,0.9454412774725275,0.27197741260816793,0.913,0.2692023385525172,0.9503825589970502,0.11607142857142858,0.41579292546667007,0.17307692307692307,0.14705882352941194,4000.0,183168.0,15.0,3983.5333333333333,60.407978028765406,5739.200000000001,146.97871566027123,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.40625,1.6824633348733188E-8,5000.0,0.9476652992277992,0.2894049635737755,0.908,0.3039583585522334,0.9454412774725275,0.12612612612612611,0.4523973571163615,0.20535714285714285,0.1153846153846155,5000.0,222760.0,15.0,4983.866666666667,63.40331972681683,8356.266666666668,699.7329558651713,4.866666666666667,0.5163977794943222,2.9333333333333336,0.2581988897471611,2.9333333333333336,0.2581988897471611,1.9333333333333331,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.4375,1.8660891025016707E-8,6000.0,0.9719647614011633,0.37435239338424575,0.929,0.5222201286641007,0.9476652992277992,0.1273957158962796,0.6232997345487206,0.3893805309734513,0.3270142180094794,6000.0,227136.0,15.0,5980.666666666666,79.45948353601044,8646.4,184.302856345589,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.484375,2.1415277539441984E-8,7000.0,0.9446184091853383,0.3536170968390227,0.926,0.5088864996880768,0.9719647614011633,0.12485939257592801,0.6271165481222037,0.3963963963963964,0.30376344086021567,7000.0,227136.0,15.0,6977.400000000001,79.67684732718784,8646.4,184.302856345589,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.5,2.2333406377583742E-8,8000.0,0.9606496137773838,0.35176160364990355,0.926,0.4492736365801382,0.9446184091853383,0.1185682326621924,0.5657182557663741,0.32075471698113206,0.303529411764706,8000.0,227136.0,15.0,7989.533333333332,90.70979366455789,8646.4,184.302856345589,5.0,0.0,3.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.515625,2.3287332927187283E-8,9000.0,0.9577630234933606,0.3610070862054287,0.928,0.5167785234899336,0.9606496137773838,0.12359550561797752,0.6303200542474569,0.4,0.32500000000000057,9000.0,235992.0,15.0,8997.666666666668,93.18466049935985,9231.999999999998,1102.0604079891193,5.3999999999999995,0.8280786712108251,3.1999999999999997,0.41403933560541256,3.1999999999999997,0.41403933560541256,2.1999999999999997,0.41403933560541256,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.578125,2.7700637777646382E-8,10000.0,0.9370690480750814,0.33366813400113515,0.939,0.49402786994027825,0.9577630234933606,0.1013215859030837,0.5982520987383961,0.358695652173913,0.4201520912547521,10000.0,272952.0,15.0,10008.4,100.59238823802008,11675.2,1574.9316175631245,7.133333333333333,1.1872336794093272,4.066666666666666,0.5936168397046636,4.066666666666666,0.5936168397046636,2.8666666666666663,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,0.65625,3.37674929242995E-8,11000.0,0.9688698305364285,0.3677766344069004,0.948,0.5206047755139663,0.9370690480750814,0.08577633007600434,0.6250606424764282,0.3924050632911392,0.4942528735632179,11000.0,300176.0,15.0,11014.466666666669,95.4641792706012,13474.133333333331,1326.7652320408383,8.466666666666667,0.9154754164341269,4.733333333333333,0.45773770821706344,4.733333333333333,0.45773770821706344,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,0.71875,3.868215976075994E-8,12000.0,0.9482163815485294,0.32491023802141217,0.929,0.41164771785607784,0.9688698305364285,0.10253583241455347,0.5468853546991869,0.3010752688172043,0.3039215686274513,12000.0,303960.0,15.0,12011.333333333334,75.81148298497351,13724.799999999997,1247.314097227662,8.6,0.8280786712108251,4.8,0.41403933560541256,4.8,0.41403933560541256,3.066666666666667,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,0.78125,4.3792533688247205E-8,13000.0,0.9560592630112701,0.35441542021989014,0.931,0.5122296055422029,0.9482163815485294,0.1185682326621924,0.6205335106412153,0.3867924528301887,0.32556390977443667,13000.0,316064.0,15.0,13006.666666666666,69.80755860288505,14525.333333333334,861.1257305466627,9.133333333333333,0.5163977794943223,5.066666666666666,0.25819888974716115,5.066666666666666,0.25819888974716115,3.3333333333333335,0.48795003647426644,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,0.8125,4.647163829455773E-8,14000.0,0.9591284215243288,0.33865703884650494,0.911,0.4182854453711215,0.9560592630112701,0.13895216400911162,0.5494515527780575,0.30327868852459017,0.14187327823691528,14000.0,331392.0,15.0,13999.133333333333,80.35445286502846,15539.200000000003,1459.9531890734422,9.8,1.0141851056742202,5.4,0.5070925528371101,5.4,0.5070925528371101,3.6666666666666665,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,0.859375,5.077124418069919E-8,15000.0,0.9592668263585553,0.36933244782173363,0.94,0.5374938332511094,0.9591284215243288,0.10375275938189846,0.6423425232289162,0.4148936170212766,0.4178525226390679,15000.0,354560.0,15.0,14986.666666666666,91.40073981153128,17069.333333333332,2561.591767037125,11.0,1.8516401995451028,6.0,0.9258200997725514,6.0,0.9258200997725514,3.9333333333333336,0.2581988897471611,0.0,0.0,0.0,0.0,1.0,0.0
16000.0,0.90625,5.512022956584891E-8,16000.0,0.9573102953384643,0.36060032610299725,0.951,0.5645683005722816,0.9592668263585553,0.08342361863488625,0.6716384425991939,0.45454545454545453,0.5169439309919895,16000.0,358632.0,15.0,15983.066666666668,71.06482620684808,17339.199999999997,2534.9142335449083,11.133333333333335,1.7674302033770735,6.066666666666667,0.8837151016885367,6.066666666666667,0.8837151016885367,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
17000.0,0.953125,5.9472610397885244E-8,17000.0,0.9708356379056047,0.40329684663806725,0.943,0.5941327257191683,0.9573102953384643,0.10619469026548672,0.6965994096057839,0.4895833333333333,0.43630017452006936,17000.0,358912.0,15.0,16985.866666666665,73.49622601260072,17357.86666666667,2533.394726073148,11.133333333333335,1.7674302033770735,6.066666666666667,0.8837151016885367,6.066666666666667,0.8837151016885367,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
18000.0,1.0,6.400436783830324E-8,18000.0,0.968268156424581,0.40460010076803193,0.941,0.6088051982495686,0.9708356379056047,0.11731843575418995,0.701368707111111,0.49523809523809526,0.4177631578947366,18000.0,373704.0,15.0,17975.0,91.81347551266258,18336.0,2433.1031332729935,11.8,1.65615734242165,6.4,0.828078671210825,6.4,0.828078671210825,4.133333333333333,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
19000.0,1.046875,6.857871388395626E-8,19000.0,0.9666555425774515,0.4075856141367709,0.952,0.5831017231795439,0.968268156424581,0.08459869848156182,0.6861177380563447,0.47435897435897434,0.5205047318611982,19000.0,377216.0,15.0,18973.933333333334,90.60626489429536,18568.533333333336,2466.8137304937272,11.933333333333334,1.667618775665584,6.466666666666667,0.833809387832792,6.466666666666667,0.833809387832792,4.133333333333333,0.35186577527449847,0.0,0.0,0.0,0.0,1.0,0.0
20000.0,1.109375,7.476864589585198E-8,20000.0,0.9555613205734271,0.391142782211493,0.927,0.5523559567318308,0.9666555425774515,0.13378684807256236,0.6611962809380317,0.4406779661016949,0.27722772277227753,20000.0,382832.0,15.0,19965.133333333335,89.14904587797005,18939.733333333334,2362.282415276338,12.2,1.6561573424216502,6.6,0.8280786712108251,6.6,0.8280786712108251,4.266666666666667,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
21000.0,1.15625,7.962248572665783E-8,21000.0,0.9589189593301436,0.40185601070431004,0.954,0.6346422671241575,0.9555613205734271,0.09649122807017543,0.7063310192621657,0.5,0.5417457305502841,21000.0,400264.0,15.0,20965.4,92.76683520680109,20092.266666666666,2639.121700941613,13.000000000000002,1.8516401995451026,7.000000000000001,0.9258200997725513,7.000000000000001,0.9258200997725513,4.533333333333332,0.5163977794943225,0.0,0.0,0.0,0.0,1.0,0.0
22000.0,1.21875,8.636228610864944E-8,22000.0,0.9675977653631285,0.4434704459236874,0.946,0.643822966822769,0.9589189593301436,0.11731843575418995,0.7221277419254988,0.5238095238095238,0.4631721644826022,22000.0,416840.0,15.0,21961.266666666663,90.61966568865554,21187.733333333337,2824.943374063747,13.8,1.9712215212183244,7.4,0.9856107606091622,7.4,0.9856107606091622,4.666666666666666,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
23000.0,1.265625,9.157555824559596E-8,23000.0,0.9668516302179668,0.4041660245373405,0.945,0.5669018520851703,0.9675977653631285,0.1001100110011001,0.6615332041556475,0.43956043956043955,0.45095486111111044,23000.0,429904.0,15.0,22979.600000000002,100.83706801426928,22050.666666666664,2886.686945931187,14.466666666666667,2.065591117977289,7.733333333333333,1.0327955589886444,7.733333333333333,1.0327955589886444,4.8,0.4140393356054124,0.0,0.0,0.0,0.0,1.0,0.0
