learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,3.6229062566740646E-8,1000.0,0.7437662205485726,0.17192892747864524,0.495,0.08266546535200214,0.0,0.09409190371991247,0.6188562468760344,0.8255813953488372,-4.872093023255816,1000.0,814792.0,15.0,2621.3333333333335,52.369111215713936,4821.333333333333,2945.427707643217,2.333333333333333,2.0930724738891344,1.6666666666666665,1.0465362369445672,1.6666666666666665,1.0465362369445672,0.6000000000000001,0.9102589898327995,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.40625,9.564647269952629E-8,2000.0,0.7669917190823115,0.22470938288326858,0.596,0.13645690834473304,0.7437662205485726,0.10864745011086474,0.6723768231687457,0.7857142857142857,-3.3913043478260887,2000.0,979952.0,15.0,6057.733333333333,69.0273927682406,15740.800000000001,4596.98862921618,9.93333333333333,3.283436063174123,5.466666666666665,1.6417180315870614,5.466666666666665,1.6417180315870614,3.599999999999999,0.828078671210825,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.5625,1.39363336428586E-7,3000.0,0.8547309964632799,0.23874106663406996,0.482,0.1118670338073472,0.7669917190823115,0.12485939257592801,0.6221846775199021,0.9009009009009009,-4.267796610169489,3000.0,1081512.0,15.0,8928.533333333333,91.78769499437762,22454.93333333333,7668.020935460901,14.733333333333333,5.700459463520295,7.866666666666666,2.8502297317601477,7.866666666666666,2.8502297317601477,4.6,0.9102589898327995,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.75,1.9528149601279037E-7,4000.0,0.8701870187018702,0.2704398019632197,0.604,0.16280131753085567,0.8547309964632799,0.1001100110011001,0.7156335884539742,0.8901098901098901,-3.1036269430051804,4000.0,1152800.0,15.0,11850.066666666666,101.2080365715422,27165.86666666667,7823.519977484255,18.733333333333338,6.54071497475256,9.866666666666669,3.27035748737628,9.866666666666669,3.27035748737628,5.533333333333333,0.990430401872025,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.890625,2.4154436283020513E-7,5000.0,0.8974555555555556,0.29066579410933857,0.678,0.24199623352165747,0.8701870187018702,0.1111111111111111,0.7739652590538042,0.92,-2.3127572016460918,5000.0,1271664.0,15.0,14803.866666666665,112.32851480410142,35024.0,8901.48700258237,24.066666666666666,7.16605755994054,12.533333333333333,3.58302877997027,12.533333333333333,3.58302877997027,6.200000000000001,0.7745966692414836,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.03125,2.926329357756509E-7,6000.0,0.9221745943952803,0.3849262088721805,0.738,0.3023899799769946,0.8974555555555556,0.10619469026548672,0.8197641577528766,0.9375,-1.7010309278350524,6000.0,1404312.0,15.0,17469.533333333333,142.44240272909644,43793.6,11038.390855813826,29.933333333333334,8.030892733391356,15.466666666666667,4.015446366695678,15.466666666666667,4.015446366695678,6.933333333333333,0.9611501047232547,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.21875,3.659035751803054E-7,7000.0,0.871789873154502,0.34991955340854747,0.733,0.24661399548532714,0.9221745943952803,0.09170305676855896,0.7815752338206827,0.8452380952380952,-1.806306306306305,7000.0,1510536.0,15.0,20314.466666666664,169.35333590145922,50814.93333333334,10328.661201216923,35.4,7.375635565834309,18.2,3.6878177829171546,18.2,3.6878177829171546,7.4,1.0555973258234952,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.40625,4.459146617187394E-7,8000.0,0.894,0.35316431815612004,0.73,0.27730192719486063,0.871789873154502,0.1111111111111111,0.7844601824042937,0.86,-1.8198433420365536,8000.0,1649496.0,15.0,23601.666666666664,178.98869344445333,60003.200000000004,12522.423425884577,41.266666666666666,9.192129138302947,21.133333333333333,4.596064569151474,21.133333333333333,4.596064569151474,7.533333333333333,0.9904304018720249,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.5625,5.166712475733625E-7,9000.0,0.9044368249261215,0.37640041071717556,0.749,0.3190893701983592,0.894,0.122334455667789,0.7998316321143092,0.8715596330275229,-1.581714285714286,9000.0,1750448.0,15.0,26812.133333333328,178.63604926004814,66677.86666666665,13153.137061263405,46.066666666666656,9.192129138302947,23.533333333333328,4.596064569151474,23.533333333333328,4.596064569151474,7.866666666666667,1.1254628677422758,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.703125,5.839313639120924E-7,10000.0,0.8977352001965119,0.3725590729571964,0.775,0.3610858700590642,0.9044368249261215,0.12994350282485875,0.8109057683048058,0.8608695652173913,-1.272727272727273,10000.0,1848832.0,15.0,29921.199999999997,197.46941897056226,73182.4,11215.064644103866,50.86666666666666,8.016649341630618,25.93333333333333,4.008324670815309,25.93333333333333,4.008324670815309,8.0,1.0690449676496976,0.0,0.0,0.0,0.0,1.0,0.0
