learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.125,1.503878997431861E-8,1000.0,0.7985858585858586,0.44908036638789867,0.996,0.7481108312342586,0.0,0.010101010101010102,0.7745966692414834,0.6,0.6,1000.0,465056.0,15.0,0.9997751956081674,2.24804391832492E-4,1018.5333333333333,33.88397570421463,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.203125,2.443803370826774E-8,2000.0,1.0,0.7955700319181622,0.998,0.856156501726121,0.7985858585858586,0.006036217303822937,0.9989934572185107,1.0,0.75,2000.0,465056.0,15.0,0.999783300121505,2.1669987849495603E-4,2018.9333333333334,45.814013244026235,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.28125,3.383727744221687E-8,3000.0,0.9926463829396084,0.6981658693290593,0.997,0.8556304138594795,1.0,0.011122345803842264,0.9040766207919129,0.8181818181818182,0.6666666666666666,3000.0,465056.0,15.0,0.9957608841724584,0.004239115827541498,3033.4666666666667,59.90571957747635,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.359375,4.4044475847234326E-8,4000.0,0.7591713422529133,0.30727246084592225,0.994,0.4970662196144168,0.9926463829396084,0.007049345417925478,0.6539940698647146,0.42857142857142855,0.29411764705881893,4000.0,505032.0,15.0,0.9961847957552304,0.0038152042447694634,4038.6,58.83730594978471,5585.066666666668,2.8149262021959647,3.0,0.0,2.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.40625,5.023340539385875E-8,5000.0,0.9786605937921727,0.5288330779545831,0.994,0.6639784946236574,0.7591713422529133,0.012145748987854251,0.7071067811865476,0.5,0.3478260869565202,5000.0,510360.0,15.0,0.9999999912200154,8.77998464204311E-9,5046.4,61.57898528371018,5937.066666666667,931.7405729268719,3.266666666666667,0.7037315505489968,2.1333333333333337,0.3518657752744984,2.1333333333333337,0.3518657752744984,1.1333333333333335,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.453125,5.650091528271635E-8,6000.0,0.9917428087986464,0.6279135859175907,0.995,0.8123123123123129,0.9786605937921727,0.015228426395939087,0.8559140333510776,0.7333333333333333,0.5081967213114745,6000.0,516840.0,15.0,0.9991620328883524,8.379671116476072E-4,6056.0666666666675,77.52554110620287,6365.866666666667,1350.6450240356944,3.533333333333333,0.9154754164341268,2.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.515625,6.485759513452648E-8,7000.0,0.9930485480435026,0.6291928592856465,0.995,0.703369719981017,0.9917428087986464,0.009081735620585268,0.8156722530235448,0.6666666666666666,0.5,7000.0,516840.0,15.0,0.8649704250384083,0.13502957496159182,7070.7333333333345,78.04437077409104,6365.866666666667,1350.6450240356944,3.533333333333333,0.9154754164341268,2.2666666666666666,0.4577377082170634,2.2666666666666666,0.4577377082170634,1.2666666666666666,0.4577377082170634,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.546875,6.934152528022726E-8,8000.0,0.918976814516129,0.36220080658735,0.992,0.0,0.9930485480435026,0.008064516129032258,0.0,0.0,0.17948717948718182,8000.0,554640.0,15.0,0.9651321558197525,0.03486784418024734,8095.666666666666,89.25618559330582,8865.066666666664,940.8220923871893,5.2666666666666675,0.703731550548997,3.1333333333333337,0.3518657752744985,3.1333333333333337,0.3518657752744985,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.625,8.059953365267978E-8,9000.0,0.9997979797979798,0.6923297304629865,0.997,0.8220640569395015,0.918976814516129,0.010101010101010102,0.8366600265340756,0.7,0.6931818181818178,9000.0,557024.0,15.0,0.9999963564351709,3.6435648290068084E-6,9108.599999999999,91.66382679583673,9022.399999999998,1111.0878067397343,5.4,0.828078671210825,3.2,0.4140393356054125,3.2,0.4140393356054125,2.066666666666667,0.25819888974716115,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.65625,8.516741218045352E-8,10000.0,0.9947303509362037,0.5546905640067533,0.995,0.664249261348375,0.9997979797979798,0.009081735620585268,0.7449798350232857,0.5555555555555556,0.4845360824742286,10000.0,565024.0,15.0,0.9999044994943261,9.550050567391507E-5,10135.533333333333,99.13833528867382,9550.93333333333,2017.069708642666,5.800000000000001,1.4735767952260144,3.4000000000000004,0.7367883976130072,3.4000000000000004,0.7367883976130072,2.1333333333333337,0.3518657752744984,0.0,0.0,0.0,0.0,1.0,0.0
