learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.234375,3.3279745063434045E-8,1000.0,0.6515151515151515,0.19957204060413763,0.905,0.002729372244383028,0.0,0.010101010101010102,0.3021806269652827,0.1,-8.49999999999999,1000.0,548872.0,15.0,4998.0,51.16639522186417,8490.666666666664,2207.0591508244847,4.866666666666667,1.5976172734359606,2.9333333333333336,0.7988086367179803,2.9333333333333336,0.7988086367179803,1.8666666666666665,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.4375,6.625965599798494E-8,2000.0,0.8732394366197183,0.4178314324097426,0.87,0.04703260614590648,0.6515151515151515,0.006036217303822937,0.7621143239633236,0.6666666666666666,-15.249999999999986,2000.0,627608.0,15.0,8580.8,57.3488074356016,13690.133333333335,1970.1555365237632,9.000000000000002,1.5118578920369088,5.000000000000001,0.7559289460184544,5.000000000000001,0.7559289460184544,2.8666666666666667,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.609375,9.698369669624501E-8,3000.0,0.8630388822502069,0.3994439302233753,0.953,0.18887201435869191,0.8732394366197183,0.011122345803842264,0.7226967909948901,0.5454545454545454,-4.222222222222222,3000.0,690984.0,15.0,12230.4,79.03778481569073,17877.86666666666,2714.324274412818,13.0,1.3093073414159542,7.0,0.6546536707079771,7.0,0.6546536707079771,3.4,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.78125,1.3147616603722175E-7,4000.0,0.9142569414472738,0.45546881694172503,0.931,0.09234411996842973,0.8630388822502069,0.007049345417925478,0.7303755367529058,0.5714285714285714,-7.117647058823569,4000.0,775736.0,15.0,15253.666666666668,102.87833776336201,23482.666666666668,3180.0731947251656,16.066666666666666,2.491891612715892,8.533333333333333,1.245945806357946,8.533333333333333,1.245945806357946,4.066666666666667,0.45773770821706367,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.953125,1.682345302672022E-7,5000.0,0.9617914979757085,0.5675966714982354,0.952,0.2798847815650503,0.9142569414472738,0.012145748987854251,0.8913665985190748,0.8333333333333334,-4.217391304347839,5000.0,826696.0,15.0,18088.0,121.63822237626272,26851.733333333334,3900.8639238482738,18.6,2.529822128134703,9.8,1.2649110640673515,9.8,1.2649110640673515,4.533333333333332,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,1.140625,2.125713055849903E-7,6000.0,0.9246700507614213,0.5036635982936374,0.95,0.24710134015961477,0.9617914979757085,0.015228426395939087,0.7570983882846054,0.6,-3.918032786885255,6000.0,914040.0,15.0,20927.200000000004,124.73468987071185,32623.466666666664,3978.4257810392915,23.13333333333333,2.5597618936887385,12.066666666666665,1.2798809468443693,12.066666666666665,1.2798809468443693,5.199999999999999,0.4140393356054126,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.28125,2.478204098426633E-7,7000.0,0.939623276152035,0.5740929774199368,0.945,0.1661107404936619,0.9246700507614213,0.009081735620585268,0.7947862394999591,0.6666666666666666,-4.5,7000.0,968920.0,15.0,24809.2,126.6785583390383,36247.46666666666,3935.813545719193,26.73333333333333,2.8149262021959878,13.866666666666665,1.4074631010979939,13.866666666666665,1.4074631010979939,5.466666666666668,0.7432233529572063,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.421875,2.860587685265475E-7,8000.0,0.8816154233870968,0.6158321599710207,0.96,0.22021210230817162,0.939623276152035,0.008064516129032258,0.8492762573452307,0.75,-3.102564102564091,8000.0,1051088.0,15.0,28506.86666666667,129.5480422009352,41678.4,4289.882529194209,30.199999999999996,2.704493615131254,15.599999999999998,1.352246807565627,15.599999999999998,1.352246807565627,5.8,0.8618916073713346,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.578125,3.306387225165963E-7,9000.0,0.9894949494949495,0.6996321536871758,0.949,0.26913155631986246,0.8816154233870968,0.010101010101010102,0.9739018679953584,1.0,-4.215909090909097,9000.0,1102864.0,15.0,30932.933333333338,132.15059951578385,45102.4,4144.110533550682,32.06666666666666,2.491891612715893,16.533333333333335,1.2459458063579456,16.533333333333335,1.2459458063579456,5.933333333333333,0.7988086367179803,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.71875,3.7220423109829426E-7,10000.0,0.9720820719811638,0.6606471375682674,0.953,0.24227768104726932,0.9894949494949495,0.009081735620585268,0.9206675067152591,0.8888888888888888,-3.8453608247422513,10000.0,1142544.0,15.0,35141.6,173.05110723218698,47723.73333333334,4145.181151765551,34.333333333333336,3.1773004414499573,17.666666666666668,1.5886502207249786,17.666666666666668,1.5886502207249786,6.066666666666666,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
