learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.21875,5.226136030008396E-8,1000.0,0.5618181818181818,0.14408940772038298,0.692,-0.006667538240292985,0.0,0.010101010101010102,0.37335497772755005,0.2,-29.79999999999998,1000.0,923496.0,15.0,6723.333333333334,77.37078321458362,12004.266666666666,1560.6939604212089,7.666666666666668,1.234426799696735,4.333333333333333,0.6172133998483676,4.333333333333333,0.6172133998483676,2.333333333333334,0.48795003647426644,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.40625,1.0164590397228797E-7,2000.0,0.8102642038812251,0.3933241826889824,0.745,0.03515808272668138,0.5618181818181818,0.013171225937183385,0.6778732323130832,0.6153846153846154,-21.173913043478347,2000.0,1018104.0,15.0,11477.6,97.95100816224408,18258.666666666664,1583.0954608283228,12.333333333333334,1.234426799696735,6.666666666666667,0.6172133998483675,6.666666666666667,0.6172133998483675,3.6666666666666665,0.48795003647426655,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.5,1.2762534121672312E-7,3000.0,0.8431199596774194,0.46058546130106415,0.768,0.034234714266684466,0.8102642038812251,0.008064516129032258,0.7590183600992416,0.75,-21.451612903225865,3000.0,1071176.0,15.0,14232.666666666666,126.33948973565879,21764.8,2817.0076119375835,14.999999999999998,2.0000000000000004,7.999999999999999,1.0000000000000002,7.999999999999999,1.0000000000000002,4.0,0.3779644730092272,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.640625,1.6847082103292146E-7,4000.0,0.9726262626262626,0.7249767939593919,0.914,0.15785350567959197,0.8431199596774194,0.010101010101010102,0.9070431482169262,0.9,-7.390243902439036,4000.0,1122752.0,15.0,17568.8,129.44783836411844,25173.86666666666,1784.2061806972017,17.26666666666667,1.4864467059144129,9.133333333333335,0.7432233529572064,9.133333333333335,0.7432233529572064,4.3999999999999995,0.5070925528371099,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.734375,1.9765924662351607E-7,5000.0,0.9811909581646424,0.6875822184629389,0.964,0.3672665916760406,0.9726262626262626,0.012145748987854251,0.9403157220954954,0.9166666666666666,-2.3962264150943255,5000.0,1203488.0,15.0,20948.8,121.49262176304012,30506.666666666668,3291.567986465388,21.933333333333337,2.711527420547494,11.466666666666669,1.355763710273747,11.466666666666669,1.355763710273747,5.533333333333333,0.5163977794943221,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.828125,2.291953812042872E-7,6000.0,0.7855140710842022,0.40426791819224567,0.962,0.1965833650471482,0.9811909581646424,0.009081735620585268,0.7324582737409765,0.5555555555555556,-2.677419354838723,6000.0,1300288.0,15.0,24862.13333333333,132.3695404467933,36906.666666666664,3371.9497256603554,26.199999999999996,3.189267717114475,13.599999999999998,1.5946338585572375,13.599999999999998,1.5946338585572375,5.666666666666666,0.6172133998483678,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.921875,2.6312229844431083E-7,7000.0,0.9044948984281643,0.47477097668473944,0.945,0.1380931486240837,0.7855140710842022,0.011122345803842264,0.6572860886235197,0.45454545454545453,-4.273972602739718,7000.0,1398864.0,15.0,28276.0,159.52026293143555,43423.99999999999,3499.962448778151,30.73333333333333,2.9146591730832094,15.866666666666665,1.4573295865416047,15.866666666666665,1.4573295865416047,5.866666666666666,0.5163977794943222,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.046875,3.0965557218425805E-7,8000.0,0.9317748626527638,0.5793512636634248,0.953,0.16274761294000323,0.9044948984281643,0.009081735620585268,0.7290059767200185,0.5555555555555556,-3.585365853658549,8000.0,1438984.0,15.0,31327.666666666664,166.1671562298753,46077.866666666654,4682.638051762014,32.46666666666667,3.4198301266639097,16.73333333333333,1.7099150633319553,16.73333333333333,1.7099150633319553,5.933333333333333,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.15625,3.5178921987406084E-7,9000.0,0.9725305527525507,0.6688472232937885,0.947,0.21967020023557163,0.9317748626527638,0.009081735620585268,0.9177400986470235,0.8888888888888888,-4.2417582417582675,9000.0,1489064.0,15.0,35857.06666666666,198.54990976242368,49387.73333333334,5647.394436712341,34.866666666666674,4.033195589934445,17.933333333333337,2.0165977949672227,17.933333333333337,2.0165977949672227,6.333333333333334,0.4879500364742666,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.25,3.889350207625992E-7,10000.0,0.9807070707070707,0.6812408701799397,0.959,0.2933471216821788,0.9725305527525507,0.010101010101010102,0.9293203772845852,0.9,-3.059405940594064,10000.0,1531584.0,15.0,39415.53333333333,180.56493357818826,52196.80000000001,4495.103926972734,37.266666666666666,2.9146591730832094,19.133333333333333,1.4573295865416047,19.133333333333333,1.4573295865416047,6.800000000000001,0.5606119105813882,0.0,0.0,0.0,0.0,1.0,0.0
