learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.15625,1.995908355133401E-8,1000.0,0.7476622068767084,0.27057346018328265,0.989,0.2611499193981785,0.0,0.007049345417925478,0.5329051654918115,0.2857142857142857,-0.5714285714285714,1000.0,493768.0,15.0,0.9999303801390869,6.961986091313085E-5,1280.2,41.55753326929517,4839.466666666667,1763.7038084127173,2.733333333333333,1.4864467059144129,1.866666666666667,0.7432233529572067,1.866666666666667,0.7432233529572067,0.8666666666666667,0.7432233529572064,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.296875,3.970428628640042E-8,2000.0,0.9623232323232324,0.26073515480721626,0.982,-0.008968609865467336,0.7476622068767084,0.010101010101010102,0.0,0.0,-1.1176470588235432,2000.0,542752.0,15.0,0.9864037896842567,0.013596210315743304,2707.933333333334,57.12951034606344,8080.533333333333,1165.5648456966303,4.6,0.828078671210825,2.8,0.4140393356054125,2.8,0.4140393356054125,1.8,0.41403933560541245,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.421875,5.941029586311843E-8,3000.0,0.8511616161616161,0.35486410952789116,0.979,0.21230307576894203,0.9623232323232324,0.010101010101010102,0.5438359824042317,0.3,-1.3333333333333333,3000.0,609384.0,15.0,0.9998003184985218,1.99681501478168E-4,4075.8666666666672,70.32868411625394,12484.266666666666,2207.4758522111265,7.8,1.65615734242165,4.4,0.8280786712108251,4.4,0.8280786712108251,2.7333333333333334,0.7037315505489967,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.484375,6.967657504396306E-8,4000.0,0.8127108636977058,0.4124327941557095,0.972,0.3217054263565883,0.8511616161616161,0.012145748987854251,0.754820317162356,0.5833333333333334,-1.8717948717948636,4000.0,634944.0,15.0,0.9999989709566908,1.0290433092795144E-6,5462.266666666667,69.96169019712242,14175.466666666667,3173.034191582622,8.866666666666669,2.445598573141631,4.9333333333333345,1.2227992865708155,4.9333333333333345,1.2227992865708155,2.9999999999999996,0.8451542547285166,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.546875,8.100262170450555E-8,5000.0,0.8753768844221106,0.17106706181908263,0.987,-0.00619195046440251,0.8127108636977058,0.005025125628140704,0.0,0.0,-0.4772727272727235,5000.0,700488.0,15.0,0.9999999830998072,1.6900192712674454E-8,6692.866666666667,76.9339853071326,18505.066666666662,2992.7147605635982,12.2,2.242447642325552,6.6,1.121223821162776,6.6,1.121223821162776,3.466666666666667,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.625,9.61702446349793E-8,6000.0,0.9129554655870445,0.41602082089577525,0.983,0.4434258774227342,0.8753768844221106,0.012145748987854251,0.7591102114254678,0.5833333333333334,-0.8214285714285786,6000.0,750464.0,15.0,0.9270999983279903,0.07290000167200958,8159.466666666666,90.86085646798196,21809.6,3834.9099598295647,14.73333333333333,2.8149262021959864,7.866666666666665,1.4074631010979934,7.866666666666665,1.4074631010979934,4.133333333333334,0.5163977794943223,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.6875,1.0882536621971263E-7,7000.0,0.9024600776866638,0.25604957489494246,0.971,0.054265588312030474,0.9129554655870445,0.007049345417925478,0.3735615965760988,0.14285714285714285,-2.2222222222222223,7000.0,782688.0,15.0,0.9999999999999994,8.247704027849228E-17,9475.066666666668,81.99343760035832,23941.866666666665,3906.1053651699576,15.799999999999999,2.908116719999879,8.4,1.4540583599999395,8.4,1.4540583599999395,4.333333333333334,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.75,1.2185948435217143E-7,8000.0,0.946914113077255,0.3828364039487851,0.97,0.1571613193234837,0.9024600776866638,0.007049345417925478,0.6460263319553072,0.42857142857142855,-2.4285714285714177,8000.0,806128.0,15.0,0.9999998748923927,1.2510760713943156E-7,10857.666666666666,100.28008395536597,25489.6,3897.952224291255,17.133333333333333,3.0674947122242617,9.066666666666666,1.5337473561121309,9.066666666666666,1.5337473561121309,4.733333333333333,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.828125,1.3882362206156056E-7,9000.0,0.972809667673716,0.5114122727520166,0.976,0.2861816667658083,0.946914113077255,0.007049345417925478,0.8357395845258454,0.7142857142857143,-1.8051948051948132,9000.0,839352.0,15.0,0.9999985884183612,1.411581638623109E-6,12129.466666666665,104.58821749171958,27682.666666666664,3682.1902384831983,19.133333333333336,2.669046557070432,10.066666666666668,1.334523278535216,10.066666666666668,1.334523278535216,4.933333333333334,0.45773770821706344,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,0.90625,1.5668545125259295E-7,10000.0,0.9631313131313132,0.41432807816826234,0.968,0.1878172588832501,0.972809667673716,0.010101010101010102,0.6240953048172607,0.4,-2.6781609195402156,10000.0,883768.0,15.0,0.9745811063016844,0.025418893698315456,13574.933333333332,115.5678320707098,30617.06666666667,3686.7799242053775,21.799999999999997,3.1892677171144737,11.399999999999999,1.5946338585572368,11.399999999999999,1.5946338585572368,5.199999999999999,0.6761234037828133,0.0,0.0,0.0,0.0,1.0,0.0
