learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,size of class 0,size of class 1,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.171875,2.067833621468809E-8,1000.0,0.869839368747358,0.432493073835602,0.821,0.3679289255497957,0.0,0.10375275938189846,0.8056531976107006,0.7872340425531915,-0.9042553191489372,1000.0,465056.0,15.0,0.9422838918862617,0.057716108113738215,171.26666666666662,13.295899833443098,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,3.9476823682586354E-8,2000.0,0.8591356019690045,0.39488357666432816,0.76,0.29532388675854876,0.869839368747358,0.09529025191675794,0.8136932238332315,0.8850574712643678,-1.6519337016574578,2000.0,465056.0,15.0,0.9892640030830796,0.010735996916920358,327.5333333333334,21.86930878346792,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.453125,5.451561365690496E-8,3000.0,0.9032235535912043,0.4105625604012392,0.765,0.3648099295074168,0.8591356019690045,0.1273957158962796,0.8315063796476837,0.9292035398230089,-1.39795918367347,3000.0,465056.0,15.0,0.8832989698765398,0.1167010301234602,527.1999999999999,23.455733383789735,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.53125,6.39148573908541E-8,4000.0,0.8894453811694985,0.39049734830031674,0.738,0.318903799061023,0.9032235535912043,0.1273957158962796,0.8011786570263238,0.8938053097345132,-1.574938574938575,4000.0,465056.0,15.0,0.8468652372054629,0.15313476279453705,725.4666666666666,23.89819678393767,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.609375,7.331410112480324E-8,5000.0,0.891857667468659,0.4006608161388862,0.725,0.292862799954743,0.8894453811694985,0.1185682326621924,0.7947131244884951,0.8962264150943396,-1.6803118908382062,5000.0,465056.0,15.0,0.9754922374766415,0.02450776252335837,911.8666666666668,27.375345181559357,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.671875,8.083349611196254E-8,6000.0,0.91170582226762,0.43372501685714737,0.747,0.3407681484183645,0.891857667468659,0.12359550561797752,0.8264770725065265,0.9454545454545454,-1.4365971107544142,6000.0,465056.0,15.0,0.7513034523275949,0.24869654767240507,1105.5333333333333,30.74983546220016,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,0.765625,9.21125885927015E-8,7000.0,0.9059372848719458,0.41365430384733426,0.741,0.33074243661433195,0.91170582226762,0.1273957158962796,0.8129902816838344,0.9203539823008849,-1.4633152173913055,7000.0,465056.0,15.0,0.9568009648908475,0.04319903510915241,1305.0666666666668,27.159493648411324,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,0.84375,1.0151183232665063E-7,8000.0,0.9015459814571912,0.427408187789177,0.76,0.3385842395647883,0.9059372848719458,0.10987791342952276,0.837762754755771,0.9494949494949495,-1.2994011976047903,8000.0,465056.0,15.0,0.8944803133188409,0.10551968668115912,1483.5333333333335,30.598474907528754,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,0.921875,1.1091107606059977E-7,9000.0,0.8990301066178198,0.4078498283918854,0.737,0.3000926113198707,0.9015459814571912,0.10375275938189846,0.8229140562857642,0.9468085106382979,-1.5479009687836387,9000.0,465056.0,15.0,0.8939279350385201,0.10607206496147985,1651.2666666666667,34.46005278718007,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.0,1.203103197945489E-7,10000.0,0.9108751608751608,0.41487022452188216,0.76,0.36666103698699537,0.8990301066178198,0.12612612612612611,0.8414342416443386,0.9642857142857143,-1.305475504322767,10000.0,465056.0,15.0,0.8485208680662548,0.15147913193374515,1855.466666666667,38.539157575985854,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
11000.0,1.078125,1.2970956352849802E-7,11000.0,0.9086166401489323,0.4366108403362238,0.752,0.34205290106916403,0.9108751608751608,0.11482720178372352,0.8400574041660265,0.970873786407767,-1.384615384615385,11000.0,465056.0,15.0,0.9442768085913773,0.05572319140862263,2036.3333333333333,41.472308604084006,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
12000.0,1.140625,1.3722895851565732E-7,12000.0,0.917256964501059,0.42877634234653345,0.753,0.35032141992908766,0.9086166401489323,0.12485939257592801,0.8303664287793908,0.9459459459459459,-1.361752988047808,12000.0,465056.0,15.0,0.8438263075226298,0.15617369247737026,2231.0,35.74113276644398,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13000.0,1.234375,1.485080509963963E-7,13000.0,0.9047694465812933,0.40400505328189124,0.721,0.2988047007730741,0.917256964501059,0.10864745011086474,0.8238711944022776,0.9795918367346939,-1.6807095343680714,13000.0,465056.0,15.0,0.8847823498792025,0.11521765012079754,2402.3333333333335,34.31922965058401,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14000.0,1.3125,1.5790729473034542E-7,14000.0,0.9074666184041184,0.42602233273680606,0.736,0.3254292722812754,0.9047694465812933,0.12612612612612611,0.8129422863126021,0.9285714285714286,-1.5228668941979522,14000.0,465056.0,15.0,0.8602758196391289,0.1397241803608711,2598.4,35.54835740629539,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
15000.0,1.390625,1.6730653846429454E-7,15000.0,0.9077724204435873,0.42411463208795985,0.748,0.29294913161808006,0.9074666184041184,0.09289617486338798,0.8289211385515757,0.9411764705882353,-1.4387096774193535,15000.0,465056.0,15.0,0.9320106487231204,0.06798935127687951,2749.066666666666,32.21239039931826,2944.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
