learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,AUC,sAUC,Accuracy,Kappa,Periodical holdout AUC,Pos/Neg ratio,G-Mean,Recall,KappaM,model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
1000.0,0.203125,2.808280340913269E-8,1000.0,0.8462907909292036,0.34085948180519887,0.732,0.2609750716964479,0.0,0.10619469026548672,0.7709927683318819,0.8229166666666666,-1.7916666666666676,1000.0,534416.0,15.0,2654.5333333333338,52.52056286645758,7534.933333333333,4854.692096557819,4.2,3.3636714634883287,2.6,1.6818357317441643,2.6,1.6818357317441643,1.1333333333333333,1.1872336794093274,0.0,0.0,0.0,0.0,1.0,0.0
2000.0,0.328125,4.959687228418059E-8,2000.0,0.9173695612094396,0.4255223823315807,0.856,0.4612713994971863,0.8462907909292036,0.10619469026548672,0.8551800772947005,0.8541666666666666,-0.5000000000000006,2000.0,665296.0,15.0,5246.533333333333,75.417757161282,16186.133333333335,4289.005710062926,10.466666666666665,2.972893411828826,5.7333333333333325,1.486446705914413,5.7333333333333325,1.486446705914413,3.0,0.7559289460184544,0.0,0.0,0.0,0.0,1.0,0.0
3000.0,0.484375,8.129126702745755E-8,3000.0,0.9096187806167753,0.4610343408757437,0.866,0.5177462193462941,0.9173695612094396,0.1273957158962796,0.8587760961708536,0.8495575221238938,-0.3180327868852458,3000.0,784088.0,15.0,8025.866666666666,107.69193275706554,24038.933333333338,6226.1515683751995,16.2,4.329302154257328,8.6,2.164651077128664,8.6,2.164651077128664,4.066666666666666,0.7037315505489968,0.0,0.0,0.0,0.0,1.0,0.0
4000.0,0.671875,1.2496020644903184E-7,4000.0,0.9493565356253816,0.5612334948347167,0.903,0.5834263824231701,0.9096187806167753,0.10375275938189846,0.8987803487281911,0.8936170212765957,0.02756892230576471,4000.0,900272.0,15.0,10584.533333333335,98.8887301586027,31719.466666666667,6295.808649600221,21.533333333333335,4.688384837121669,11.266666666666667,2.3441924185608345,11.266666666666667,2.3441924185608345,4.666666666666666,0.4879500364742667,0.0,0.0,0.0,0.0,1.0,0.0
5000.0,0.828125,1.6565156531416708E-7,5000.0,0.9313984695353733,0.5434976713104938,0.878,0.5457490300624781,0.9493565356253816,0.1273957158962796,0.8654419873594362,0.8495575221238938,-0.19140624999999944,5000.0,1006664.0,15.0,13059.466666666667,106.46452572615556,38752.53333333335,5985.314192333796,26.599999999999998,4.08481508586549,13.799999999999999,2.042407542932745,13.799999999999999,2.042407542932745,5.333333333333333,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
6000.0,0.984375,2.0969115818540255E-7,6000.0,0.9562775367436854,0.5635256693053913,0.874,0.5187276074650693,0.9313984695353733,0.10987791342952276,0.880587702720609,0.8888888888888888,-0.23731587561374798,6000.0,1089496.0,15.0,15351.266666666666,129.39610651388378,44228.26666666667,6055.215549621743,30.466666666666665,4.3730778090275875,15.733333333333333,2.1865389045137937,15.733333333333333,2.1865389045137937,5.8,0.7745966692414833,0.0,0.0,0.0,0.0,1.0,0.0
7000.0,1.125,2.5405703733364743E-7,7000.0,0.9407779371911367,0.5557102469697499,0.906,0.5503941225989133,0.9562775367436854,0.08932461873638345,0.8817061944172894,0.8536585365853658,0.05050505050505056,7000.0,1219520.0,15.0,17904.6,139.87382068952616,52820.26666666666,7976.776501343193,37.266666666666666,5.945786823657652,19.133333333333333,2.972893411828826,19.133333333333333,2.972893411828826,6.333333333333333,0.816496580927726,0.0,0.0,0.0,0.0,1.0,0.0
8000.0,1.28125,3.0762328404105373E-7,8000.0,0.9437530023145115,0.5647504308328372,0.889,0.5518193710935609,0.9407779371911367,0.11358574610244988,0.8727875774654243,0.8529411764705882,-0.11698113207547167,8000.0,1325176.0,15.0,20667.066666666662,140.97946490113253,59810.66666666667,8516.743397287373,41.26666666666667,6.318529063303382,21.133333333333336,3.159264531651691,21.133333333333336,3.159264531651691,6.666666666666667,0.6172133998483676,0.0,0.0,0.0,0.0,1.0,0.0
9000.0,1.40625,3.5343090227494636E-7,9000.0,0.9568247989522789,0.6164348853308326,0.895,0.586386197116521,0.9437530023145115,0.11482720178372352,0.9027455389360657,0.912621359223301,-0.05233853006681533,9000.0,1416544.0,15.0,23017.86666666667,137.72896088574316,65850.13333333332,9886.997390994084,45.66666666666668,6.831300510639732,23.33333333333334,3.415650255319866,23.33333333333334,3.415650255319866,6.866666666666667,0.6399404734221844,0.0,0.0,0.0,0.0,1.0,0.0
10000.0,1.53125,4.036695463582873E-7,10000.0,0.9295297521597216,0.565527568001444,0.903,0.5990741506158551,0.9568247989522789,0.122334455667789,0.8722613108919471,0.8348623853211009,0.036742800397219826,10000.0,1553568.0,15.0,25837.000000000007,134.63177294277216,74905.06666666667,10876.869241433313,52.86666666666667,7.268981719477305,26.933333333333334,3.6344908597386527,26.933333333333334,3.6344908597386527,7.266666666666667,0.5936168397046636,0.0,0.0,0.0,0.0,1.0,0.0
